book,vector
bcctpa-森林大火！｜大英百科,"[0.4654895666131621, 0.2552166934189406, 0.09149277688603531, 0.06581059390048154, 0.04012841091492777, 0.025682182985553772, 0.01765650080256822, 0.009630818619582664, 0.008025682182985553, 0.008025682182985553, 0.006420545746388443, 0.0, 0.0, 0.0, 0.0016051364365971107, 0.0016051364365971107, 0.0, 0.0, 0.0016051364365971107, 0.0, 0.0, 0.0016051364365971107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pmele-保护环境｜大英百科,"[0.3240115718418515, 0.25554484088717455, 0.1755062680810029, 0.08100289296046287, 0.04532304725168756, 0.03182256509161042, 0.015429122468659595, 0.019286403085824494, 0.009643201542912247, 0.01253616200578592, 0.0057859209257473485, 0.0028929604628736743, 0.0048216007714561235, 0.0028929604628736743, 0.0009643201542912247, 0.0019286403085824494, 0.0019286403085824494, 0.0028929604628736743, 0.0009643201542912247, 0.0019286403085824494, 0.0, 0.0009643201542912247, 0.0009643201542912247, 0.0009643201542912247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
alkxn-计算机技术的演变｜大英百科,"[0.3502824858757062, 0.2519774011299435, 0.1943502824858757, 0.0768361581920904, 0.04858757062146893, 0.020338983050847456, 0.01807909604519774, 0.010169491525423728, 0.005649717514124294, 0.010169491525423728, 0.0, 0.0022598870056497176, 0.005649717514124294, 0.0, 0.0022598870056497176, 0.0, 0.0011299435028248588, 0.0, 0.0011299435028248588, 0.0, 0.0011299435028248588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bcxidz-王子与贫儿（下）,"[0.26102502979737785, 0.19189511323003575, 0.12117600317838696, 0.10210568136670639, 0.07866507747318235, 0.05085419149781486, 0.044497417560588004, 0.03098927294398093, 0.02542709574890743, 0.023440603893524037, 0.012713547874453715, 0.012713547874453715, 0.010329757647993643, 0.007151370679380214, 0.0055621771950735005, 0.004767580452920143, 0.0023837902264600714, 0.0007945967421533572, 0.0027810885975367503, 0.0011918951132300357, 0.0011918951132300357, 0.001986491855383393, 0.0027810885975367503, 0.0003972983710766786, 0.0015891934843067143, 0.0011918951132300357, 0.0003972983710766786, 0.0, 0.0, 0.0]"
sjyis-哈莉特·塔布曼｜大英百科,"[0.47788873038516405, 0.23537803138373753, 0.1398002853067047, 0.07417974322396577, 0.028530670470756064, 0.017118402282453638, 0.015691868758915834, 0.008559201141226819, 0.0, 0.0014265335235378032, 0.0014265335235378032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pwokl-古代探险家：从亚历山大大帝到马可波罗｜大英百科,"[0.2270815811606392, 0.1968040370058873, 0.20058873002523128, 0.0904121110176619, 0.06980656013456686, 0.04667788057190917, 0.032380151387720775, 0.02943650126156434, 0.027754415475189236, 0.022708158116063918, 0.012195121951219513, 0.011774600504625737, 0.009671993271656855, 0.004205214465937763, 0.004205214465937763, 0.002943650126156434, 0.002523128679562658, 0.001682085786375105, 0.001261564339781329, 0.0008410428931875525, 0.0008410428931875525, 0.0008410428931875525, 0.001682085786375105, 0.0008410428931875525, 0.00042052144659377626, 0.00042052144659377626, 0.0, 0.0, 0.0, 0.0]"
kvpcx-太阳能｜大英百科,"[0.3611556982343499, 0.23434991974317818, 0.20385232744783308, 0.06581059390048154, 0.03531300160513644, 0.027287319422150885, 0.019261637239165328, 0.004815409309791332, 0.012841091492776886, 0.006420545746388443, 0.0016051364365971107, 0.004815409309791332, 0.0, 0.006420545746388443, 0.0032102728731942215, 0.0, 0.0016051364365971107, 0.0, 0.0016051364365971107, 0.0032102728731942215, 0.0016051364365971107, 0.0, 0.0032102728731942215, 0.0, 0.0016051364365971107, 0.0, 0.0, 0.0, 0.0, 0.0]"
djtfz-爱丽丝镜中奇遇记 | 有声书虫（3级）,"[0.7441016333938294, 0.1542649727767695, 0.016333938294010888, 0.029038112522686024, 0.016333938294010888, 0.018148820326678767, 0.0054446460980036296, 0.003629764065335753, 0.0, 0.0018148820326678765, 0.0054446460980036296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018148820326678765, 0.0, 0.0, 0.0018148820326678765, 0.0, 0.0018148820326678765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pscop-圣女贞德｜大英百科,"[0.4327731092436975, 0.24089635854341737, 0.14285714285714285, 0.0700280112044818, 0.036414565826330535, 0.022408963585434174, 0.014005602240896359, 0.01680672268907563, 0.008403361344537815, 0.00980392156862745, 0.0014005602240896359, 0.0028011204481792717, 0.0, 0.0014005602240896359, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cmsxi-地球极地生物群落｜大英百科,"[0.3801732435033686, 0.2271414821944177, 0.1616939364773821, 0.07314725697786333, 0.03657362848893166, 0.02213666987487969, 0.02213666987487969, 0.019249278152069296, 0.006737247353224254, 0.010587102983638113, 0.004812319538017324, 0.005774783445620789, 0.0038498556304138597, 0.006737247353224254, 0.004812319538017324, 0.004812319538017324, 0.0019249278152069298, 0.0009624639076034649, 0.0019249278152069298, 0.0, 0.0009624639076034649, 0.0009624639076034649, 0.0, 0.0019249278152069298, 0.0, 0.0, 0.0009624639076034649, 0.0, 0.0, 0.0]"
tbtcs-813之谜（下）,"[0.264172335600907, 0.2256235827664399, 0.1368102796674225, 0.10166288737717309, 0.06764928193499622, 0.05139833711262283, 0.03476946334089191, 0.02834467120181406, 0.026455026455026454, 0.012471655328798186, 0.013605442176870748, 0.010959939531368102, 0.00944822373393802, 0.0030234315948601664, 0.003401360544217687, 0.0011337868480725624, 0.0007558578987150416, 0.0022675736961451248, 0.0015117157974300832, 0.0007558578987150416, 0.0, 0.0015117157974300832, 0.0003779289493575208, 0.0007558578987150416, 0.0, 0.0003779289493575208, 0.0, 0.0007558578987150416, 0.0, 0.0]"
vvkqa-为什么雨林正遭破坏？｜大英百科,"[0.3900497512437811, 0.2557213930348259, 0.16517412935323383, 0.07064676616915423, 0.04079601990049751, 0.024875621890547265, 0.01890547263681592, 0.009950248756218905, 0.0029850746268656717, 0.004975124378109453, 0.0009950248756218905, 0.001990049751243781, 0.001990049751243781, 0.003980099502487562, 0.0009950248756218905, 0.0009950248756218905, 0.001990049751243781, 0.0009950248756218905, 0.0, 0.0009950248756218905, 0.0, 0.0009950248756218905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
slerz-内行星：水星、金星和火星｜大英百科,"[0.38487208008898777, 0.23136818687430477, 0.1557285873192436, 0.07341490545050056, 0.05228031145717464, 0.03337041156840934, 0.02335928809788654, 0.013348164627363738, 0.010011123470522803, 0.0011123470522803114, 0.0033370411568409346, 0.0033370411568409346, 0.004449388209121246, 0.0011123470522803114, 0.004449388209121246, 0.0, 0.0, 0.0011123470522803114, 0.0011123470522803114, 0.0, 0.0, 0.0011123470522803114, 0.0, 0.0011123470522803114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
axptu-外星小毛毛,"[0.26218851570964247, 0.21451787648970747, 0.14806789454676778, 0.10111953773925605, 0.07186710003611411, 0.05417118093174431, 0.03358613217768147, 0.027446731672083786, 0.018418201516793065, 0.019140483929216325, 0.010473094980137234, 0.008306247742867461, 0.0039725532683279165, 0.006861682918020947, 0.0039725532683279165, 0.0039725532683279165, 0.0021668472372697724, 0.0007222824124232575, 0.002527988443481401, 0.0010834236186348862, 0.0018057060310581437, 0.00036114120621162876, 0.0007222824124232575, 0.0010834236186348862, 0.0007222824124232575, 0.0, 0.00036114120621162876, 0.00036114120621162876, 0.0, 0.0]"
bvymvu-地球海洋｜大英百科,"[0.3326633165829146, 0.21809045226130652, 0.1678391959798995, 0.08542713567839195, 0.054271356783919596, 0.027135678391959798, 0.020100502512562814, 0.024120603015075376, 0.01507537688442211, 0.007035175879396985, 0.010050251256281407, 0.007035175879396985, 0.003015075376884422, 0.005025125628140704, 0.005025125628140704, 0.0020100502512562816, 0.003015075376884422, 0.0010050251256281408, 0.0020100502512562816, 0.0010050251256281408, 0.0010050251256281408, 0.0010050251256281408, 0.003015075376884422, 0.0, 0.0010050251256281408, 0.0020100502512562816, 0.0010050251256281408, 0.0, 0.0, 0.0]"
ovffq-铁皮人,"[0.33701948393891523, 0.2459189046866772, 0.10268562401263823, 0.09689310163243813, 0.0784623486045287, 0.04844655081621906, 0.024749868351764088, 0.020010531858873092, 0.014218009478672985, 0.00737230121116377, 0.00737230121116377, 0.00421274354923644, 0.00315955766192733, 0.00210637177461822, 0.0026329647182727752, 0.000526592943654555, 0.00105318588730911, 0.000526592943654555, 0.000526592943654555, 0.0, 0.000526592943654555, 0.0, 0.0, 0.00105318588730911, 0.0, 0.0, 0.0, 0.000526592943654555, 0.0, 0.0]"
ljzps-圣诞颂歌,"[0.2781168265039233, 0.21708805579773321, 0.10636442894507411, 0.0976460331299041, 0.07759372275501308, 0.05274629468177855, 0.041848299912816043, 0.02789886660854403, 0.024847428073234524, 0.01961639058413252, 0.012641673931996512, 0.008718395815170008, 0.008718395815170008, 0.009154315605928508, 0.006102877070619006, 0.0017436791630340018, 0.0017436791630340018, 0.00043591979075850045, 0.0013077593722755014, 0.0008718395815170009, 0.00043591979075850045, 0.0008718395815170009, 0.0008718395815170009, 0.0013077593722755014, 0.00043591979075850045, 0.00043591979075850045, 0.0, 0.00043591979075850045, 0.0, 0.0]"
vrajp-王子与贫儿（上）,"[0.25489443378119003, 0.20230326295585413, 0.11516314779270634, 0.09904030710172745, 0.07370441458733205, 0.049136276391554705, 0.04069097888675624, 0.029558541266794625, 0.025335892514395393, 0.02380038387715931, 0.015355086372360844, 0.014203454894433781, 0.011900191938579654, 0.008445297504798464, 0.00690978886756238, 0.005758157389635317, 0.003071017274472169, 0.0015355086372360845, 0.004222648752399232, 0.0015355086372360845, 0.003071017274472169, 0.003071017274472169, 0.002687140115163148, 0.0007677543186180423, 0.0007677543186180423, 0.0007677543186180423, 0.0015355086372360845, 0.0007677543186180423, 0.0, 0.0]"
fkwbz-彼得兔和他的朋友们（下）,"[0.3231958762886598, 0.20721649484536084, 0.06752577319587628, 0.08814432989690722, 0.07164948453608247, 0.061855670103092786, 0.039690721649484534, 0.0288659793814433, 0.024742268041237112, 0.021649484536082474, 0.014948453608247423, 0.008762886597938144, 0.007216494845360825, 0.007731958762886598, 0.006701030927835051, 0.005154639175257732, 0.0036082474226804126, 0.002061855670103093, 0.002061855670103093, 0.0010309278350515464, 0.002061855670103093, 0.0010309278350515464, 0.0005154639175257732, 0.0010309278350515464, 0.0005154639175257732, 0.0005154639175257732, 0.0005154639175257732, 0.0, 0.0, 0.0]"
mjnqs-哈克贝利·费恩历险记 | 译林有声双语,"[0.5321756894790602, 0.1930541368743616, 0.033707865168539325, 0.07763023493360573, 0.045965270684371805, 0.03575076608784474, 0.018386108273748723, 0.01634320735444331, 0.014300306435137897, 0.005107252298263534, 0.005107252298263534, 0.0040858018386108275, 0.0040858018386108275, 0.0030643513789581204, 0.0030643513789581204, 0.0010214504596527069, 0.0020429009193054137, 0.0010214504596527069, 0.0, 0.0020429009193054137, 0.0010214504596527069, 0.0010214504596527069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
navvp-纳尼亚传奇：能言马与男孩,"[0.3213953488372093, 0.22232558139534883, 0.08186046511627906, 0.09720930232558139, 0.07209302325581396, 0.04744186046511628, 0.038604651162790694, 0.02558139534883721, 0.024651162790697675, 0.01441860465116279, 0.017209302325581394, 0.009767441860465116, 0.0060465116279069765, 0.0018604651162790699, 0.0018604651162790699, 0.0032558139534883722, 0.004651162790697674, 0.0009302325581395349, 0.0009302325581395349, 0.0018604651162790699, 0.0018604651162790699, 0.0018604651162790699, 0.00046511627906976747, 0.00046511627906976747, 0.00046511627906976747, 0.00046511627906976747, 0.0, 0.00046511627906976747, 0.0, 0.0]"
bkcmtq-爱的教育（下）,"[0.26424050632911394, 0.20411392405063292, 0.12262658227848101, 0.11115506329113924, 0.08306962025316456, 0.05063291139240506, 0.04074367088607595, 0.028085443037974684, 0.02254746835443038, 0.013844936708860759, 0.015822784810126583, 0.010284810126582278, 0.00870253164556962, 0.004746835443037975, 0.005142405063291139, 0.004746835443037975, 0.0015822784810126582, 0.0011867088607594937, 0.0011867088607594937, 0.0011867088607594937, 0.00039556962025316455, 0.0015822784810126582, 0.0007911392405063291, 0.0, 0.0, 0.0007911392405063291, 0.0, 0.0007911392405063291, 0.0, 0.0]"
bkohwu-古生代：动植物生命的多样化｜大英百科,"[0.20153637596023496, 0.18346136466335292, 0.17487573429733394, 0.08721192950745595, 0.06778129236330772, 0.05332128332580208, 0.04066877541798464, 0.031631269769543606, 0.018978761861726163, 0.01717126073203796, 0.0149118843199277, 0.013104383190239493, 0.00903750564844103, 0.013556258472661545, 0.010393131495707185, 0.009941256213285133, 0.005422503389064619, 0.008133755083596927, 0.0076818798011748755, 0.008133755083596927, 0.005422503389064619, 0.0027112516945323093, 0.0027112516945323093, 0.0022593764121102574, 0.0027112516945323093, 0.005422503389064619, 0.0009037505648441031, 0.0009037505648441031, 0.0, 0.0]"
eyonn-疯狂动物城（迪士尼大电影双语阅读）,"[0.3794642857142857, 0.22130102040816327, 0.0899234693877551, 0.07653061224489796, 0.06696428571428571, 0.047193877551020405, 0.026785714285714284, 0.02423469387755102, 0.015306122448979591, 0.01403061224489796, 0.011479591836734694, 0.008928571428571428, 0.0031887755102040817, 0.0031887755102040817, 0.002551020408163265, 0.001913265306122449, 0.0006377551020408163, 0.001913265306122449, 0.0006377551020408163, 0.001913265306122449, 0.0, 0.0006377551020408163, 0.0, 0.0006377551020408163, 0.0, 0.0, 0.0, 0.0006377551020408163, 0.0, 0.0]"
qatux-爱丽丝漫游奇境记,"[0.44090202177293936, 0.2317262830482115, 0.06376360808709176, 0.07698289269051321, 0.049766718506998445, 0.03654743390357698, 0.03188180404354588, 0.014774494556765163, 0.01010886469673406, 0.012441679626749611, 0.008553654743390357, 0.006998444790046656, 0.003110419906687403, 0.003110419906687403, 0.003110419906687403, 0.0007776049766718507, 0.0015552099533437014, 0.0007776049766718507, 0.0, 0.0015552099533437014, 0.0007776049766718507, 0.0007776049766718507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
latbz-考古学：挖掘我们的过去｜大英百科,"[0.31339285714285714, 0.21607142857142858, 0.20625, 0.08214285714285714, 0.04642857142857143, 0.033035714285714286, 0.025, 0.0125, 0.008035714285714285, 0.007142857142857143, 0.008928571428571428, 0.007142857142857143, 0.0026785714285714286, 0.004464285714285714, 0.008928571428571428, 0.005357142857142857, 0.0035714285714285713, 0.0, 0.0008928571428571428, 0.0008928571428571428, 0.0, 0.0008928571428571428, 0.0026785714285714286, 0.0008928571428571428, 0.0008928571428571428, 0.0, 0.0008928571428571428, 0.0008928571428571428, 0.0, 0.0]"
nresx-海狼（下）,"[0.24321428571428572, 0.2082142857142857, 0.13535714285714287, 0.10357142857142858, 0.07392857142857143, 0.05785714285714286, 0.04071428571428572, 0.03214285714285714, 0.025357142857142856, 0.02035714285714286, 0.013571428571428571, 0.013214285714285715, 0.0064285714285714285, 0.005, 0.0035714285714285713, 0.002857142857142857, 0.0035714285714285713, 0.0014285714285714286, 0.0010714285714285715, 0.0010714285714285715, 0.0007142857142857143, 0.002142857142857143, 0.00035714285714285714, 0.0017857142857142857, 0.0007142857142857143, 0.0007142857142857143, 0.0007142857142857143, 0.00035714285714285714, 0.0, 0.0]"
blpatp-诗歌与戏剧｜大英百科,"[0.18140407288317256, 0.1647909967845659, 0.16988210075026794, 0.10423365487674169, 0.07395498392282958, 0.0632368703108253, 0.05010718113612004, 0.0409967845659164, 0.0297427652733119, 0.02304394426580922, 0.018756698821007504, 0.01714898177920686, 0.012057877813504822, 0.008842443729903537, 0.008306538049303322, 0.005627009646302251, 0.00482315112540193, 0.0034833869239013935, 0.0040192926045016075, 0.002947481243301179, 0.0008038585209003215, 0.0021436227224008574, 0.002947481243301179, 0.0018756698821007502, 0.0021436227224008574, 0.0021436227224008574, 0.0005359056806002144, 0.0, 0.0, 0.0]"
sxkpx-森林王子 | 有声书虫（3级）,"[0.8376068376068376, 0.1111111111111111, 0.005698005698005698, 0.017094017094017096, 0.005698005698005698, 0.002849002849002849, 0.005698005698005698, 0.0, 0.002849002849002849, 0.002849002849002849, 0.002849002849002849, 0.002849002849002849, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
srcun-板块构造、地震和火山｜大英百科,"[0.35347776510832385, 0.2348916761687571, 0.1733181299885975, 0.0661345496009122, 0.05131128848346636, 0.02394526795895097, 0.01710376282782212, 0.01710376282782212, 0.01596351197263398, 0.009122006841505131, 0.005701254275940707, 0.005701254275940707, 0.0034207525655644243, 0.0011402508551881414, 0.002280501710376283, 0.0, 0.0034207525655644243, 0.002280501710376283, 0.005701254275940707, 0.002280501710376283, 0.0011402508551881414, 0.0, 0.0011402508551881414, 0.0011402508551881414, 0.0, 0.002280501710376283, 0.0, 0.0, 0.0, 0.0]"
herie-物理科学｜大英百科,"[0.2670375521557719, 0.21070931849791377, 0.21627260083449235, 0.08205841446453407, 0.05285118219749652, 0.0368567454798331, 0.031988873435326845, 0.01808066759388039, 0.013908205841446454, 0.015299026425591099, 0.008344923504867872, 0.006954102920723227, 0.006258692628650904, 0.0027816411682892906, 0.008344923504867872, 0.006954102920723227, 0.004172461752433936, 0.0027816411682892906, 0.002086230876216968, 0.0013908205841446453, 0.0013908205841446453, 0.0006954102920723226, 0.0013908205841446453, 0.0, 0.0, 0.0006954102920723226, 0.0006954102920723226, 0.0, 0.0, 0.0]"
efzps-《双城记（有声双语经典）》精讲版,"[0.4186413902053712, 0.26066350710900477, 0.09162717219589257, 0.07977883096366509, 0.05845181674565561, 0.03317535545023697, 0.017377567140600316, 0.0071090047393364926, 0.01263823064770932, 0.00631911532385466, 0.00315955766192733, 0.0039494470774091624, 0.001579778830963665, 0.002369668246445498, 0.001579778830963665, 0.0, 0.0, 0.0007898894154818325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007898894154818325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brtzhl-纳尼亚传奇：最后一战,"[0.3608860075634792, 0.22312263641274988, 0.07725553754727174, 0.0940032414910859, 0.06969205834683954, 0.03943814154511075, 0.03943814154511075, 0.025391680172879523, 0.017828200972447326, 0.015126958400864398, 0.011885467314964884, 0.005402485143165856, 0.0037817396002160996, 0.0021609940572663426, 0.0021609940572663426, 0.002701242571582928, 0.0021609940572663426, 0.0010804970286331713, 0.0016207455429497568, 0.0, 0.0005402485143165856, 0.0010804970286331713, 0.0016207455429497568, 0.0005402485143165856, 0.0005402485143165856, 0.0005402485143165856, 0.0, 0.0, 0.0, 0.0]"
brshza-雾都孤儿 | 译林有声双语,"[0.49191246431969554, 0.23501427212178877, 0.06374881065651761, 0.07421503330161751, 0.05708848715509039, 0.02093244529019981, 0.017126546146527116, 0.014272121788772598, 0.006660323501427212, 0.007611798287345386, 0.005708848715509039, 0.003805899143672693, 0.0, 0.0019029495718363464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gnwmu-地球沙漠、草原和雨林生物群落｜大英百科,"[0.30831643002028397, 0.2332657200811359, 0.1511156186612576, 0.08113590263691683, 0.057809330628803245, 0.035496957403651115, 0.028397565922920892, 0.02535496957403651, 0.015212981744421906, 0.009127789046653144, 0.008113590263691683, 0.008113590263691683, 0.005070993914807302, 0.006085192697768763, 0.006085192697768763, 0.0030425963488843813, 0.005070993914807302, 0.005070993914807302, 0.002028397565922921, 0.0010141987829614604, 0.0, 0.0010141987829614604, 0.0, 0.0010141987829614604, 0.0010141987829614604, 0.002028397565922921, 0.0, 0.0, 0.0, 0.0]"
uljlc-植物分类、构成和用途｜大英百科,"[0.31704668838219324, 0.1997828447339848, 0.13355048859934854, 0.07926167209554831, 0.051031487513572206, 0.03691639522258415, 0.035830618892508145, 0.021715526601520086, 0.011943539630836048, 0.011943539630836048, 0.006514657980456026, 0.016286644951140065, 0.013029315960912053, 0.010857763300760043, 0.0054288816503800215, 0.014115092290988056, 0.004343105320304018, 0.002171552660152009, 0.008686210640608035, 0.003257328990228013, 0.006514657980456026, 0.004343105320304018, 0.0010857763300760044, 0.0010857763300760044, 0.002171552660152009, 0.0, 0.0, 0.0010857763300760044, 0.0, 0.0]"
pejdp-白衣女人 | 有声书虫（6级）,"[0.5209940017137961, 0.29220222793487577, 0.09168808911739502, 0.05312767780634105, 0.024850042844901457, 0.00856898029134533, 0.001713796058269066, 0.000856898029134533, 0.0, 0.000856898029134533, 0.000856898029134533, 0.000856898029134533, 0.000856898029134533, 0.0, 0.000856898029134533, 0.000856898029134533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000856898029134533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cvmzc-文艺复兴后期的探索者与启蒙运动｜大英百科,"[0.25792584631918325, 0.21117678667383127, 0.20849005910800644, 0.08973670069854917, 0.056958624395486296, 0.046211714132187, 0.029016657710908115, 0.018807092960773777, 0.02095647501343364, 0.017195056421278884, 0.010209564750134336, 0.008597528210639442, 0.007522837184309511, 0.0026867275658248252, 0.004298764105319721, 0.0032240730789897904, 0.0005373455131649651, 0.0010746910263299302, 0.0016120365394948952, 0.0005373455131649651, 0.0005373455131649651, 0.0016120365394948952, 0.0, 0.0005373455131649651, 0.0, 0.0005373455131649651, 0.0, 0.0, 0.0, 0.0]"
