book,vector
bfyqx-生物｜大英百科,"[0.33476394849785407, 0.2113733905579399, 0.15236051502145923, 0.07618025751072961, 0.05257510729613734, 0.033261802575107295, 0.03111587982832618, 0.017167381974248927, 0.009656652360515022, 0.009656652360515022, 0.01072961373390558, 0.0075107296137339056, 0.00536480686695279, 0.004291845493562232, 0.009656652360515022, 0.0075107296137339056, 0.003218884120171674, 0.006437768240343348, 0.004291845493562232, 0.001072961373390558, 0.001072961373390558, 0.002145922746781116, 0.001072961373390558, 0.0, 0.003218884120171674, 0.002145922746781116, 0.0, 0.002145922746781116, 0.0, 0.0]"
bskyoq-文艺复兴时期的探险家｜大英百科,"[0.2488393686165274, 0.21030640668523676, 0.20984215413184773, 0.08913649025069638, 0.05988857938718663, 0.04456824512534819, 0.029712163416898793, 0.02274837511606314, 0.016713091922005572, 0.016248839368616527, 0.01160631383472609, 0.009285051067780872, 0.0064995357474466105, 0.005571030640668524, 0.004178272980501393, 0.002785515320334262, 0.002321262766945218, 0.0009285051067780873, 0.0009285051067780873, 0.00046425255338904364, 0.002321262766945218, 0.0018570102135561746, 0.00046425255338904364, 0.0018570102135561746, 0.0009285051067780873, 0.0, 0.0, 0.0, 0.0, 0.0]"
gjozx-汤姆叔叔的小屋（上）,"[0.24396873938158342, 0.21576622494053688, 0.12028542303771661, 0.10125722052327557, 0.08154943934760449, 0.04994903160040775, 0.04145429833503228, 0.027862725110431533, 0.02616377845735644, 0.024125042473666328, 0.012572205232755691, 0.011892626571525655, 0.00815494393476045, 0.004757050628610262, 0.00781515460414543, 0.0037376826367652057, 0.002378525314305131, 0.0030581039755351682, 0.0020387359836901123, 0.0016989466530750934, 0.0013591573224600749, 0.0016989466530750934, 0.0020387359836901123, 0.0013591573224600749, 0.0006795786612300374, 0.0006795786612300374, 0.0006795786612300374, 0.0010193679918450561, 0.0, 0.0]"
mwtnn-谁分裂了原子？｜大英百科,"[0.4535211267605634, 0.24929577464788732, 0.15492957746478872, 0.04788732394366197, 0.023943661971830985, 0.015492957746478873, 0.009859154929577466, 0.011267605633802818, 0.0028169014084507044, 0.005633802816901409, 0.004225352112676056, 0.0028169014084507044, 0.0, 0.0, 0.0028169014084507044, 0.008450704225352112, 0.0028169014084507044, 0.0014084507042253522, 0.0, 0.0, 0.0, 0.0, 0.0014084507042253522, 0.0, 0.0014084507042253522, 0.0, 0.0, 0.0, 0.0, 0.0]"
kgkqc-通向奥兹国的路,"[0.3308746048472076, 0.22339304531085352, 0.09799789251844046, 0.09114857744994731, 0.07903055848261328, 0.051106427818756586, 0.03108535300316122, 0.019494204425711276, 0.018967334035827187, 0.014752370916754479, 0.012644889357218124, 0.007903055848261328, 0.005795574288724974, 0.0015806111696522655, 0.004741833508956797, 0.003161222339304531, 0.002107481559536354, 0.0, 0.0005268703898840885, 0.001053740779768177, 0.0005268703898840885, 0.0005268703898840885, 0.001053740779768177, 0.0, 0.0, 0.0, 0.0, 0.0005268703898840885, 0.0, 0.0]"
uduni-格兰特船长的儿女（下）：新西兰之旅,"[0.23170731707317074, 0.20069686411149826, 0.13797909407665504, 0.10174216027874565, 0.08292682926829269, 0.05191637630662021, 0.04425087108013937, 0.029616724738675958, 0.0289198606271777, 0.021602787456445994, 0.012195121951219513, 0.010801393728222997, 0.009407665505226481, 0.007665505226480836, 0.005923344947735192, 0.005226480836236934, 0.0024390243902439024, 0.003484320557491289, 0.0017421602787456446, 0.0006968641114982578, 0.0013937282229965157, 0.0020905923344947735, 0.0010452961672473868, 0.0013937282229965157, 0.0010452961672473868, 0.0010452961672473868, 0.0003484320557491289, 0.0006968641114982578, 0.0, 0.0]"
cktrg-勃朗特一家的故事 | 有声书虫（3级）,"[0.7935222672064778, 0.14777327935222673, 0.020242914979757085, 0.008097165991902834, 0.012145748987854251, 0.0020242914979757085, 0.0, 0.004048582995951417, 0.0020242914979757085, 0.0, 0.006072874493927126, 0.0, 0.0, 0.0, 0.0, 0.0020242914979757085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0020242914979757085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
grsai-黑骏马 | 有声书虫（4级）,"[0.7473524962178517, 0.1664145234493192, 0.012102874432677761, 0.03328290468986384, 0.0226928895612708, 0.007564296520423601, 0.006051437216338881, 0.0, 0.0, 0.0, 0.0015128593040847202, 0.0015128593040847202, 0.0, 0.0015128593040847202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bbrhu-梵高传｜大英百科,"[0.7279411764705882, 0.16176470588235295, 0.051470588235294115, 0.01838235294117647, 0.01838235294117647, 0.011029411764705883, 0.007352941176470588, 0.0, 0.003676470588235294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brinyu-谁发明了元素周期表？｜大英百科,"[0.46008708272859217, 0.21770682148040638, 0.13352685050798258, 0.05079825834542816, 0.020319303338171262, 0.01451378809869376, 0.018867924528301886, 0.008708272859216255, 0.010159651669085631, 0.008708272859216255, 0.008708272859216255, 0.001451378809869376, 0.002902757619738752, 0.002902757619738752, 0.00725689404934688, 0.0043541364296081275, 0.002902757619738752, 0.0043541364296081275, 0.0, 0.0043541364296081275, 0.001451378809869376, 0.001451378809869376, 0.001451378809869376, 0.0, 0.00725689404934688, 0.0043541364296081275, 0.0, 0.001451378809869376, 0.0, 0.0]"
