word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
arm,0,0,0,0,0,28,0,0,0,1,0
conductor,0,0,0,0,0,1,0,0,0,0,0
baton,0,0,0,0,0,4,0,0,0,0,0
bravely,0,0,1,0,0,0,0,0,0,0,0
try,0,0,0,0,0,2,0,0,0,50,0
coax,0,0,0,0,0,0,0,0,0,1,0
harmony,0,0,0,0,0,1,0,0,0,0,0
noise,0,0,0,0,0,2,0,0,0,0,0
assault,0,0,0,0,0,0,0,0,0,1,0
ear,0,0,0,0,0,3,0,0,0,0,0
stay,0,0,0,0,0,0,0,0,0,9,0
shout,0,0,0,0,0,0,0,0,0,5,0
wave,0,0,0,0,0,5,0,0,0,11,0
vain,1,0,0,0,0,0,0,0,0,0,0
barely,0,0,4,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,25,0
honking,0,0,0,0,0,1,0,0,0,0,0
shrieking,0,0,0,0,0,1,0,0,0,0,0
horn,0,0,0,0,0,2,0,0,0,0,0
section,0,0,0,0,0,1,0,0,0,0,0
sharp,6,0,0,0,0,1,0,0,0,0,0
crash,0,0,0,0,0,2,0,0,0,0,0
trombonist,0,0,0,0,0,2,0,0,0,0,0
knock,0,0,0,0,0,1,0,0,0,7,0
trumpeter,0,0,0,0,0,1,0,0,0,0,0
slouch,0,0,0,0,0,0,0,0,0,1,0
far,1,0,8,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,13,0
navel,0,0,0,0,0,1,0,0,0,0,0
saxophonist,0,0,0,0,0,1,0,0,0,0,0
song,0,0,0,0,0,2,0,0,0,0,0
entirely,0,0,1,0,0,0,0,0,0,0,0
probably,0,0,4,0,0,0,0,0,0,0,0
kid,0,0,0,0,0,8,0,0,0,2,0
pay,0,0,0,0,0,0,0,0,0,5,0
attention,0,0,0,0,0,3,0,0,0,0,0
cell,0,0,0,0,0,5,0,0,0,0,0
phone,0,0,0,0,0,12,0,0,0,0,0
sheet,0,0,0,0,0,1,0,0,0,0,0
petite,1,0,0,0,0,0,0,0,0,0,0
row,0,0,0,0,0,2,0,0,0,0,0
hope,0,0,0,0,0,3,0,0,0,7,0
raise,0,0,0,0,0,0,0,0,0,5,0
trombone,0,0,0,0,0,9,0,0,0,0,0
lip,0,0,0,0,0,6,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,24,0
solo,0,0,0,0,0,3,0,0,0,0,0
note,0,0,0,0,0,3,0,0,0,0,0
ring,0,0,0,0,0,1,0,0,0,3,0
clear,2,0,0,0,0,0,0,0,0,3,0
strong,1,0,1,0,0,0,0,0,0,0,0
cacophony,0,0,0,0,0,1,0,0,0,0,0
close,9,0,10,0,0,0,0,0,0,16,0
eye,0,0,0,0,0,52,0,0,0,5,0
sway,0,0,0,0,0,0,0,0,0,3,0
blue,7,0,0,0,0,2,0,0,0,0,0
moon,0,0,0,0,0,1,0,0,0,0,0
student,0,0,0,0,0,5,0,0,0,0,0
teaching,0,0,0,0,0,1,0,0,0,0,0
worth,5,0,0,0,0,0,0,0,0,0,0
laugh,0,0,0,0,0,0,0,0,0,7,0
snicker,0,0,0,0,0,1,0,0,0,0,0
ricochet,0,0,0,0,0,0,0,0,0,1,0
wilt,0,0,0,0,0,0,0,0,0,1,0
