word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
landscape,0,0,0,0,0,0,0,1,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,0,0,40,0
prey,0,0,0,0,0,0,0,1,0,0,0,0,0
hallucination,0,0,0,0,0,0,0,1,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,0,0,4,0
pace,0,0,0,0,0,0,0,9,0,0,0,0,0
horse,0,0,0,0,0,0,0,97,0,0,0,0,0
please,0,0,0,0,0,0,0,0,0,0,0,4,0
league,0,0,0,0,0,0,0,3,0,0,0,0,0
separate,0,0,0,0,0,0,0,0,0,0,0,8,0
able,5,0,0,0,0,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,0,22,0
arrival,0,0,0,0,0,0,0,5,0,0,0,0,0
village,0,0,0,0,0,0,0,1,0,0,0,0,0
thing,0,0,0,0,0,0,0,34,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,0,25,0
road,0,0,0,0,0,0,0,8,0,0,0,0,0
return,0,0,0,0,0,0,0,2,0,0,0,38,0
shake,0,0,0,0,0,0,0,2,0,0,0,6,0
head,0,0,0,0,0,0,0,40,0,0,0,0,0
perceive,0,0,0,0,0,0,0,0,0,0,0,33,0
cabaret,0,0,0,0,0,0,0,3,0,0,0,0,0
leave,0,0,0,0,0,0,0,3,0,0,0,60,0
put,0,0,0,0,0,0,0,0,0,0,0,2,0
trot,0,0,0,0,0,0,0,1,0,0,0,1,0
shortly,0,0,1,0,0,0,0,0,0,0,0,0,0
pull,0,0,0,0,0,0,0,0,0,0,0,5,0
door,0,0,0,0,0,0,0,60,0,0,0,0,0
host,0,0,0,0,0,0,0,32,0,0,0,0,0
hostess,0,0,0,0,0,0,0,4,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,0,0,18,0
physiognomist,0,0,0,0,0,0,0,1,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,88,0
glance,0,0,0,0,0,0,0,23,0,0,0,0,0
plump,2,0,0,0,0,0,0,0,0,0,0,0,0
cheerful,5,0,0,0,0,0,0,0,0,0,0,0,0
countenance,0,0,0,0,0,0,0,18,0,0,0,0,0
mistress,0,0,0,0,0,0,0,39,0,0,0,0,0
occasion,0,0,0,0,0,0,0,3,0,0,0,0,0
dissemble,0,0,0,0,0,0,0,0,0,0,0,2,0
bless,0,0,0,0,0,0,0,0,0,0,0,8,0
joyous,2,0,0,0,0,0,0,0,0,0,0,0,0
physiognomy,0,0,0,0,0,0,0,1,0,0,0,0,0
good,79,0,1,0,0,0,0,0,0,0,0,0,0
dame,0,0,0,0,0,0,0,2,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,0,52,0
oblige,0,0,0,0,0,0,0,0,0,0,0,10,0
dozen,0,0,0,0,0,0,0,2,0,0,0,0,0
day,0,0,0,0,0,0,0,45,0,0,0,0,0
ago,0,0,4,0,0,0,0,0,0,0,0,0,0
handsome,9,0,0,0,0,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,0,19,0,0,0,0,0
old,17,0,0,0,0,0,0,0,0,0,0,0,0
mild,2,0,0,0,0,0,0,0,0,0,0,0,0
amiable,3,0,0,0,0,0,0,0,0,0,0,0,0
wounded,2,0,0,0,0,0,0,0,0,0,0,0,0
shoulder,0,0,0,0,0,0,0,18,0,0,0,0,0
monsieur,0,0,0,0,0,0,0,41,0,0,0,0,5
dear,71,0,0,0,0,0,0,5,0,0,0,0,0
spring,0,0,0,0,0,0,0,1,0,0,0,8,0
throw,0,0,0,0,0,0,0,10,0,0,0,20,0
bridle,0,0,0,0,0,0,0,2,0,0,0,0,0
restore,0,0,0,0,0,0,0,0,0,0,0,3,0
embrace,0,0,0,0,0,0,0,1,0,0,0,5,0
hurry,0,0,0,0,0,0,0,2,0,0,0,1,0
pardon,0,0,0,0,0,0,0,9,0,0,0,8,0
moment,0,0,0,0,0,0,0,47,0,0,0,0,0
lady,0,0,0,0,0,0,0,47,0,0,0,0,0
jesus,0,0,0,0,0,0,1,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,4,0,0,0,19,0
curate,0,0,0,0,0,0,0,21,0,0,0,0,0
superior,0,0,0,0,0,0,0,3,0,0,0,0,0
heaven,0,0,0,0,0,0,0,14,0,0,0,0,0
cry,0,0,0,0,0,0,0,7,0,0,0,102,0
fellow,0,0,0,0,0,0,0,16,0,0,0,0,0
bad,14,0,1,0,0,0,0,0,0,0,0,0,0
contrary,3,0,0,0,0,0,0,8,0,0,0,0,0
illness,0,0,0,0,0,0,0,2,0,0,0,0,0
touch,0,0,0,0,0,0,0,4,0,0,0,10,0
determine,0,0,0,0,0,0,0,0,0,0,0,4,0
order,0,0,0,0,0,0,0,24,0,0,0,14,0
forget,0,0,0,0,0,0,0,0,0,0,0,17,0
insist,0,0,0,0,0,0,0,0,0,0,0,4,0
see,0,0,0,0,0,0,0,0,0,0,0,71,0
right,15,0,1,0,0,0,0,5,0,0,0,0,0
hand,0,0,0,0,0,0,0,90,0,0,0,1,0
staircase,0,0,0,0,0,0,0,8,0,0,0,0,0
courtyard,0,0,0,0,0,0,0,1,0,0,0,0,0
knock,0,0,0,0,0,0,0,0,0,0,0,3,0
number,0,0,0,0,0,0,0,9,0,0,0,0,0
second,18,0,0,0,0,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,0,6,0,0,0,0,0
walk,0,0,0,0,0,0,0,1,0,0,0,8,0
direction,0,0,0,0,0,0,0,3,0,0,0,0,0
indicate,0,0,0,0,0,0,0,0,0,0,0,6,0
exterior,1,0,0,0,0,0,0,1,0,0,0,0,0
yard,0,0,0,0,0,0,0,3,0,0,0,0,0
fashioned,1,0,0,0,0,0,0,0,0,0,0,0,0
tavern,0,0,0,0,0,0,0,2,0,0,0,0,0
sojourn,0,0,0,0,0,0,0,1,0,0,0,0,0
abbe,0,0,0,0,0,0,0,4,0,0,0,0,0
defile,0,0,0,0,0,0,0,1,0,0,0,1,0
chamber,0,0,0,0,0,0,0,29,0,0,0,0,0
guard,0,0,0,0,0,0,0,5,0,0,0,2,0
garden,0,0,0,0,0,0,0,1,0,0,0,0,0
station,0,0,0,0,0,0,0,0,0,0,0,1,0
corridor,0,0,0,0,0,0,0,5,0,0,0,0,0
bar,0,0,0,0,0,0,0,2,0,0,0,1,0
passage,0,0,0,0,0,0,0,5,0,0,0,0,0
intrepidity,0,0,0,0,0,0,0,1,0,0,0,0,0
trial,0,0,0,0,0,0,0,1,0,0,0,0,0
near,3,6,13,0,0,0,0,0,0,0,0,0,0
result,0,0,0,0,0,0,0,4,0,0,0,0,0
ambitious,1,0,0,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,0,0,6,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,0,0,0,8,0
churchman,0,0,0,0,0,0,0,3,0,0,0,0,0
await,0,0,0,0,0,0,0,0,0,0,0,5,0
impatience,0,0,0,0,0,0,0,5,0,0,0,0,0
aside,0,0,5,0,0,0,0,0,0,0,0,0,0
uniform,0,0,0,0,0,0,0,4,0,0,0,0,0
assume,0,0,0,0,0,0,0,0,0,0,0,8,0
cassock,0,0,0,0,0,0,0,4,0,0,0,0,0
daily,0,0,2,0,0,0,0,0,0,0,0,0,0
renew,0,0,0,0,0,0,0,0,0,0,0,4,0
promise,0,0,0,0,0,0,0,5,0,0,0,12,0
delay,0,0,0,0,0,0,0,0,0,0,0,3,0
keep,0,0,0,0,0,0,0,0,0,0,0,15,0
service,0,0,0,0,0,0,0,10,0,0,0,0,0
soul,0,0,0,0,0,0,0,13,0,0,0,0,0
constant,1,0,0,0,0,0,0,0,0,0,0,0,0
jeopardy,0,0,0,0,0,0,0,1,0,0,0,0,0
height,0,0,0,0,0,0,0,6,0,0,0,0,0
joy,0,0,0,0,0,0,0,12,0,0,0,0,0
probability,0,0,0,0,0,0,0,2,0,0,0,0,0
master,0,0,0,0,0,0,0,40,0,0,0,0,0
retract,0,0,0,0,0,0,0,0,0,0,0,1,0
union,0,0,0,0,0,0,0,2,0,0,0,0,0
physical,3,0,0,0,0,0,0,0,0,0,0,0,0
pain,0,0,0,0,0,0,0,7,0,0,0,0,0
moral,2,0,0,0,0,0,0,1,0,0,0,0,0
uneasiness,0,0,0,0,0,0,0,5,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,0,0,0,9,0
effect,0,0,0,0,0,0,0,9,0,0,0,0,0
desire,0,0,0,0,0,0,0,7,0,0,0,10,0
suffer,0,0,0,0,0,0,0,0,0,0,0,6,0
body,0,0,0,0,0,0,0,9,0,0,0,0,0
mind,0,0,0,0,0,0,0,18,0,0,0,1,0
length,0,0,0,0,0,0,0,4,0,0,0,0,0
fix,0,0,0,0,0,0,0,0,0,0,0,5,0
religion,0,0,0,0,0,0,0,2,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,0,8,0
warning,0,0,0,0,0,0,0,2,0,0,0,0,0
double,5,0,1,0,0,1,0,0,0,0,0,1,0
accident,0,0,0,0,0,0,0,4,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,0,14,0
sudden,1,0,0,0,0,0,0,0,0,0,0,0,0
disappearance,0,0,0,0,0,0,0,2,0,0,0,0,0
easily,0,0,8,0,0,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,0,29,0
present,10,0,0,0,0,0,0,4,0,0,0,9,0
disposition,0,0,0,0,0,0,0,3,0,0,0,0,0
disagreeable,1,0,0,0,0,0,0,0,0,0,0,0,0
cast,0,0,0,0,0,0,0,0,0,0,0,12,0
vortex,0,0,0,0,0,0,0,1,0,0,0,0,0
mundane,3,0,0,0,0,0,0,0,0,0,0,0,0
affair,0,0,0,0,0,0,0,9,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,0,16,0
away,0,1,18,0,0,0,0,0,0,0,0,0,0
resolve,0,0,0,0,0,0,0,0,0,0,0,3,0
defend,0,0,0,0,0,0,0,0,0,0,0,3,0
bravely,0,0,1,0,0,0,0,0,0,0,0,0,0
betray,0,0,0,0,0,0,0,0,0,0,0,2,0
inn,0,0,0,0,0,0,0,6,0,0,0,0,0
absent,1,0,0,0,0,0,0,0,0,0,0,0,0
endeavor,0,0,0,0,0,0,0,0,0,0,0,8,0
prove,0,0,0,0,0,0,0,0,0,0,0,9,0
newcomer,0,0,0,0,0,0,0,1,0,0,0,0,0
indiscretion,0,0,0,0,0,0,0,1,0,0,0,0,0
disturb,0,0,0,0,0,0,0,0,0,0,0,10,0
pious,4,0,0,0,0,0,0,0,0,0,0,0,0
conference,0,0,0,0,0,0,0,2,0,0,0,0,0
commence,0,0,0,0,0,0,0,0,0,0,0,2,0
morning,0,0,0,0,0,0,0,18,0,0,0,0,0
terminate,0,0,0,0,0,0,0,0,0,0,0,3,0
night,0,0,0,0,0,0,0,15,0,0,0,0,0
little,63,0,4,0,0,0,0,0,0,0,0,0,0
heed,0,0,0,0,0,0,0,6,0,0,0,0,0
eloquent,1,0,0,0,0,0,0,0,0,0,0,0,0
discourse,0,0,0,0,0,0,0,1,0,0,0,0,0
support,0,0,0,0,0,0,0,0,0,0,0,6,0
polemic,1,0,0,0,0,0,0,0,0,0,0,0,0
discussion,0,0,0,0,0,0,0,2,0,0,0,0,0
valet,0,0,0,0,0,0,0,1,0,0,0,0,0
simply,0,0,3,0,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,0,0,23,0,0,0,0,0
turn,0,0,0,0,0,0,0,14,0,0,0,35,0
handle,0,0,0,0,0,0,0,1,0,0,0,2,0
open,10,2,0,0,0,0,0,0,0,0,0,27,0
go,0,0,0,0,0,0,0,0,0,0,0,75,0
black,19,0,0,0,0,0,0,3,0,0,0,0,0
gown,0,0,0,0,0,0,0,4,0,0,0,0,0
envelop,0,0,0,0,0,0,0,0,0,0,0,2,0
round,3,2,9,0,0,0,0,0,0,0,0,0,0
flat,2,0,0,0,0,0,0,0,0,0,0,0,0
cap,0,0,0,0,0,0,0,1,0,0,0,0,0
unlike,1,1,0,0,0,0,0,0,0,0,0,0,0
seat,0,0,0,0,0,0,0,7,0,0,0,6,0
oblong,1,0,0,0,0,0,0,0,0,0,0,0,0
table,0,0,0,0,0,0,0,19,0,0,0,0,0
cover,0,0,0,0,0,0,0,1,0,0,0,3,0
roll,0,0,0,0,0,0,0,1,0,0,0,2,0
paper,0,0,0,0,0,0,0,4,0,0,0,0,0
enormous,4,0,0,0,0,0,0,0,0,0,0,0,0
volume,0,0,0,0,0,0,0,2,0,0,0,0,0
folio,0,0,0,0,0,0,0,2,0,0,0,0,0
left,5,0,0,0,0,0,0,1,0,0,0,0,0
curtain,0,0,0,0,0,0,0,1,0,0,0,0,0
half,5,0,9,0,0,9,0,4,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,0,39,0
admit,0,0,0,0,0,0,0,0,0,0,0,7,0
mysterious,4,0,0,0,0,0,0,0,0,0,0,0,0
light,2,0,0,0,0,0,0,9,0,0,0,1,0
calculate,0,0,0,0,0,0,0,0,0,0,0,3,0
beatific,1,0,0,0,0,0,0,0,0,0,0,0,0
reverie,0,0,0,0,0,0,0,1,0,0,0,0,0
object,0,0,0,0,0,0,0,6,0,0,0,0,0
generally,0,0,5,0,0,0,0,0,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,0,0,0,6,0
enter,0,0,0,0,0,0,0,0,0,0,0,32,0
room,0,0,0,0,0,0,0,21,0,0,0,0,0
particularly,0,0,7,0,0,0,0,0,0,0,0,0,0
disappear,0,0,0,0,0,0,0,0,0,0,0,8,0
enchantment,0,0,0,0,0,0,0,2,0,0,0,0,0
sight,0,0,0,0,0,0,0,11,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,0,38,0
idea,0,0,0,0,0,0,0,19,0,0,0,0,0
world,0,0,0,0,0,0,0,27,0,0,0,0,0
lay,0,0,0,0,0,0,0,0,0,0,0,9,0
sword,0,0,0,0,0,0,0,30,0,0,0,0,0
pistol,0,0,0,0,0,0,0,9,0,0,0,0,0
plumed,1,0,0,0,0,0,0,0,0,0,0,0,0
hat,0,0,0,0,0,0,0,6,0,0,0,0,0
embroidery,0,0,0,0,0,0,0,1,0,0,0,0,0
lace,0,0,0,0,0,0,0,3,0,0,0,0,0
kind,3,0,0,0,0,0,0,5,0,0,0,0,0
stead,0,0,0,0,0,0,0,1,0,0,0,0,0
obscure,2,0,0,0,0,0,0,0,0,0,0,0,0
corner,0,0,0,0,0,0,0,4,0,0,0,0,0
discipline,0,0,0,0,0,0,0,2,0,0,0,0,0
cord,0,0,0,0,0,0,0,3,0,0,0,0,0
suspend,0,0,0,0,0,0,0,0,0,0,0,2,0
nail,0,0,0,0,0,0,0,3,0,0,0,0,0
wall,0,0,0,0,0,0,0,5,0,0,0,0,0
noise,0,0,0,0,0,0,0,12,0,0,0,0,0
lift,0,0,0,0,0,0,0,0,0,0,0,3,0
behold,0,0,0,0,0,0,0,0,0,0,0,3,0
great,52,0,0,0,0,0,0,0,0,0,0,0,0
astonishment,0,0,0,0,0,0,0,9,0,0,0,0,0
completely,0,0,5,0,0,0,0,0,0,0,0,0,0
detach,0,0,0,0,0,0,0,0,0,0,0,2,0
glad,3,0,0,0,0,0,0,0,0,0,0,0,0
delighted,3,0,0,0,0,0,0,0,0,0,0,0,0
sure,19,0,1,0,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,0,42,0
afraid,5,0,0,0,0,0,0,0,0,0,0,0,0
mistake,0,0,0,0,0,0,0,4,0,0,0,8,0
apartment,0,0,0,0,0,0,0,11,0,0,0,0,0
error,0,0,0,0,0,0,0,4,0,0,0,0,0
seize,0,0,0,0,0,0,0,0,0,0,0,10,0
company,0,0,0,0,0,0,0,6,0,0,0,0,0
gentleman,0,0,0,0,0,0,0,55,0,0,0,0,0
dangerously,0,0,2,0,0,0,0,0,0,0,0,0,0
ill,12,0,3,0,0,0,0,0,0,0,0,0,0
guess,0,0,0,0,0,0,0,0,0,0,0,8,0
meaning,0,0,0,0,0,0,0,2,0,0,0,0,0
dart,0,0,0,0,0,0,0,0,0,0,0,6,0
threatening,4,0,0,0,0,0,0,1,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,0,37,0
lead,0,0,0,0,0,0,0,0,0,0,0,13,0
confess,0,0,0,0,0,0,0,0,0,0,0,15,0
color,0,0,0,0,0,0,0,5,0,0,0,4,0
imperceptibly,0,0,1,0,0,0,0,0,0,0,0,0,0
swear,0,0,0,0,0,0,0,0,0,0,0,7,0
proof,0,0,0,0,0,0,0,6,0,0,0,0,0
permit,0,0,0,0,0,0,0,0,0,0,0,5,0
declare,0,0,0,0,0,0,0,0,0,0,0,2,0
rejoice,0,0,0,0,0,0,0,0,0,0,0,1,0
safe,3,0,0,0,0,0,0,0,0,0,0,0,0
sound,2,0,0,0,0,0,0,2,0,0,0,5,0
come,0,0,0,0,0,0,0,0,0,0,0,117,0
escape,0,0,0,0,0,0,0,0,0,0,0,8,0
danger,0,0,0,0,0,0,0,3,0,0,0,0,0
unction,0,0,0,0,0,0,0,1,0,0,0,0,0
point,0,0,0,0,0,0,0,10,0,0,0,4,0
address,0,0,0,0,0,0,0,2,0,0,0,11,0
ecclesiastic,0,0,0,0,0,0,0,3,0,0,0,0,0
praise,0,0,0,0,0,0,0,0,0,0,0,1,0
reply,0,0,0,0,0,0,0,13,0,0,0,77,0
bow,0,0,0,0,0,0,0,0,0,0,0,11,0
fail,0,0,0,0,0,0,0,0,0,0,0,13,0
reverence,0,0,0,0,0,0,0,1,0,0,0,0,0
salutation,0,0,0,0,0,0,0,1,0,0,0,0,0
assist,0,0,0,0,0,0,0,0,0,0,0,6,0
intelligence,0,0,0,0,0,0,0,2,0,0,0,0,0
argue,0,0,0,0,0,0,0,0,0,0,0,3,0
certain,12,0,0,0,0,0,0,0,0,0,0,0,0
theological,3,0,0,0,0,0,0,0,0,0,0,0,0
