word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
sensible,1,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,56,0,0,0,0
accident,0,0,0,0,0,0,2,0,0,0,0
plane,0,0,0,0,0,0,4,0,0,0,0
ago,0,0,6,0,0,0,0,0,0,0,0
broken,1,0,0,0,0,0,0,0,0,0,0
engine,0,0,0,0,0,0,6,0,0,0,0
mechanic,0,0,0,0,0,0,1,0,0,0,0
passenger,0,0,0,0,0,0,1,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,13
attempt,0,0,0,0,0,0,0,0,0,0,1
difficult,7,0,0,0,0,0,0,0,0,0,0
repair,0,0,0,0,0,0,1,0,0,0,1
question,0,0,0,0,0,0,22,0,0,0,0
death,0,0,0,0,0,0,6,0,0,0,0
scarcely,0,0,4,0,0,0,0,0,0,0,0
drinking,0,0,0,0,0,0,3,0,0,0,0
water,0,0,0,0,0,0,19,0,0,0,3
week,0,0,0,0,0,0,5,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,30
sand,0,0,0,0,0,0,12,0,0,0,0
thousand,0,0,0,0,0,0,0,13,0,0,0
mile,0,0,0,0,0,0,7,0,0,0,0
human,3,0,0,0,0,0,0,0,0,0,0
habitation,0,0,0,0,0,0,3,0,0,0,0
isolated,1,0,0,0,0,0,0,0,0,0,0
shipwrecked,1,0,0,0,0,0,0,0,0,0,0
sailor,0,0,0,0,0,0,1,0,0,0,0
raft,0,0,0,0,0,0,1,0,0,0,0
middle,0,0,0,0,0,0,2,0,0,0,0
ocean,0,0,0,0,0,0,4,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,3
amazement,0,0,0,0,0,0,1,0,0,0,0
sunrise,0,0,0,0,0,0,3,0,0,0,0
awaken,0,0,0,0,0,0,0,0,0,0,2
odd,3,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,4,0,0,0,0
sheep,0,0,0,0,0,0,41,0,0,0,0
jump,0,0,0,0,0,0,0,0,0,0,2
foot,0,0,0,0,0,0,4,0,0,0,0
completely,0,0,3,0,0,0,0,0,0,0,0
thunderstruck,3,0,0,0,0,0,0,0,0,0,0
blink,0,0,0,0,0,0,0,0,0,0,1
eye,0,0,0,0,0,0,11,0,0,0,0
hard,2,0,2,0,0,0,0,0,0,0,0
carefully,0,0,5,0,0,0,0,0,0,0,0
extraordinary,4,0,0,0,0,0,0,0,0,0,0
small,18,0,0,0,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,6
examine,0,0,0,0,0,0,0,0,0,0,2
seriousness,0,0,0,0,0,0,1,0,0,0,0
good,43,0,1,0,0,0,6,0,0,0,0
portrait,0,0,0,0,0,0,2,0,0,0,0
later,0,0,4,0,0,0,0,0,0,0,0
certainly,0,0,9,0,0,0,0,0,0,0,0
charming,4,0,0,0,0,0,0,0,0,0,0
model,0,0,0,0,0,0,1,0,0,0,0
