word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB
deal,0,0,0,2,0,0,1
physics,0,0,0,9,0,0,0
answer,0,0,0,3,0,0,0
question,0,0,0,2,0,0,0
matter,0,0,1,100,0,0,1
resounding,1,0,0,0,0,0,0
star,0,0,0,6,0,0,0
night,0,0,0,1,0,0,0
sky,0,0,0,1,0,0,0
rock,0,0,0,1,0,0,0
find,0,0,0,0,0,0,8
bury,0,0,0,0,0,0,1
deep,1,0,1,0,0,0,0
beneath,0,1,0,0,0,0,0
surface,0,0,0,8,0,0,0
creature,0,0,0,1,0,0,0
great,19,0,0,0,0,0,0
small,27,0,0,0,0,0,0
include,0,0,0,0,0,0,3
human,0,0,0,1,0,0,0
think,0,0,0,0,0,0,5
compose,0,0,0,0,0,0,11
book,0,0,0,1,0,0,0
take,0,0,0,0,0,0,7
general,1,0,0,0,0,0,0
statement,0,0,0,2,0,0,0
add,0,0,0,0,0,0,2
detail,0,0,0,2,0,0,0
explain,0,0,0,0,0,0,7
existence,0,0,0,3,0,0,0
property,0,0,0,7,0,0,0
risk,0,0,0,1,0,0,0
state,0,0,0,27,0,0,7
obvious,2,0,0,0,0,0,0
microscopic,1,0,0,0,0,0,0
level,0,0,0,5,0,0,0
atom,0,0,0,89,0,0,0
molecule,0,0,0,42,0,0,0
ion,0,0,0,12,0,0,0
close,1,0,0,0,0,0,0
different,21,0,0,0,0,0,0
type,0,0,0,21,0,0,0
piece,0,0,0,2,0,0,0
exist,0,0,0,0,0,0,18
nature,0,0,0,9,0,0,0
combination,0,0,0,2,0,0,0
single,4,0,0,0,0,0,0
group,0,0,0,1,0,0,1
electrical,7,0,0,0,0,0,0
charge,0,0,0,11,0,0,10
cluster,0,0,0,2,0,0,1
center,0,0,0,4,0,0,0
proton,0,0,0,37,0,0,0
neutron,0,0,0,31,0,0,0
particle,0,0,0,69,0,0,0
call,0,0,0,0,0,0,25
electron,0,0,0,47,0,0,0
orbit,0,0,0,6,0,0,3
form,0,0,0,8,0,0,20
phase,0,0,0,9,0,0,0
solid,16,0,0,8,0,0,0
liquid,9,0,0,17,0,0,0
gas,0,0,0,15,0,0,0
definite,6,0,0,0,0,0,0
size,0,0,0,10,0,0,0
shape,0,0,0,8,0,0,0
change,0,0,0,14,0,0,20
volume,0,0,0,7,0,0,0
determine,0,0,0,0,0,0,9
container,0,0,0,9,0,0,0
occupy,0,0,0,0,0,0,1
simply,0,0,1,0,0,0,0
expand,0,0,0,0,0,0,2
fill,0,0,0,0,0,0,5
completely,0,0,2,0,0,0,0
example,0,0,0,14,0,0,0
ice,0,0,0,8,0,0,0
melt,0,0,0,0,0,0,4
water,0,0,0,29,0,0,0
refreeze,0,0,0,0,0,0,1
reverse,0,0,0,2,0,0,0
characteristic,1,0,0,2,0,0,0
subject,1,0,0,1,0,0,1
inertia,0,0,0,18,0,0,0
gravitation,0,0,0,7,0,0,0
describe,0,0,0,0,0,0,2
resistance,0,0,0,4,0,0,0
stop,0,0,0,0,0,0,5
move,0,0,0,0,0,0,18
rest,0,0,0,11,0,0,3
mass,0,0,0,61,0,0,0
object,0,0,0,15,0,0,0
meaning,0,0,0,2,0,0,0
word,0,0,0,5,0,0,0
massive,5,0,0,0,0,0,0
force,0,0,0,42,0,0,1
require,0,0,0,0,0,0,6
important,3,0,0,0,0,0,0
weight,0,0,0,11,0,0,0
come,0,0,0,0,0,0,7
gravity,0,0,0,8,0,0,0
attract,0,0,0,0,0,0,3
draw,0,0,0,0,0,0,1
pull,0,0,0,6,0,0,1
planet,0,0,0,5,0,0,0
core,0,0,0,3,0,0,0
distance,0,0,0,3,0,0,0
strength,0,0,0,4,0,0,0
give,0,0,0,0,0,0,13
experience,0,0,0,2,0,0,4
strong,5,0,0,0,0,0,0
gravitational,15,0,0,0,0,0,0
mountain,0,0,0,4,0,0,0
turn,0,0,0,2,0,0,2
weigh,0,0,0,0,0,0,3
atop,0,1,0,0,0,0,0
physicist,0,0,0,12,0,0,0
table,0,0,0,3,0,0,0
element,0,0,0,20,0,0,0
front,0,0,0,0,0,0,1
diagram,0,0,0,2,0,0,0
atomic,13,0,0,0,0,0,0
model,0,0,0,3,0,0,0
people,0,0,0,4,0,0,0
understanding,0,0,0,6,0,0,0
grow,0,0,0,0,0,0,1
year,0,0,0,4,0,0,0
century,0,0,0,12,0,0,0
scientist,0,0,0,17,0,0,0
sure,1,0,0,0,0,0,0
energy,0,0,0,63,0,0,0
separate,2,0,0,0,0,0,2
thing,0,0,0,4,0,0,0
prove,0,0,0,0,0,0,1
theory,0,0,0,31,0,0,0
special,8,0,0,0,0,0,0
relativity,0,0,0,12,0,0,0
well,0,0,1,0,0,0,0
know,0,0,0,0,0,0,14
closely,0,0,1,0,0,0,0
link,0,0,0,0,0,0,1
say,0,0,0,0,0,0,3
equivalent,4,0,0,0,0,0,0
fact,0,0,0,7,0,0,0
convert,0,0,0,0,0,0,9
raise,0,0,0,0,0,0,1
modern,2,0,0,0,0,0,0
era,0,0,0,1,0,0,0
rise,0,0,0,1,0,0,0
quantum,5,0,0,1,0,0,0
mechanic,0,0,0,7,0,0,0
study,0,0,0,2,0,0,5
astronomical,4,0,0,0,0,0,0
observation,0,0,0,5,0,0,0
experimentation,0,0,0,1,0,0,0
reveal,0,0,0,0,0,0,2
plenty,0,0,0,1,0,0,0
doubt,0,0,1,0,0,0,0
future,0,0,0,1,0,0,0
continue,0,0,0,0,0,0,3
investigate,0,0,0,0,0,0,2
fundamental,5,0,0,0,0,0,0
topic,0,0,0,1,0,0,0
grain,0,0,0,1,0,0,0
sand,0,0,0,1,0,0,0
elephant,0,0,0,1,0,0,0
giant,3,0,0,0,0,0,0
edge,0,0,0,1,0,0,0
visible,3,0,0,0,0,0,0
universe,0,0,0,14,0,0,0
common,8,0,0,0,0,0,0
material,0,0,0,4,0,0,0
substance,0,0,0,13,0,0,0
make,0,0,0,0,0,0,3
physical,5,0,0,0,0,0,0
beam,0,0,0,4,0,0,0
light,2,0,0,14,0,0,0
motion,0,0,0,19,0,0,0
fall,0,0,0,2,0,0,1
stone,0,0,0,2,0,0,0
explosion,0,0,0,1,0,0,0
stick,0,0,0,1,0,0,1
dynamite,0,0,0,1,0,0,0
expression,0,0,0,2,0,0,0
basis,0,0,0,1,0,0,0
observable,1,0,0,0,0,0,0
phenomenon,0,0,0,2,0,0,0
tiny,6,0,0,0,0,0,0
unit,0,0,0,3,0,0,0
basic,4,0,0,0,0,0,0
building,0,0,0,3,0,0,0
block,0,0,0,3,0,0,0
chemistry,0,0,0,1,0,0,0
chemical,5,0,0,4,0,0,0
hydrogen,0,0,0,14,0,0,0
oxygen,0,0,0,11,0,0,0
calcium,0,0,0,1,0,0,0
iron,0,0,0,2,0,0,0
gold,0,0,0,3,0,0,0
neon,0,0,0,3,0,0,0
contain,0,0,0,0,0,0,8
mixture,0,0,0,5,0,0,0
kind,0,0,0,7,0,0,0
join,0,0,0,0,0,0,6
chemically,0,0,4,0,0,0,0
electrically,0,0,4,0,0,0,0
roughly,0,0,1,0,0,0,0
million,0,0,0,0,1,0,0
line,0,0,0,1,0,0,1
row,0,0,0,1,0,0,0
measure,0,0,0,1,0,0,4
inch,0,0,0,2,0,0,0
centimeter,0,0,0,2,0,0,0
glass,0,0,0,5,0,0,0
beaker,0,0,0,1,0,0,0
huge,1,0,0,0,0,0,0
number,0,0,0,18,0,0,0
mention,0,0,0,0,0,0,1
need,0,0,0,0,0,0,3
bulk,0,0,0,1,0,0,0
everyday,2,0,0,0,0,0,0
life,0,0,0,1,0,0,0
consist,0,0,0,0,0,0,10
large,8,0,0,0,0,0,0
amount,0,0,0,6,0,0,0
component,0,0,0,5,0,0,0
instance,0,0,0,4,0,0,0
extremely,0,0,7,0,0,0,0
combine,0,0,0,0,0,0,3
long,1,0,5,0,0,0,0
believe,0,0,0,0,0,0,3
elementary,8,0,0,0,0,0,0
discernible,1,0,0,0,0,0,0
structure,0,0,0,2,0,0,0
break,0,0,0,0,0,0,7
apart,0,0,5,0,0,0,0
greek,1,0,0,0,0,0,0
mean,0,0,0,0,0,0,3
indivisible,1,0,0,0,0,0,0
end,0,0,0,3,0,0,0
part,0,0,0,2,0,0,0
split,0,0,0,0,0,0,4
involve,0,0,0,0,0,0,2
nuclear,12,0,0,1,0,0,0
reaction,0,0,0,6,0,0,0
ordinary,7,0,0,0,0,0,0
positively,0,0,5,0,0,0,0
nucleus,0,0,0,33,0,0,0
helium,0,0,0,13,0,0,0
carbon,0,0,0,6,0,0,0
circle,0,0,0,0,0,0,4
negatively,0,0,7,0,0,0,0
subatomic,6,0,0,0,0,0,0
space,0,0,0,10,0,0,0
concentrate,0,0,0,0,0,0,1
exception,0,0,0,1,0,0,0
name,0,0,0,1,0,0,0
suggest,0,0,0,0,0,0,1
positive,5,0,0,0,0,0,0
neutral,2,0,0,0,0,0,0
carry,0,0,0,0,0,0,2
overall,1,0,2,0,0,0,0
represent,0,0,0,0,0,0,3
isotope,0,0,0,10,0,0,0
vary,0,0,0,0,0,0,4
differ,0,0,0,0,0,0,1
cloud,0,0,0,2,0,0,0
charged,4,0,0,0,0,0,0
gram,0,0,0,1,0,0,0
time,0,0,0,5,0,0,0
account,0,0,0,0,0,0,5
percent,0,0,0,7,0,0,0
fraction,0,0,0,4,0,0,0
constitute,0,0,0,0,0,0,1
proportion,0,0,0,2,0,0,0
marble,0,0,0,1,0,0,0
football,0,0,0,1,0,0,0
field,0,0,0,6,0,0,0
dense,1,0,0,0,0,0,0
hold,0,0,0,0,0,0,8
opposite,2,0,0,0,0,0,0
electric,1,0,0,0,0,0,0
attractive,6,0,0,0,0,0,0
keep,0,0,0,0,0,0,2
like,1,9,0,0,0,0,0
way,0,0,0,4,0,0,0
unlike,0,4,0,0,0,0,0
arbitrary,1,0,0,0,0,0,0
certain,3,0,0,0,0,0,0
specific,1,0,0,0,0,0,0
location,0,0,0,1,0,0,0
allow,0,0,0,0,0,0,1
particular,4,0,0,0,0,0,0
fix,0,0,0,0,0,0,3
danish,1,0,0,0,0,0,0
propose,0,0,0,0,0,0,1
early,5,0,1,0,0,0,0
stable,5,0,0,0,0,0,0
ordinarily,0,0,3,0,0,0,0
cancel,0,0,0,0,0,0,1
gain,0,0,0,0,0,0,6
lose,0,0,0,0,0,0,2
live,0,0,0,0,0,0,3
present,2,0,0,0,0,0,0
naturally,0,0,3,0,0,0,0
occur,0,0,0,0,0,0,6
association,0,0,0,1,0,0,0
create,0,0,0,0,0,0,6
addition,0,0,0,3,0,0,0
enormous,1,0,0,0,0,0,0
short,2,0,1,0,0,0,0
quark,0,0,0,8,0,0,0
reduce,0,0,0,0,0,0,1
consider,0,0,0,0,0,0,8
simple,2,0,0,0,0,0,0
silver,0,0,0,1,0,0,0
uranium,0,0,0,3,0,0,0
heavy,2,0,0,0,0,0,0
significant,1,0,0,0,0,0,0
assign,0,0,0,0,0,0,1
equal,5,0,0,0,0,0,0
identify,0,0,0,0,0,0,1
arrangement,0,0,0,4,0,0,0
interact,0,0,0,0,0,0,2
reason,0,0,0,5,0,0,0
behavior,0,0,0,3,0,0,0
deuterium,0,0,0,1,0,0,0
rare,1,0,0,0,0,0,0
tritium,0,0,0,2,0,0,0
unstable,3,0,0,0,0,0,0
radioactive,6,0,0,0,0,0,0
gray,1,0,0,0,0,0,0
green,0,0,0,1,0,0,0
radiation,0,0,0,1,0,0,0
man,0,0,0,2,0,0,0
produce,0,0,0,0,0,0,6
reactor,0,0,0,3,0,0,0
machine,0,0,0,5,0,0,0
accelerator,0,0,0,7,0,0,0
smasher,0,0,0,1,0,0,0
fast,0,0,2,0,0,0,0
cause,0,0,0,0,0,0,4
collide,0,0,0,0,0,0,2
collision,0,0,0,2,0,0,0
new,2,0,0,0,0,0,0
synthesize,0,0,0,0,0,0,2
dozen,0,0,0,1,0,0,0
later,0,0,3,0,0,0,0
trace,0,0,0,1,0,0,1
decay,0,0,0,1,0,0,1
radioactively,0,0,1,0,0,0,0
second,2,0,0,5,0,0,0
compound,0,0,0,7,0,0,0
undergo,0,0,0,0,0,0,1
bonding,0,0,0,1,0,0,0
result,0,0,0,5,0,0,4
attraction,0,0,0,4,0,0,0
share,0,0,0,0,0,0,2
covalent,1,0,0,0,0,0,0
bond,0,0,0,5,0,0,2
good,1,0,0,0,0,0,0
symbol,0,0,0,1,0,0,0
denote,0,0,0,0,0,0,1
possible,4,0,0,0,0,0,0
peroxide,0,0,0,1,0,0,0
french,1,0,0,0,0,0,0
hospital,0,0,0,1,0,0,0
smash,0,0,0,0,0,0,1
diagnosis,0,0,0,1,0,0,0
treatment,0,0,0,1,0,0,0
cancer,0,0,0,1,0,0,0
illness,0,0,0,1,0,0,0
salt,0,0,0,5,0,0,0
sodium,0,0,0,4,0,0,0
chloride,0,0,0,3,0,0,0
exchange,0,0,0,0,0,0,2
ionic,1,0,0,0,0,0,0
ionization,0,0,0,1,0,0,0
heat,0,0,0,5,0,0,3
presence,0,0,0,1,0,0,0
chlorine,0,0,0,2,0,0,0
acquire,0,0,0,0,0,0,1
arrange,0,0,0,0,0,0,2
pattern,0,0,0,11,0,0,0
intermingle,0,0,0,0,0,0,1
solution,0,0,0,1,0,0,0
spread,0,0,0,0,0,0,3
dissolve,0,0,0,0,0,0,1
observe,0,0,0,0,0,0,6
classify,0,0,0,0,0,0,1
generally,0,0,2,0,0,0,0
possess,0,0,0,0,0,0,4
retain,0,0,0,0,0,0,2
situate,0,0,0,0,0,0,1
pencil,0,0,0,1,0,0,0
desktop,0,0,0,1,0,0,0
place,0,0,0,4,0,0,4
upright,0,0,1,0,0,0,0
assume,0,0,0,0,0,0,3
pint,0,0,0,1,0,0,0
pour,0,0,0,0,0,0,1
bowl,0,0,0,1,0,0,0
remain,0,0,0,0,0,0,5
complete,2,0,0,0,0,0,0
temperature,0,0,0,22,0,0,0
pressure,0,0,0,20,0,0,0
gaseous,8,0,0,0,0,0,0
constant,3,0,0,1,0,0,0
atmospheric,5,0,0,0,0,0,0
remove,0,0,0,0,0,0,1
freezer,0,0,0,1,0,0,0
warm,1,0,0,0,0,0,1
pan,0,0,0,2,0,0,0
hot,2,0,0,0,0,0,0
fire,0,0,0,1,0,0,0
steam,0,0,0,2,0,0,0
cool,0,0,0,0,0,0,1
low,10,0,0,0,0,0,0
quartz,0,0,0,1,0,0,0
high,12,0,0,0,0,0,0
familiar,4,0,0,0,0,0,0
wide,1,0,0,0,0,0,0
