word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,SYM,VERB,X
arrival,0,0,0,0,0,0,13,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,16,0,0,0,0,0,0,0
count,0,0,0,0,0,0,1,0,0,0,0,0,5,0
number,0,0,0,0,0,0,11,0,0,0,0,0,5,0
passenger,0,0,0,0,0,0,16,0,0,0,0,0,0,0
alternate,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,9,0,0,0,0,0,6,0
agitate,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bosom,0,0,0,0,0,0,4,0,0,0,0,0,0,0
poor,26,0,0,0,0,0,0,0,0,0,0,0,0,0
fancy,1,0,0,0,0,0,2,0,0,0,0,0,8,0
father,0,0,0,0,0,0,15,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,0,0,48,0
way,0,0,0,0,0,0,41,0,0,0,0,0,0,0
despair,0,0,0,0,0,0,8,0,0,0,0,0,0,0
throb,0,0,0,0,0,0,1,0,0,0,0,0,1,0
violently,0,0,3,0,0,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,0,0,38,0
scarcely,0,0,13,0,0,0,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,0,15,0,0,0,0,0,5,0
round,1,16,8,0,0,0,0,0,0,0,0,0,1,0
waist,0,0,0,0,0,0,1,0,0,0,0,0,0,0
support,0,0,0,0,0,0,0,0,0,0,0,0,4,0
captain,0,0,0,0,0,0,45,0,0,0,0,0,0,0
close,6,0,5,0,0,0,2,0,0,0,0,0,10,0
encouraging,1,0,0,0,0,0,0,0,0,0,0,0,0,0
practiced,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,24,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,0,36,0
plainly,0,0,4,0,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,0,0,109,0
exclaim,0,0,0,0,0,0,0,0,0,0,0,0,31,0
young,42,0,0,0,0,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,8,0,0,0,0,0,0,0
near,1,6,5,0,0,0,0,0,0,0,0,0,2,0
illusion,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dispel,0,0,0,0,0,0,0,0,0,0,0,0,1,0
forsake,0,0,0,0,0,0,0,0,0,0,0,0,2,0
sink,0,0,0,0,0,0,0,0,0,0,0,0,11,0
reassuring,1,0,0,0,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,18,0,0,0,0,0,0,0
mutual,2,0,0,0,0,0,0,0,0,0,0,0,0,0
embrace,0,0,0,0,0,0,1,0,0,0,0,0,3,0
inform,0,0,0,0,0,0,0,0,0,0,0,0,5,0
principal,10,0,0,0,0,0,1,0,0,0,0,0,0,0
incident,0,0,0,0,0,0,7,0,0,0,0,0,0,0
especially,0,0,5,0,0,0,0,0,0,0,0,0,0,0
new,15,0,0,0,0,0,0,0,0,0,0,0,0,0
interpretation,0,0,0,0,0,0,5,0,0,0,0,0,0,0
document,0,0,0,0,0,0,28,0,0,0,0,0,0,0
sagacity,0,0,0,0,0,0,2,0,0,0,0,0,0,0
lordship,0,0,0,0,0,0,19,0,0,0,0,0,0,0
eulogistic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
term,0,0,0,0,0,0,1,0,0,0,0,0,0,0
proud,1,0,0,0,0,0,0,0,0,0,0,0,0,0
courage,0,0,0,0,0,0,5,0,0,0,0,0,0,0
devotion,0,0,0,0,0,0,5,0,0,0,0,0,0,0
danger,0,0,0,0,0,0,17,0,0,0,0,0,0,0
run,0,0,0,0,0,0,0,0,0,0,0,0,16,0
show,0,0,0,0,0,0,0,0,0,0,0,0,13,0
strong,12,0,0,0,0,0,0,0,0,0,0,0,0,0
relief,0,0,0,0,0,0,1,0,0,0,0,0,0,0
patron,0,0,0,0,0,0,1,0,0,0,0,0,0,0
till,0,0,0,0,0,0,0,0,0,0,33,0,0,0
modest,1,0,0,0,0,0,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,0,12,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,0,71,0
look,0,0,0,0,0,0,6,0,0,0,0,0,47,0
oblige,0,0,0,0,0,0,0,0,0,0,0,0,23,0
hide,0,0,0,0,0,0,0,0,0,0,0,0,6,0
burn,0,0,0,0,0,0,0,0,0,0,0,0,4,0
cheek,0,0,0,0,0,0,4,0,0,0,0,0,0,0
sister,0,0,0,0,0,0,6,0,0,0,0,0,0,0
need,0,0,0,5,0,0,4,0,0,0,0,0,13,0
blush,0,0,0,0,0,0,1,0,0,0,0,0,1,0
say,0,0,0,0,0,0,0,0,0,0,0,0,254,0
