word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
slave,0,0,0,2,0,0,0,0
trade,0,0,0,5,0,0,2,0
understanding,0,0,0,1,0,0,0,0
account,0,0,0,4,0,0,0,0
culture,0,0,0,10,0,0,0,0
biased,1,0,0,0,0,0,0,0
report,0,0,0,1,0,0,1,0
understandably,0,0,1,0,0,0,0,0
paint,0,0,0,0,0,0,2,0
violent,4,0,0,0,0,0,0,0
brutal,1,0,0,0,0,0,0,0
aggressor,0,0,0,1,0,0,0,0
english,6,0,0,0,0,0,0,0
cleric,0,0,0,1,0,0,0,0
scholar,0,0,0,1,0,0,0,0
write,0,0,0,0,0,0,3,0
late,4,0,0,0,0,0,0,0
terror,0,0,0,3,0,0,0,0
appear,0,0,0,0,0,0,2,0
suffer,0,0,0,0,0,0,2,0
pagan,1,0,0,0,0,0,0,0
race,0,0,0,1,0,0,0,0
formidable,1,0,0,0,0,0,0,0
know,0,0,0,0,0,0,8,0
complex,1,0,0,0,0,0,0,0
civilization,0,0,0,2,0,0,0,0
contribute,0,0,0,0,0,0,2,0
society,0,0,0,3,0,0,0,0
spread,0,0,0,0,0,0,3,0
chaos,0,0,0,1,0,0,0,0
help,0,0,0,0,0,0,5,0
connect,0,0,0,0,0,0,1,0
distant,1,0,0,0,0,0,0,0
idea,0,0,0,2,0,0,0,0
word,0,0,0,3,0,0,0,0
label,0,0,0,1,0,0,0,0
apply,0,0,0,0,0,0,1,0
look,0,0,0,0,0,0,6,0
today,0,0,0,2,0,0,0,0
bit,0,0,0,1,0,0,0,0
short,1,0,0,0,0,0,0,0
poor,1,0,0,0,0,0,0,0
nutrition,0,0,0,1,0,0,0,0
beauty,0,0,0,2,0,0,0,0
fashion,0,0,0,1,0,0,1,0
standard,0,0,0,1,0,0,0,0
different,2,0,0,0,0,0,0,0
blonde,1,0,0,0,0,0,0,0
hair,0,0,0,2,0,0,0,0
prefer,0,0,0,0,0,0,1,0
men,0,0,0,1,0,0,0,0
woman,0,0,0,8,0,0,0,0
strong,3,0,0,0,0,0,0,0
soap,0,0,0,1,0,0,0,0
contain,0,0,0,0,0,0,1,0
lye,0,0,0,1,0,0,0,0
bleach,0,0,0,0,0,0,1,0
include,0,0,0,0,0,0,10,0
man,0,0,0,6,0,0,0,0
beard,0,0,0,1,0,0,0,0
arab,3,0,0,0,0,0,0,0
traveler,0,0,0,1,0,0,0,0
call,0,0,0,0,0,0,15,0
filthy,1,0,0,0,0,0,0,0
creature,0,0,0,1,0,0,0,0
wealthy,3,0,0,0,0,0,0,0
cleanliness,0,0,0,1,0,0,0,0
tweezer,0,0,0,1,0,0,0,0
razor,0,0,0,1,0,0,0,0
comb,0,0,0,1,0,0,0,0
ear,0,0,0,1,0,0,0,0
clean,0,0,0,0,0,0,1,0
tool,0,0,0,1,0,0,0,0
bone,0,0,0,1,0,0,0,0
antler,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,8,0
excavation,0,0,0,2,0,0,0,0
site,0,0,0,1,0,0,0,0
wear,0,0,0,0,0,0,9,0
jacket,0,0,0,1,0,0,0,0
pant,0,0,0,1,0,0,0,0
dress,0,0,0,1,0,0,1,0
long,7,0,1,0,0,0,0,0
cloak,0,0,0,3,0,0,0,0
fasten,0,0,0,0,0,0,1,0
shoulder,0,0,0,2,0,0,0,0
clothe,0,0,0,1,0,0,0,0
easy,3,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,8,0
use,0,0,0,0,0,0,1,0
weapon,0,0,0,7,0,0,0,0
gold,1,0,0,3,0,0,0,0
brooch,0,0,0,1,0,0,0,0
shoe,0,0,0,1,0,0,0,0
calfor,0,0,0,1,0,0,0,0
goatskin,0,0,0,1,0,0,0,0
skate,0,0,0,1,0,0,0,0
spike,0,0,0,1,0,0,0,0
foot,0,0,0,3,0,0,0,0
cross,0,0,0,0,0,0,1,0
ice,0,0,0,1,0,0,0,0
cover,0,0,0,0,0,0,2,0
surface,0,0,0,1,0,0,0,0
winter,0,0,0,1,0,0,0,0
show,0,0,0,0,0,0,1,0
artist,0,0,0,3,0,0,0,0
imagining,0,0,0,1,0,0,0,0
story,0,0,0,2,0,0,0,0
aid,0,0,0,0,0,0,2,0
old,4,0,0,0,0,0,0,0
irish,5,0,0,0,0,0,0,0
marry,0,0,0,0,0,0,2,0
hold,0,0,0,0,0,0,8,0
right,0,0,0,3,0,0,0,0
inherit,0,0,0,0,0,0,2,0
property,0,0,0,2,0,0,0,0
request,0,0,0,0,0,0,1,0
divorce,0,0,0,2,0,0,0,0
dowry,1,0,0,1,0,0,0,0
historian,0,0,0,4,0,0,0,0
generally,0,0,1,0,0,0,0,0
believe,0,0,0,0,0,0,5,0
soldier,0,0,0,8,0,0,0,0
legend,0,0,0,3,0,0,0,0
relate,0,0,0,0,0,0,2,0
maiden,0,0,0,1,0,0,0,0
family,0,0,0,6,0,0,0,0
live,0,0,0,0,0,0,5,0
village,0,0,0,4,0,0,0,0
wooden,3,0,0,0,0,0,0,0
house,0,0,0,1,0,0,1,0
thatched,1,0,0,0,0,0,0,1
roof,0,0,0,3,0,0,0,0
work,0,0,0,0,0,0,3,0
accumulate,0,0,0,0,0,0,1,0
wealth,0,0,0,3,0,0,0,0
protect,0,0,0,0,0,0,2,0
interest,0,0,0,1,0,0,0,0
choose,0,0,0,0,0,0,3,0
powerful,4,0,0,0,0,0,0,0
rule,0,0,0,2,0,0,3,0
remnant,0,0,0,1,0,0,0,0
article,0,0,0,1,0,0,0,0
clothing,0,0,0,2,0,0,0,0
grave,0,0,0,5,0,0,0,0
model,0,0,0,1,0,0,0,0
authentically,0,0,1,0,0,0,0,0
rigid,1,0,0,0,0,0,0,0
class,0,0,0,3,0,0,0,0
system,0,0,0,3,0,0,0,0
thrall,0,0,0,3,0,0,0,0
low,1,0,0,0,0,0,0,0
capture,0,0,0,0,0,0,2,0
sentence,0,0,0,0,0,0,1,0
slavery,0,0,0,1,0,0,0,0
crime,0,0,0,2,0,0,0,0
pay,0,0,0,0,0,0,4,0
debt,0,0,0,1,0,0,0,0
enjoy,0,0,0,0,0,0,2,0
free,0,0,0,0,0,0,2,0
tale,0,0,0,1,0,0,0,0
mythology,0,0,0,1,0,0,0,0
heaven,0,0,0,1,0,0,0,0
norse,6,0,0,0,0,0,0,0
god,0,0,0,9,0,0,0,0
allow,0,0,0,0,0,0,3,0
die,0,0,0,0,0,0,2,0
bravely,0,0,1,0,0,0,0,0
vast,1,0,0,0,0,0,0,0
banquet,0,0,0,1,0,0,0,0
hall,0,0,0,1,0,0,0,0
female,1,0,0,0,0,0,0,0
spirit,0,0,0,1,0,0,0,0
valkyrie,0,0,0,1,0,0,0,0
watch,0,0,0,0,0,0,1,0
battlefield,0,0,0,1,0,0,0,0
bring,0,0,0,0,0,0,2,0
dead,2,0,0,2,0,0,0,0
hero,0,0,0,1,0,0,0,0
say,0,0,0,0,0,0,3,0
end,0,0,0,2,0,0,2,0
world,0,0,0,3,0,0,0,0
rise,0,0,0,0,0,0,1,0
fight,0,0,0,0,0,0,4,0
evil,1,0,0,0,0,0,0,0
giant,0,0,0,2,0,0,0,0
demon,0,0,0,1,0,0,0,0
final,3,0,0,0,0,0,0,0
fourteenth,1,0,0,0,0,0,0,0
manuscript,0,0,0,2,0,0,0,0
display,0,0,0,0,0,0,1,0
swedish,4,0,0,0,0,0,0,0
king,0,0,0,19,0,0,0,0
disguise,0,0,0,1,0,0,0,0
speak,0,0,0,0,0,0,1,0
beginning,0,0,0,1,0,0,0,0
drawing,0,0,0,1,0,0,0,0
farmhouse,0,0,0,1,0,0,0,0
base,0,0,0,0,0,0,2,0
archaeological,1,0,0,0,0,0,0,0
building,0,0,0,1,0,0,0,0
turf,0,0,0,1,0,0,0,0
dense,1,0,0,0,0,0,0,0
layer,0,0,0,1,0,0,0,0
grass,0,0,0,1,0,0,0,0
karl,0,0,0,4,0,0,0,0
middle,1,0,0,0,0,0,0,0
farmer,0,0,0,2,0,0,0,0
unlike,0,1,0,0,0,0,0,0
mark,0,0,0,2,0,0,0,0
true,2,0,0,0,0,0,0,0
attain,0,0,0,0,0,0,1,0
status,0,0,0,2,0,0,0,0
jarl,0,0,0,6,0,0,0,0
demand,0,0,0,0,0,0,2,0
tribute,0,0,0,4,0,0,1,0
region,0,0,0,2,0,0,0,0
support,0,0,0,1,0,0,1,0
willingly,0,0,1,0,0,0,0,0
war,0,0,0,3,0,0,0,0
foreign,2,0,0,0,0,0,0,0
expedition,0,0,0,2,0,0,0,0
one,0,0,0,1,0,0,0,0
provide,0,0,0,0,0,0,1,0
party,0,0,0,3,0,0,0,0
able,3,0,0,0,0,0,0,0
defeat,0,0,0,1,0,0,3,0
rival,0,0,0,1,0,0,0,0
achieve,0,0,0,0,0,0,2,0
highly,0,0,1,0,0,0,0,0
develop,0,0,0,0,0,0,3,0
