word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,VERB,X
million,0,0,0,0,0,2,0,0,0
lucky,1,0,0,0,0,0,0,0,0
people,0,0,0,0,0,9,0,0,0
opportunity,0,0,0,0,0,2,0,0,0
witness,0,0,0,0,0,0,0,3,0
unusual,2,0,0,0,0,0,0,0,0
celestial,10,0,0,0,0,0,0,0,0
event,0,0,0,0,0,2,0,0,0
special,5,0,0,0,0,0,0,0,0
dark,9,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,1,0,0,0
pinhole,0,0,0,0,0,1,0,0,0
camera,0,0,0,0,0,3,0,0,0
device,0,0,0,0,0,3,0,0,0
blind,0,0,0,0,0,1,0,1,0
see,0,0,0,0,0,0,0,20,0
rare,2,0,0,0,0,0,0,0,0
annular,4,0,0,0,0,0,0,0,0
solar,13,0,0,0,0,0,0,0,0
eclipse,0,0,0,0,0,26,0,0,0
kind,0,0,0,0,0,3,0,0,0
take,0,0,0,0,0,0,0,6,0
place,0,0,0,0,0,6,0,2,0
close,5,0,2,0,0,0,0,0,0
farthest,0,0,1,0,0,0,0,0,0
away,0,0,13,0,0,0,0,0,0
completely,0,0,3,0,0,0,0,0,0
cover,0,0,0,0,0,0,0,6,0
mean,0,0,0,0,0,0,0,6,0
peak,0,0,0,0,0,2,0,0,0
phase,0,0,0,0,0,8,0,0,0
rim,0,0,0,0,0,1,0,0,0
visible,21,0,0,0,0,0,0,0,0
disk,0,0,0,0,0,7,0,0,0
last,0,0,0,0,0,0,0,2,0
minute,0,0,0,0,0,4,0,0,0
second,2,0,0,0,0,2,0,0,0
duration,0,0,0,0,0,1,0,0,0
exceed,0,0,0,0,0,0,0,1,0
year,0,0,0,0,0,11,0,0,0
subject,0,0,0,0,0,1,0,0,0
fascinating,2,0,0,0,0,0,0,0,0
topic,0,0,0,0,0,1,0,0,0
learn,0,0,0,0,0,0,0,6,0
volume,0,0,0,0,0,2,0,0,0
early,13,0,0,0,0,0,0,0,0
