word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
broken,4,0,0,0,0,0,0,0,0,0,0
stone,0,0,0,0,0,0,3,0,0,0,0
angrily,0,0,1,0,0,0,0,0,0,0,0
sure,11,0,0,0,0,0,0,0,0,0,0
dangerous,4,0,0,0,0,0,0,0,0,0,0
dark,3,0,0,0,0,0,1,0,0,0,0
corner,0,0,0,0,0,0,3,0,0,0,0
new,4,0,0,0,0,0,0,0,0,0,0
unbroken,1,0,0,0,0,0,0,0,0,0,0
pleased,2,0,0,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,0,0,0,0,3,0
shake,0,0,0,0,0,0,0,0,0,5,0
play,0,0,0,0,0,0,1,0,0,0,0
call,0,0,0,0,0,0,0,0,0,4,0
evening,0,0,0,0,0,0,5,0,0,0,0
terrible,9,0,0,0,0,0,0,0,0,0,0
murder,0,0,0,0,0,0,20,0,0,1,0
wake,0,0,0,0,0,0,0,0,0,1,0
sleep,0,0,0,0,0,0,1,0,0,0,0
number,0,0,0,0,0,0,1,0,0,0,0
scream,0,0,0,0,0,0,5,0,0,1,0
fourth,13,0,0,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,24,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,3,0
daughter,0,0,0,0,0,0,7,0,0,0,0
neighbour,0,0,0,0,0,0,9,0,0,0,0
policeman,0,0,0,0,0,0,3,0,0,0,0
run,0,0,0,0,0,0,0,0,0,10,0
answer,0,0,0,0,0,0,10,0,0,8,0
knocking,0,0,0,0,0,0,1,0,0,0,0
break,0,0,0,0,0,0,0,0,0,13,0
door,0,0,0,0,0,0,21,0,0,0,0
get,0,0,0,0,0,0,0,0,0,9,0
stair,0,0,0,0,0,0,12,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,21,0
angry,8,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,56,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,4,0
second,2,0,0,0,0,0,1,0,0,0,0
silent,3,0,0,0,0,0,0,0,0,0,0
hurry,0,0,0,0,0,0,0,0,0,1,0
room,0,0,0,0,0,0,32,0,0,0,0
large,5,0,0,0,0,0,0,0,0,0,0
