word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,VERB
force,0,0,0,0,3,0,0,5
similar,3,0,0,0,0,0,0,0
mechanism,0,0,0,0,1,0,0,0
follow,0,0,0,0,0,0,0,2
scottish,2,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,34
seal,0,0,0,0,0,0,0,1
end,0,0,0,0,3,0,0,0
double,0,0,2,0,0,0,0,0
act,0,0,0,0,0,0,0,2
devise,0,0,0,0,0,0,0,1
motion,0,0,0,0,6,0,0,0
round,2,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,4
valve,0,0,0,0,12,0,0,0
spray,0,0,0,0,5,0,0,2
cold,1,0,0,0,0,0,0,0
cool,0,0,0,0,0,0,0,3
condense,0,0,0,0,0,0,0,1
lower,0,0,0,0,0,0,0,1
pressure,0,0,0,0,9,0,0,0
high,11,0,0,0,0,0,0,0
outside,0,1,2,0,1,0,0,0
push,1,0,0,0,1,0,0,9
rock,0,0,0,0,0,0,0,1
beam,0,0,0,0,2,0,0,0
link,0,0,0,0,2,0,0,6
weight,0,0,0,0,2,0,0,0
rod,0,0,0,0,5,0,0,0
cycle,0,0,0,0,7,0,0,0
fit,0,0,0,0,0,0,0,3
wheeled,6,0,0,0,0,0,0,0
gun,0,0,0,0,1,0,0,0
trundle,0,0,0,0,0,0,0,1
mph,0,0,0,0,15,0,0,0
crash,0,0,0,0,0,0,0,2
discover,0,0,0,0,0,0,0,1
dangerous,2,0,0,0,0,0,0,0
explode,0,0,0,0,0,0,0,2
go,0,0,0,0,0,0,0,15
ahead,0,0,2,0,0,0,0,0
second,3,0,0,0,2,0,0,0
mile,0,0,0,1,10,0,0,0
terrible,1,0,0,0,0,0,0,0
miracle,0,0,0,0,1,0,0,0
engineering,0,0,0,0,4,0,0,0
persistence,0,0,0,0,1,0,0,0
painting,0,0,0,0,1,0,0,0
show,0,0,0,0,0,0,0,8
wooden,4,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,4
huge,3,0,0,0,0,0,0,0
iron,0,0,0,0,2,0,0,0
small,9,0,0,0,0,0,0,0
steering,0,0,0,0,6,0,0,0
tricycle,0,0,0,0,4,0,0,0
dredge,0,0,0,0,0,0,0,1
mud,0,0,0,0,1,0,0,0
harbor,0,0,0,0,1,0,0,0
like,0,13,0,0,0,0,0,1
