word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,1,0,0,0,0
famous,4,0,0,0,0,0,0,0
woman,0,0,0,14,0,0,0,0
ancient,5,0,0,0,0,0,0,0
history,0,0,0,7,0,0,0,0
good,4,0,0,1,0,0,0,0
reason,0,0,0,2,0,0,0,0
queen,0,0,0,5,0,0,0,0
rule,0,0,0,0,0,0,13,0
rich,1,0,0,0,0,0,0,0
nation,0,0,0,2,0,0,0,0
border,0,0,0,0,0,0,1,0
lose,0,0,0,0,0,0,3,0
throne,0,0,0,10,0,0,0,0
age,0,0,0,5,0,0,0,0
drive,0,0,0,0,0,0,3,0
exile,0,0,0,3,0,0,0,0
brother,0,0,0,19,0,0,0,0
supporter,0,0,0,2,0,0,0,0
force,0,0,0,4,0,0,2,0
flee,0,0,0,0,0,0,6,0
regain,0,0,0,0,0,0,3,0
alliance,0,0,0,1,0,0,0,0
powerful,5,0,0,0,0,0,0,0
name,0,0,0,0,0,0,8,0
restore,0,0,0,0,0,0,1,0
drama,0,0,0,2,0,0,0,0
end,0,0,0,2,0,0,3,0
continue,0,0,0,0,0,0,2,0
murder,0,0,0,1,0,0,3,0
possibly,0,0,1,0,0,0,0,0
clever,1,0,0,0,0,0,0,0
plotting,0,0,0,1,0,0,0,0
increase,0,0,0,0,0,0,1,0
fortune,0,0,0,1,0,0,0,0
armed,1,0,0,0,0,0,0,0
conflict,0,0,0,1,0,0,0,0
death,0,0,0,15,0,0,0,0
time,0,0,0,11,0,0,0,0
ruler,0,0,0,15,0,0,0,0
distance,0,0,0,0,0,0,1,0
subject,1,0,0,5,0,0,0,0
member,0,0,0,2,0,0,0,0
family,0,0,0,11,0,0,0,0
learn,0,0,0,0,0,0,2,0
egyptian,16,0,0,0,0,0,0,0
language,0,0,0,6,0,0,0,0
portrait,0,0,0,2,0,0,0,0
appear,0,0,0,0,0,0,4,0
wear,0,0,0,0,0,0,4,0
dress,0,0,0,2,0,0,3,0
title,0,0,0,3,0,0,0,0
word,0,0,0,1,0,0,0,0
mean,0,0,0,0,0,0,2,0
love,0,0,0,5,0,0,3,0
country,0,0,0,3,0,0,0,0
return,0,0,0,1,0,0,7,0
people,0,0,0,9,0,0,0,0
greatly,0,0,1,0,0,0,0,0
popular,3,0,0,0,0,0,0,0
use,0,0,0,2,0,0,0,0
gift,0,0,0,2,0,0,0,0
person,0,0,0,3,0,0,0,0
descendant,0,0,0,1,0,0,0,0
royal,5,0,0,0,0,0,0,0
biographer,0,0,0,1,0,0,0,0
antiquity,0,0,0,1,0,0,0,0
describe,0,0,0,0,0,0,1,0
charming,1,0,0,0,0,0,0,0
irresistible,1,0,0,0,0,0,0,0
bewitching,1,0,0,0,0,0,0,0
great,5,0,0,0,0,0,0,0
