word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
kind,2,0,18,0,0,0,49,0,0,0,0,0,0,0
swap,0,0,0,0,0,0,0,0,0,0,0,0,3,0
well,19,0,23,0,0,0,0,0,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,0,0,0,17,0
let,0,0,0,0,0,0,0,0,0,0,0,0,68,0
dead,40,0,4,0,0,0,1,0,0,0,0,0,0,0
considerable,17,0,8,0,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,3,0,0,0,0,0,4,0
stock,0,0,0,0,0,0,9,0,0,0,0,0,0,0
people,0,0,0,0,0,0,82,0,0,0,0,0,0,0
pretty,7,0,94,0,0,0,0,0,0,0,0,0,0,0
soon,0,0,65,0,0,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,0,0,132,0
smoke,0,0,0,0,0,0,13,0,0,0,0,0,7,0
ask,0,0,0,0,0,0,0,0,0,0,0,0,30,0
practice,0,0,0,0,0,0,1,0,0,0,0,0,0,0
clean,7,0,2,0,0,0,0,0,0,0,0,0,3,0
try,0,0,0,0,0,0,0,0,0,0,0,0,73,0
bother,0,0,0,0,0,0,0,0,0,0,0,0,7,0
kin,0,0,0,3,0,0,2,0,0,0,0,0,1,0
use,0,0,0,0,0,0,29,0,0,0,0,0,1,0
power,0,0,0,0,0,0,4,0,0,0,0,0,0,0
fault,0,0,0,0,0,0,7,0,0,0,0,0,0,0
good,157,0,10,0,0,1,11,0,0,0,0,0,0,0
snuff,0,0,0,0,0,0,2,0,0,0,0,0,0,0
course,0,0,3,0,0,0,15,0,0,0,0,0,0,0
sister,0,0,0,0,0,0,4,0,0,0,0,0,0,0
tolerable,7,0,0,0,0,0,0,0,0,0,0,0,0,0
slim,6,0,0,0,0,0,0,0,0,0,0,0,0,0
maid,0,0,0,0,0,0,1,0,0,0,0,0,0,0
goggle,0,0,0,0,0,0,1,0,0,0,0,0,0,0
set,0,0,0,0,0,0,1,0,0,0,0,0,77,0
spelling,0,0,0,0,0,0,1,0,0,0,0,0,0,0
work,0,0,0,0,0,0,15,0,0,0,0,0,21,0
middling,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hard,6,0,7,0,0,0,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,25,0,0,0,0,0,0,0
ease,0,0,0,0,0,0,0,0,0,0,0,0,1,0
stood,0,0,0,0,0,0,0,0,0,0,0,0,1,0
deadly,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dull,6,0,0,0,0,0,0,0,0,0,0,0,0,0
fidgety,2,0,0,0,0,0,0,0,0,0,0,0,0,0
foot,0,0,0,0,0,0,44,0,0,0,0,0,2,0
scrunch,0,0,0,0,0,0,0,0,0,0,0,0,1,0
like,3,116,0,0,0,0,0,0,0,0,0,0,21,0
straight,3,0,10,0,0,0,0,0,0,0,0,0,0,0
gap,0,0,0,0,0,0,2,0,0,0,0,0,3,0
behave,0,0,0,0,0,0,0,0,0,0,0,0,2,0
bad,28,0,2,0,0,0,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,87,0,0,0,0,0,0,0
wish,0,0,0,0,0,0,0,0,0,0,0,0,21,0
mad,6,0,0,0,0,0,0,0,0,0,0,0,0,0
somewheres,0,0,3,0,0,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,2,0,0,0,0,0,5,0
particular,4,0,0,0,0,0,0,0,0,0,0,0,0,0
wicked,2,0,0,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,22,0,0,0,0,0,0,0
advantage,0,0,0,0,0,0,3,0,0,0,0,0,0,0
mind,0,0,0,0,0,0,17,0,0,0,0,0,17,0
trouble,0,0,0,0,0,0,41,0,0,0,0,0,1,0
harp,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,0,0,0,19,0
forever,0,0,5,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,1,0,0,0,0,0,106,0
reckon,0,0,0,0,0,0,0,0,0,0,0,0,103,0
glad,20,0,0,0,0,0,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,0,0,30,0
peck,0,0,0,0,0,0,1,0,0,0,0,0,3,0
tiresome,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lonesome,11,0,0,0,0,0,0,0,0,0,0,0,0,0
nigger,1,0,0,0,0,0,71,0,0,0,0,0,0,0
prayer,0,0,0,0,0,0,2,0,0,0,0,0,0,0
everybody,0,0,0,0,0,0,0,0,0,45,0,0,0,0
bed,0,0,0,0,0,0,24,0,0,0,0,0,0,0
room,0,0,0,0,0,0,19,0,0,0,0,0,0,0
piece,0,0,0,0,0,0,27,0,0,0,0,0,1,0
candle,0,0,0,0,0,0,19,0,0,0,0,0,0,0
chair,0,0,0,0,0,0,9,0,0,0,0,0,0,0
window,0,0,0,0,0,0,17,0,0,0,0,0,0,0
cheerful,2,0,0,0,0,0,0,0,0,0,0,0,0,0
star,0,0,0,0,0,0,9,0,0,0,0,0,0,0
shine,0,0,0,0,0,0,0,0,0,0,0,0,5,0
leave,0,0,0,0,0,0,12,0,0,0,0,0,39,0
rustle,0,0,0,0,0,0,0,0,0,0,0,0,2,0
wood,0,0,0,0,0,0,62,0,0,0,0,0,0,0
mournful,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,0,0,111,0
owl,0,0,0,0,0,0,2,0,0,0,0,0,0,0
away,0,13,102,0,0,0,0,0,0,0,0,0,0,0
whooe,0,0,0,0,0,0,0,0,0,0,0,0,1,0
somebody,0,0,0,0,0,0,0,0,0,30,0,0,0,0
whippowill,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,31,0,0,0,0,0,1,0
die,0,0,0,0,0,0,0,0,0,0,0,0,27,0
whisper,0,0,0,0,0,0,1,0,0,0,0,0,4,0
cold,13,0,0,0,0,0,0,0,0,0,0,0,0,0
