word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
cat,0,0,0,0,0,0,21,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,19,0
start,0,0,0,0,0,0,0,0,0,26,0
sleepy,3,0,0,0,0,0,0,0,0,0,0
doze,0,0,0,0,0,0,0,0,0,2,0
thump,0,0,0,0,0,0,1,0,0,0,0
come,0,0,0,0,0,0,0,0,0,43,0
heap,0,0,0,0,0,0,1,0,0,0,0
leave,0,0,0,0,0,0,3,0,0,13,0
bit,0,0,0,0,0,0,18,0,0,0,0
jump,0,0,0,0,0,0,0,0,0,4,0
foot,0,0,0,0,0,0,19,0,0,0,0
long,14,0,5,0,0,0,0,0,0,1,0
passage,0,0,0,0,0,0,4,0,0,0,0
scurry,0,0,0,0,0,0,0,0,0,2,0
chase,0,0,0,0,0,0,0,0,0,1,0
flash,0,0,0,0,0,0,1,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,33,0
ear,0,0,0,0,0,0,8,0,0,0,0
round,1,0,1,0,0,0,0,0,0,1,0
corner,0,0,0,0,0,0,3,0,0,0,0
low,4,0,0,0,0,0,0,0,0,0,0
hall,0,0,0,0,0,0,7,0,0,0,0
light,0,0,0,0,0,0,0,0,0,1,0
lamp,0,0,0,0,0,0,1,0,0,0,0
roof,0,0,0,0,0,0,4,0,0,0,0
door,0,0,0,0,0,0,27,0,0,0,0
walk,0,0,0,0,0,0,0,0,0,16,0
open,2,0,0,0,0,0,0,0,0,9,0
luck,0,0,0,0,0,0,3,0,0,0,0
lock,0,0,0,0,0,0,2,0,0,1,0
legged,2,0,0,0,0,0,0,0,0,0,0
table,0,0,0,0,0,0,19,0,0,0,0
solid,1,0,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,10,0,0,0,0
tiny,4,0,0,0,0,0,0,0,0,0,0
golden,3,0,0,0,0,0,0,0,0,0,0
key,0,0,0,0,0,0,9,0,0,0,0
notice,0,0,0,0,0,0,1,0,0,15,0
big,3,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,1,0,0,4,0
lucky,2,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,26,0
curtain,0,0,0,0,0,0,1,0,0,0,0
inch,0,0,0,0,0,0,7,0,0,0,0
high,9,0,3,0,0,0,0,0,0,0,0
little,31,0,1,0,0,0,0,0,0,0,0
delight,0,0,0,0,0,0,1,0,0,0,0
fit,0,0,0,0,0,0,3,0,0,3,0
lead,0,0,0,0,0,0,0,0,0,4,0
small,13,0,0,0,0,0,0,0,0,0,0
rat,0,0,0,0,0,0,2,0,0,0,0
kneel,0,0,0,0,0,0,0,0,0,2,0
lovely,3,0,0,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,11,0,0,0,0
wonderful,3,0,0,0,0,0,0,0,0,0,0
wander,0,0,0,0,0,0,0,0,0,2,0
