word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,VERB
live,0,0,0,0,0,0,0,0,14
young,9,0,0,0,0,0,0,0,0
father,0,0,0,0,0,9,0,0,0
businessman,0,0,0,0,0,2,0,0,0
mother,0,0,0,0,0,45,0,0,0
work,0,0,0,0,0,11,0,0,25
secretary,0,0,0,0,0,9,0,0,0
seven,0,0,0,0,0,0,2,0,0
year,0,0,0,0,0,9,0,0,0
happy,3,0,0,0,0,0,0,0,0
school,0,0,0,0,0,2,0,0,0
lot,0,0,0,0,0,6,0,0,0
friend,0,0,0,0,0,6,0,0,0
good,12,0,0,0,0,0,0,0,0
time,0,0,0,0,0,8,0,0,0
like,0,4,0,0,0,0,0,0,21
pop,1,0,0,0,0,3,0,0,0
music,0,0,0,0,0,2,0,0,0
favourite,4,0,0,0,0,1,0,0,0
singer,0,0,0,0,0,3,0,0,0
die,0,0,0,0,0,0,0,0,10
car,0,0,0,0,0,10,0,0,0
accident,0,0,0,0,0,2,0,0,0
leave,0,0,0,0,0,0,0,0,5
listen,0,0,0,0,0,0,0,0,5
record,0,0,0,0,0,3,0,0,0
hundred,0,0,0,0,0,2,0,0,0
picture,0,0,0,0,0,8,0,0,0
photo,0,0,0,0,0,2,0,0,0
bedroom,0,0,0,0,0,2,0,0,0
wall,0,0,0,0,0,4,0,0,0
day,0,0,0,0,0,12,0,0,0
winter,0,0,0,0,0,1,0,0,0
seventeen,0,0,0,0,0,0,1,0,0
thing,0,0,0,0,0,10,0,0,0
begin,0,0,0,0,0,0,0,0,11
wrong,7,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,0,47
business,0,0,0,0,0,2,0,0,0
love,0,0,0,0,0,0,0,0,3
away,0,2,10,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,23
home,0,0,3,0,0,0,0,0,0
quickly,0,0,5,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,84
week,0,0,0,0,0,7,0,0,0
journey,0,0,0,0,0,1,0,0,0
aeroplane,0,0,0,0,0,1,0,0,0
crash,0,0,0,0,0,6,0,0,3
sea,0,0,0,0,0,5,0,0,0
south,0,0,1,0,0,0,0,0,0
everybody,0,0,0,0,0,0,0,3,0
plane,0,0,0,0,0,7,0,0,0
hear,0,0,0,0,0,0,0,0,4
television,0,0,0,0,0,2,0,0,0
think,0,0,0,0,0,0,0,0,37
remember,0,0,0,0,0,0,0,0,5
fly,0,0,0,0,0,0,0,0,1
cry,0,0,0,0,0,0,0,0,4
telephone,0,0,0,0,0,6,0,0,2
airport,0,0,0,0,0,2,0,0,0
know,0,0,0,0,0,0,0,0,23
name,0,0,0,0,0,1,0,0,0
passenger,0,0,0,0,0,1,0,0,0
call,0,0,0,0,0,0,0,0,3
wait,0,0,0,0,0,0,0,0,7
news,0,0,0,0,0,1,0,0,0
later,0,0,6,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,3
true,4,0,0,0,0,0,0,0,0
shout,0,0,0,0,0,0,0,0,3
spend,0,0,0,0,0,0,0,0,1
room,0,0,0,0,0,43,0,0,0
lonely,2,0,0,0,0,0,0,0,0
sad,6,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,10
stop,0,0,0,0,0,0,0,0,13
people,0,0,0,0,0,10,0,0,0
take,0,0,0,0,0,0,0,0,19
watch,0,0,0,0,0,0,0,0,4
matter,0,0,0,0,0,0,0,0,4
feel,0,0,0,0,0,0,0,0,2
angry,6,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,5
ask,0,0,0,0,0,0,0,0,13
unhappy,5,0,0,0,0,0,0,0,0
student,0,0,0,0,0,2,0,0,0
college,0,0,0,0,0,12,0,0,0
enjoy,0,0,0,0,0,0,0,0,4
life,0,0,0,0,0,5,0,0,0
death,0,0,0,0,0,1,0,0,0
new,6,0,0,0,0,0,0,0,0
different,4,0,0,0,0,0,0,0,0
bad,4,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,25
dangerous,4,0,0,0,0,0,0,0,0
exciting,2,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,0,0,1
drug,0,0,0,0,0,6,0,0,0
stupid,2,0,0,0,0,0,0,0,0
police,0,0,0,0,0,3,0,0,0
arrest,0,0,0,0,0,0,0,0,2
sorry,2,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,0,0,5
right,10,0,3,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,7
person,0,0,0,0,0,3,0,0,0
month,0,0,0,0,0,4,0,0,0
hotel,0,0,0,0,0,4,0,0,0
strange,8,0,0,0,0,0,0,0,0
red,2,0,0,0,0,0,0,0,0
bus,0,0,0,0,0,1,0,0,0
speak,0,0,0,0,0,0,0,0,6
beginning,0,0,0,0,0,1,0,0,0
summer,0,0,0,0,0,5,0,0,0
autumn,0,0,0,0,0,2,0,0,0
tourist,0,0,0,0,0,2,0,0,0
look,0,0,0,0,0,0,0,0,42
famous,2,0,0,0,0,0,0,0,0
building,0,0,0,0,0,2,0,0,0
restaurant,0,0,0,0,0,1,0,0,0
theatre,0,0,0,0,0,1,0,0,0
evening,0,0,0,0,0,4,0,0,0
interesting,4,0,0,0,0,0,0,0,0
pleased,4,0,0,0,0,0,0,0,0
need,0,0,0,0,0,0,0,0,9
study,0,0,0,0,0,0,0,0,3
job,0,0,0,0,0,7,0,0,0
newspaper,0,0,0,0,0,2,0,0,0
show,0,0,0,0,0,0,0,0,1
small,6,0,0,0,0,0,0,0,0
private,3,0,0,0,0,0,0,0,0
island,0,0,0,0,0,33,0,0,0
family,0,0,0,0,0,6,0,0,0
big,9,0,0,0,0,0,0,0,0
house,0,0,0,0,0,18,0,0,0
pay,0,0,0,0,0,1,0,0,0
phone,0,0,0,0,0,5,0,0,1
number,0,0,0,0,0,1,0,0,0
sound,0,0,0,0,0,0,0,0,1
beautiful,6,0,0,0,0,0,0,0,0
country,0,0,0,0,0,2,0,0,0
place,0,0,0,0,0,6,0,0,0
expensive,3,0,0,0,0,0,0,0,0
tomorrow,0,0,0,0,0,1,0,0,0
centre,0,0,0,0,0,1,0,0,0
mum,0,0,0,0,0,2,0,0,0
nice,3,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,3,0,0,0
desk,0,0,0,0,0,4,0,0,0
thirty,0,0,0,0,0,0,2,0,0
old,5,0,0,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,3
dress,0,0,0,0,0,1,0,0,0
hair,0,0,0,0,0,6,0,0,0
long,2,0,1,0,0,0,0,0,0
dark,6,0,0,0,0,0,0,0,0
daughter,0,0,0,0,0,4,0,0,0
hallo,0,0,0,0,3,0,0,0,0
eighteen,0,0,0,0,0,0,1,0,0
help,0,0,0,0,0,2,0,0,5
garden,0,0,0,0,0,8,0,0,0
gardening,0,0,0,0,0,3,0,0,0
farming,0,0,0,0,0,1,0,0,0
farm,0,0,0,0,0,14,0,0,0
answer,0,0,0,0,0,0,0,0,4
husband,0,0,0,0,0,5,0,0,0
question,0,0,0,0,0,1,0,0,0
outside,0,2,1,0,0,0,0,0,0
hope,0,0,0,0,0,0,0,0,1
get,0,0,0,0,0,0,0,0,10
soon,0,0,5,0,0,0,0,0,0
door,0,0,0,0,0,23,0,0,0
open,0,0,0,0,0,0,0,0,5
smile,0,0,0,0,0,0,0,0,5
minute,0,0,0,0,0,4,0,0,0
close,0,0,0,0,0,0,0,0,3
sit,0,0,0,0,0,0,0,0,5
chair,0,0,0,0,0,2,0,0,0
near,0,4,1,0,0,0,0,0,0
voice,0,0,0,0,0,4,0,0,0
girl,0,0,0,0,0,4,0,0,0
worry,0,0,0,0,0,0,0,0,3
thank,0,0,0,0,0,0,0,0,2
reply,0,0,0,0,0,0,0,0,2
worried,3,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,7
train,0,0,0,0,0,3,0,0,0
travel,0,0,0,0,0,0,0,0,1
window,0,0,0,0,0,15,0,0,0
see,0,0,0,0,0,0,0,0,16
field,0,0,0,0,0,2,0,0,0
village,0,0,0,0,0,1,0,0,0
mountain,0,0,0,0,0,1,0,0,0
letter,0,0,0,0,0,2,0,0,0
computer,0,0,0,0,0,4,0,0,0
invest,0,0,0,0,0,0,0,0,3
money,0,0,0,0,0,9,0,0,0
company,0,0,0,0,0,2,0,0,0
world,0,0,0,0,0,1,0,0,0
meet,0,0,0,0,0,0,0,0,3
man,0,0,0,0,0,5,0,0,0
buy,0,0,0,0,0,0,0,0,3
rich,2,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,9,0,0,0
boatman,0,0,0,0,0,1,0,0,0
brown,1,0,0,0,0,0,0,0,0
sun,0,0,0,0,0,2,0,0,0
beach,0,0,0,0,0,5,0,0,0
