word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PUNCT,VERB
primarily,0,0,1,0,0,0,0,0
sweat,0,0,0,0,1,0,0,0
urine,0,0,0,0,1,0,0,0
fece,0,0,0,0,1,0,0,0
function,0,0,0,0,7,0,0,1
list,0,0,0,0,0,0,0,1
good,1,0,0,0,0,0,0,0
present,2,0,0,0,2,0,0,0
true,5,0,0,0,0,0,0,0
fungus,0,0,0,0,23,0,0,0
algae,0,0,0,0,18,0,0,0
readily,0,0,1,0,0,0,0,0
see,0,0,0,0,0,0,0,5
nature,0,0,0,0,1,0,0,0
multitude,0,0,0,0,1,0,0,0
tiny,3,0,0,0,0,0,0,0
protozoa,0,0,0,0,1,0,0,0
bacteria,0,0,0,0,39,0,0,0
archaea,0,0,0,0,24,0,0,0
microscope,0,0,0,0,2,0,0,0
find,0,0,0,0,0,0,0,14
habitat,0,0,0,0,5,0,0,0
lake,0,0,0,0,2,0,0,0
river,0,0,0,0,1,0,0,0
ocean,0,0,0,0,6,0,0,0
common,6,0,0,0,0,0,0,0
descend,0,0,0,0,0,0,0,2
single,18,0,0,0,0,0,0,0
ancient,4,0,0,0,0,0,0,0
ancestor,0,0,0,0,8,0,0,0
believe,0,0,0,0,0,0,0,9
probably,0,0,5,0,0,0,0,0
evolve,0,0,0,0,0,0,0,13
billion,0,0,0,0,1,10,0,0
year,0,0,0,0,19,0,0,0
formation,0,0,0,0,1,0,0,0
roughly,0,0,8,0,0,0,0,0
ago,0,0,13,0,0,0,0,0
belief,0,0,0,0,1,0,0,0
base,0,0,0,0,1,0,0,4
evidence,0,0,0,0,3,0,0,0
fossil,1,0,0,0,4,0,0,0
record,0,0,0,0,1,0,0,0
remain,0,0,0,0,1,0,0,6
microorganism,0,0,0,0,13,0,0,0
resemble,0,0,0,0,0,0,0,4
cyanobacteria,0,0,0,0,8,0,0,0
group,0,0,0,0,15,0,0,1
blue,1,0,0,0,0,0,0,0
green,9,0,0,0,0,0,0,0
