word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB
day,0,0,0,0,0,1,0,0,0
child,0,0,0,0,0,7,0,0,0
world,0,0,0,0,0,7,0,0,0
encourage,0,0,0,0,0,0,0,0,1
parent,0,0,0,0,0,1,0,0,0
outside,2,2,1,0,0,0,0,0,0
play,0,0,0,0,0,3,0,0,6
burn,0,0,0,0,0,0,0,0,3
energy,0,0,0,0,0,382,0,0,0
physics,0,0,0,0,0,8,0,0,0
describe,0,0,0,0,0,0,0,0,11
term,0,0,0,0,0,3,0,0,0
work,0,0,0,0,0,52,0,0,4
equal,4,0,0,0,0,0,0,0,4
ability,0,0,0,0,0,4,0,0,0
truth,0,0,0,0,0,1,0,0,0
tell,0,0,0,0,0,0,0,0,2
mean,0,0,0,0,0,0,0,0,4
bit,0,0,0,0,0,1,0,0,0
different,8,0,0,0,0,0,0,0,0
physicist,0,0,0,0,0,6,0,0,0
average,3,0,0,0,0,0,0,0,0
person,0,0,0,0,0,9,0,0,0
vocabulary,0,0,0,0,0,1,0,0,0
task,0,0,0,0,0,1,0,0,0
keep,0,0,0,0,0,0,0,0,4
busy,1,0,0,0,0,0,0,0,0
involve,0,0,0,0,0,0,0,0,6
kind,0,0,0,0,0,22,0,0,0
force,0,0,0,0,0,29,0,0,1
cause,0,0,0,0,0,0,0,0,8
object,0,0,0,0,0,18,0,0,0
mathematically,0,0,2,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,23
direction,0,0,0,0,0,8,0,0,0
time,0,0,0,0,0,8,0,0,1
distance,0,0,0,0,0,8,0,0,0
represent,0,0,0,0,0,0,0,0,1
word,0,0,0,0,0,4,0,0,0
measure,0,0,0,0,0,0,0,0,2
strong,2,0,0,0,0,0,0,0,0
far,0,0,4,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,7
concept,0,0,0,0,0,3,0,0,0
interesting,2,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,4,0,0,0
thing,0,0,0,0,0,4,0,0,0
type,0,0,0,0,0,14,0,0,0
early,2,0,1,0,0,0,0,0,0
idea,0,0,0,0,0,4,0,0,0
come,0,0,0,0,0,0,0,0,3
handy,1,0,0,0,0,0,0,0,0
form,0,0,0,0,0,39,0,0,20
instance,0,0,0,0,0,3,0,0,0
kinetic,27,0,0,0,0,0,0,0,0
associate,0,0,0,0,0,0,0,0,2
motion,0,0,0,0,0,24,0,0,0
run,0,0,0,0,0,0,0,0,4
base,0,0,0,0,0,1,0,0,1
home,0,0,0,0,0,3,0,0,0
plate,0,0,0,0,0,1,0,0,0
baseball,0,0,0,0,0,2,0,0,0
good,1,0,0,0,0,0,0,0,0
example,0,0,0,0,0,17,0,0,0
ride,0,0,0,0,0,0,0,0,1
bike,0,0,0,0,0,1,0,0,0
swim,0,0,0,0,0,0,0,0,1
pool,0,0,0,0,0,1,0,0,0
potential,35,0,0,0,0,2,0,0,0
occur,0,0,0,0,0,0,0,0,12
position,0,0,0,0,0,9,0,0,1
way,0,0,0,0,0,5,0,0,0
increase,0,0,0,0,0,0,0,0,4
movement,0,0,0,0,0,3,0,0,0
playground,0,0,0,0,0,1,0,0,0
swing,0,0,0,0,0,7,0,0,9
set,0,0,0,0,0,1,0,0,2
provide,0,0,0,0,0,0,0,0,7
excellent,1,0,0,0,0,0,0,0,0
push,0,0,0,0,0,1,0,0,4
put,0,0,0,0,0,0,0,0,1
create,0,0,0,0,0,0,0,0,10
height,0,0,0,0,0,1,0,0,0
pull,0,0,0,0,0,1,0,0,7
downward,1,0,3,0,0,0,0,0,0
arc,0,0,0,0,0,1,0,0,0
gravity,0,0,0,0,0,7,0,0,0
likewise,0,0,2,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,2
slide,0,0,0,0,0,2,0,0,1
glide,0,0,0,0,0,0,0,0,1
surface,0,0,0,0,0,2,0,0,0
ground,0,0,0,0,0,6,0,0,0
basic,6,0,0,0,0,0,0,0,0
chemical,34,0,0,0,0,7,0,0,0
present,1,0,0,0,0,0,0,0,0
atom,0,0,0,0,0,28,0,0,0
combine,0,0,0,0,0,0,0,0,6
molecule,0,0,0,0,0,26,0,0,0
cell,0,0,0,0,0,6,0,0,0
live,0,0,0,0,0,0,0,0,3
store,0,0,0,0,0,0,0,0,12
muscle,0,0,0,0,0,4,0,0,0
enable,0,0,0,0,0,0,0,0,3
diamond,0,0,0,0,0,1,0,0,0
bat,0,0,0,0,0,1,0,0,0
tennis,0,0,0,0,0,1,0,0,0
racket,0,0,0,0,0,1,0,0,0
strike,0,0,0,0,0,0,0,0,2
ball,0,0,0,0,0,5,0,0,0
give,0,0,0,0,0,0,0,0,5
heat,0,0,0,0,0,64,0,0,5
radiant,11,0,0,0,0,0,0,0,0
release,0,0,0,0,0,0,0,0,15
shine,0,0,0,0,0,0,0,0,1
outdoor,1,0,0,0,0,0,0,0,0
possible,3,0,0,0,0,0,0,0,0
electrical,25,0,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,5
bolt,0,0,0,0,0,3,0,0,0
lightning,0,0,0,0,0,3,0,0,0
thunderstorm,0,0,0,0,0,1,0,0,0
send,0,0,0,0,0,0,0,0,1
scurry,0,0,0,0,0,0,0,0,1
inside,0,1,1,0,0,0,0,0,0
change,0,0,0,0,0,10,0,0,38
