word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
door,0,0,0,0,0,0,33,0,0,0,0
minute,0,0,0,0,0,0,2,0,0,0,0
jump,0,0,0,0,0,0,0,0,0,3,0
surprise,0,0,0,0,0,0,4,0,0,0,0
asleep,3,0,1,0,0,0,0,0,0,0,0
ill,16,0,0,0,0,0,0,0,0,0,0
hungry,9,0,0,0,0,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,15,0
angrily,0,0,2,0,0,0,0,0,0,0,0
sadly,0,0,1,0,0,0,0,0,0,0,0
poor,6,0,0,0,0,0,0,0,0,0,0
alive,8,0,0,0,0,0,0,0,0,0,0
sudden,1,0,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,0,18,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,5,0
remember,0,0,0,0,0,0,0,0,0,7,0
parent,0,0,0,0,0,0,3,0,0,0,0
live,0,0,0,0,0,0,0,0,0,20,0
hope,0,0,0,0,0,0,0,0,0,3,0
let,0,0,0,0,0,0,0,0,0,6,0
want,0,0,0,0,0,0,0,0,0,32,0
take,0,0,0,0,0,0,0,0,0,7,0
english,1,0,0,0,0,0,0,0,0,0,0
family,0,0,0,0,0,0,4,0,0,0,0
untidy,1,0,0,0,0,0,0,0,0,0,0
noisy,1,0,0,0,0,0,0,0,0,0,0
prefer,0,0,0,0,0,0,0,0,0,1,0
favourite,3,0,0,0,0,0,0,0,0,0,0
game,0,0,0,0,0,0,3,0,0,0,0
offer,0,0,0,0,0,0,0,0,0,2,0
help,0,0,0,0,0,0,1,0,0,14,0
moment,0,0,0,0,0,0,12,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,14,0
laugh,0,0,0,0,0,0,0,0,0,22,0
dance,0,0,0,0,0,0,0,0,0,2,0
round,1,12,5,0,0,0,0,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,6,0
funny,3,0,0,0,0,0,0,0,0,0,0
song,0,0,0,0,0,0,4,0,0,0,0
stupid,5,0,0,0,0,0,0,0,0,0,0
cross,5,0,0,0,0,0,0,0,0,0,0
unkindly,0,0,1,0,0,0,0,0,0,0,0
home,0,0,8,0,0,0,3,0,0,0,0
pleased,7,0,0,0,0,0,0,0,0,0,0
reply,0,0,0,0,0,0,1,0,0,12,0
course,0,0,6,0,0,0,2,0,0,0,0
uncle,0,0,0,0,0,0,8,0,0,0,0
coldly,0,0,5,0,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,0,0,18,0
big,10,0,0,0,0,0,0,0,0,0,0
lonely,10,0,0,0,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,9,0,0,0,0
get,0,0,0,0,0,0,0,0,0,19,0
crooked,12,0,0,0,0,0,0,0,0,0,0
horrid,3,0,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,8,0
explain,0,0,0,0,0,0,0,0,0,3,0
north,0,0,0,0,0,0,2,0,0,0,0
bored,2,0,0,0,0,0,0,0,0,0,0
long,8,0,5,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,3,0,0,0,0
journey,0,0,0,0,0,0,3,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,7,0
housekeeper,0,0,0,0,0,0,5,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,1,0
train,0,0,0,0,0,0,3,0,0,0,0
bright,2,0,0,0,0,0,0,0,0,0,0
black,4,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,9,0,0,0,0
surprising,1,0,0,0,0,0,0,0,0,0,0
usually,0,0,3,0,0,0,0,0,0,0,0
bit,0,0,0,0,0,0,6,0,0,0,0
aloud,0,0,1,0,0,0,0,0,0,0,0
nearly,0,0,4,0,0,0,0,0,0,0,0
shut,0,0,1,0,0,0,0,0,0,5,0
lock,0,0,0,0,0,0,0,0,0,9,0
park,0,0,0,0,0,0,1,0,0,0,0
kind,5,0,0,0,0,0,3,0,0,0,0
matter,1,0,0,0,0,0,1,0,0,1,0
hard,1,0,2,0,0,0,0,0,0,0,0
rich,2,0,0,0,0,0,0,0,0,0,0
happy,8,0,0,0,0,0,0,0,0,0,0
marry,0,0,0,0,0,0,0,0,0,3,0
repeat,0,0,0,0,0,0,0,0,0,5,0
yes,0,0,0,0,0,13,0,0,0,0,0
sweet,3,0,0,0,0,0,0,0,0,0,0
love,0,0,0,0,0,0,0,0,0,9,0
deeply,0,0,1,0,0,0,0,0,0,0,0
interested,4,0,0,0,0,0,0,0,0,0,0
