word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
immunity,0,0,0,0,0,0,3,0,0,0,0
suffering,0,0,0,0,0,0,5,0,0,0,0
mete,0,0,0,0,0,0,0,0,0,1,0
hideous,19,0,0,0,0,0,0,0,0,0,0
terror,0,0,0,0,0,0,30,0,0,0,0
existence,0,0,0,0,0,0,6,0,0,0,0
infinitely,0,0,5,0,0,0,0,0,0,0,0
bad,4,0,0,0,0,0,0,0,0,0,0
persistently,0,0,1,0,0,0,0,0,0,0,0
refuse,0,0,0,0,0,0,0,0,0,6,0
claim,0,0,0,0,0,0,0,0,0,7,0
take,0,0,0,0,0,0,0,0,0,34,0
jungle,0,0,0,0,0,0,122,0,0,0,0
beast,0,0,0,0,0,0,75,0,0,0,0
savage,47,0,0,0,0,0,10,0,0,0,0
lord,0,0,0,0,0,0,8,0,0,0,0
swarm,0,0,0,0,0,0,1,0,0,3,0
deck,0,0,0,0,0,0,1,0,0,1,0
lest,0,1,0,0,0,0,0,0,0,0,0
pursue,0,0,0,0,0,0,0,0,0,7,0
capture,0,0,0,0,0,0,2,0,0,3,0
stumble,0,0,0,0,0,0,0,0,0,3,0
deep,6,0,6,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,2,0,0,26,0
hand,0,0,0,0,0,0,56,0,0,3,0
cannibal,0,0,0,0,0,0,2,0,0,0,0
tribe,0,0,0,0,0,0,15,0,0,0,0
feel,0,0,0,0,0,0,3,0,0,27,0
weight,0,0,0,0,0,0,11,0,0,1,0
evil,3,0,0,0,0,0,0,0,0,0,0
temper,0,0,0,0,0,0,6,0,0,0,0
cruel,8,0,0,0,0,0,0,0,0,0,0
brutality,0,0,0,0,0,0,2,0,0,0,0
whim,0,0,0,0,0,0,1,0,0,0,0
chief,1,0,0,0,0,0,10,0,0,0,0
save,0,0,0,0,0,0,0,0,0,7,0
plunge,0,0,0,0,0,0,1,0,0,4,0
misery,0,0,0,0,0,0,4,0,0,0,0
butt,0,0,0,0,0,0,4,0,0,0,0
village,0,0,0,0,0,0,66,0,0,0,0
beat,0,0,0,0,0,0,0,0,0,10,0
stone,0,0,0,0,0,0,3,0,0,1,0
woman,0,0,0,0,0,0,18,0,0,0,0
child,0,0,0,0,0,0,16,0,0,0,0
cut,2,0,0,0,0,0,0,0,0,5,0
slash,0,0,0,0,0,0,0,0,0,1,0
disfigure,0,0,0,0,0,0,0,0,0,1,0
warrior,0,0,0,0,0,0,27,0,0,0,0
victim,0,0,0,0,0,0,13,0,0,0,0
recur,0,0,0,0,0,0,0,0,0,2,0
fever,0,0,0,0,0,0,3,0,0,0,0
malignant,2,0,0,0,0,0,0,0,0,0,0
variety,0,0,0,0,0,0,1,0,0,0,0
die,0,0,0,0,0,0,0,0,0,7,0
smallpox,0,0,0,0,0,0,1,0,0,0,0
lay,0,0,0,0,0,0,0,0,0,12,0
clutch,0,0,0,0,0,0,3,0,0,8,0
unspeakably,0,0,1,0,0,0,0,0,0,0,0
brand,0,0,0,0,0,0,0,0,0,1,0
repulsive,2,0,0,0,0,0,0,0,0,0,0
mark,0,0,0,0,0,0,5,0,0,16,0
countenance,0,0,0,0,0,0,5,0,0,0,0
altered,2,0,0,0,0,0,0,0,0,0,0
mother,0,0,0,0,0,0,39,0,0,0,0
recognize,0,0,0,0,0,0,0,0,0,9,0
mask,0,0,0,0,0,0,1,0,0,0,0
face,0,0,0,0,0,0,69,0,0,4,0
single,26,0,0,0,0,0,0,0,0,0,0
familiar,8,0,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,5,0,0,0,0
scraggly,1,0,0,0,0,0,0,0,0,0,0
yellow,12,0,0,0,0,0,0,0,0,0,0
supplant,0,0,0,0,0,0,0,0,0,1,0
thick,3,0,0,0,0,0,0,0,0,0,0
dark,10,0,0,0,0,0,1,0,0,0,0
hair,0,0,0,0,0,0,13,0,0,0,0
cover,0,0,0,0,0,0,1,0,0,10,0
head,0,0,0,0,0,0,58,0,0,3,0
limb,0,0,0,0,0,0,15,0,0,0,0
bend,0,0,0,0,0,0,0,0,0,11,0
twist,0,0,0,0,0,0,0,0,0,3,0
walk,0,0,0,0,0,0,1,0,0,9,0
shuffle,0,0,0,0,0,0,0,0,0,8,0
unsteady,1,0,0,0,0,0,0,0,0,0,0
gait,0,0,0,0,0,0,2,0,0,0,0
double,1,0,0,0,0,0,0,0,0,2,0
forward,0,0,23,0,0,0,0,0,0,0,0
tooth,0,0,0,0,0,0,12,0,0,0,0
go,0,0,0,0,0,0,0,0,0,60,0
knock,0,0,0,0,0,0,2,0,0,5,0
master,0,0,0,0,0,0,11,0,0,3,0
mentality,0,0,0,0,0,0,3,0,0,0,0
mockery,0,0,0,0,0,0,1,0,0,0,0
feed,0,0,0,0,0,0,0,0,0,3,0
nurse,0,0,0,0,0,0,1,0,0,3,0
gain,0,0,0,0,0,0,0,0,0,4,0
little,126,0,4,0,0,0,0,0,0,0,0
strength,0,0,0,0,0,0,16,0,0,0,0
appearance,0,0,0,0,0,0,10,0,0,0,0
alter,0,0,0,0,0,0,0,0,0,2,0
well,10,0,10,0,0,0,0,0,0,0,0
human,26,0,0,0,0,0,7,0,0,0,0
derelict,2,0,0,0,0,0,0,0,0,0,0
batter,0,0,0,0,0,0,0,0,0,3,0
find,0,0,0,0,0,0,0,0,0,55,0
wrecked,2,0,0,0,0,0,0,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,22,0
thirty,0,0,0,0,0,0,1,0,0,0,0
easily,0,0,5,0,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,1,0,0,35,0
eighty,0,0,0,0,0,0,0,1,0,0,0
inscrutable,2,0,0,0,0,0,0,0,0,0,0
demand,0,0,0,0,0,0,1,0,0,3,0
accomplice,0,0,0,0,0,0,3,0,0,0,0
great,149,0,0,0,0,0,0,0,0,0,0
penalty,0,0,0,0,0,0,3,0,0,0,0
principal,2,0,0,0,0,0,2,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,12,0
mind,0,0,0,0,0,0,19,0,0,2,0
linger,0,0,0,0,0,0,0,0,0,1,0
thought,0,0,0,0,0,0,22,0,0,0,0
revenge,0,0,0,0,0,0,10,0,0,1,0
dull,3,0,0,0,0,0,0,0,0,0,0
hatred,0,0,0,0,0,0,14,0,0,0,0
try,0,0,0,0,0,0,0,0,0,22,0
break,0,0,0,0,0,0,1,0,0,13,0
