word,ADJ,ADP,ADV,INTJ,NOUN,PRON,VERB
river,0,0,0,0,7,0,0
jump,0,0,0,0,0,0,10
carry,0,0,0,0,0,0,6
cowardly,6,0,0,0,0,0,0
minute,0,0,0,0,4,0,0
cut,0,0,0,0,0,0,2
somebody,0,0,0,0,0,1,0
past,0,1,0,0,0,0,0
evening,0,0,0,0,1,0,0
clothe,0,0,0,0,4,0,0
right,2,0,3,0,0,0,0
table,0,0,0,0,1,0,0
easy,1,0,0,0,0,0,0
city,0,0,0,0,6,0,0
glass,0,0,0,0,10,0,0
box,0,0,0,0,3,0,0
everybody,0,0,0,0,0,3,0
child,0,0,0,0,5,0,0
shop,0,0,0,0,1,0,0
street,0,0,0,0,1,0,0
room,0,0,0,0,6,0,0
girl,0,0,0,0,4,0,0
chair,0,0,0,0,1,0,0
bravely,0,0,1,0,0,0,0
answer,0,0,0,0,0,0,3
sister,0,0,0,0,1,0,0
meet,0,0,0,0,0,0,1
talk,0,0,0,0,0,0,1
interesting,1,0,0,0,0,0,0
ball,0,0,0,0,3,0,0
angry,5,0,0,0,0,0,0
magic,8,0,0,0,4,0,0
monkey,0,0,0,0,10,0,0
arrive,0,0,0,0,0,0,4
bring,0,0,0,0,0,0,3
work,0,0,0,0,0,0,3
break,0,0,0,0,0,0,5
throw,0,0,0,0,0,0,3
watch,0,0,0,0,0,0,1
left,1,0,0,0,0,0,0
try,0,0,0,0,0,0,1
bucket,0,0,0,0,3,0,0
wearer,0,0,0,0,1,0,0
mend,0,0,0,0,0,0,2
happy,4,0,0,0,0,0,0
forget,0,0,0,0,0,0,1
tomorrow,0,0,0,0,5,0,0
round,0,0,1,0,0,0,0
voice,0,0,0,0,3,0,0
truly,0,0,1,0,0,0,0
screen,0,0,0,0,2,0,0
wall,0,0,0,0,1,0,0
hair,0,0,0,0,2,0,0
wrong,3,0,0,0,0,0,0
trick,0,0,0,0,3,0,0
town,0,0,0,0,2,0,0
balloon,0,0,0,0,10,0,0
rope,0,0,0,0,4,0,0
build,0,0,0,0,0,0,1
emerald,0,0,0,0,1,0,0
year,0,0,0,0,1,0,0
ago,0,0,1,0,0,0,0
learn,0,0,0,0,0,0,1
clever,3,0,0,0,0,0,0
ready,2,0,0,0,0,0,0
bottle,0,0,0,0,2,0,0
letter,0,0,0,0,1,0,0
put,0,0,0,0,0,0,1
cat,0,0,0,0,1,0,0
outh,0,0,0,0,1,0,0
