word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB
good,31,0,0,0,1,2,0,0,0
time,0,0,0,0,0,31,0,0,0
bad,11,0,0,0,0,0,0,0,0
season,0,0,0,0,0,2,0,0,0
light,0,0,0,0,0,1,0,0,0
darkness,0,0,0,0,0,3,0,0,0
spring,0,0,0,0,0,1,0,0,0
hope,0,0,0,0,0,5,0,0,6
winter,0,0,0,0,0,1,0,0,0
sadness,0,0,0,0,0,5,0,0,0
year,0,0,0,0,0,30,0,0,0
thousand,0,0,0,0,0,0,1,0,0
seven,0,0,0,0,0,0,1,0,0
seventy,0,0,0,0,0,0,1,0,0
queen,0,0,0,0,0,1,0,0,0
believe,0,0,0,0,0,0,0,0,11
change,0,0,0,0,0,2,0,0,9
thing,0,0,0,0,0,10,0,0,0
get,0,0,0,0,0,0,0,0,9
people,0,0,0,0,0,55,0,0,0
poor,18,0,0,0,0,0,0,0,0
hungry,5,0,0,0,0,0,0,0,0
unhappy,6,0,0,0,0,0,0,0,0
king,0,0,0,0,0,4,0,0,0
paper,0,0,0,0,0,21,0,0,0
money,0,0,0,0,0,6,0,0,0
spend,0,0,0,0,0,0,0,0,4
eat,0,0,0,0,0,0,0,0,6
closed,1,0,0,0,0,0,0,0,0
door,0,0,0,0,0,29,0,0,0
home,0,0,4,0,0,6,0,0,0
voice,0,0,0,0,0,14,0,0,0
speak,0,0,0,0,0,0,0,0,31
whisper,0,0,0,0,0,5,0,0,10
nobleman,0,0,0,0,0,6,0,0,0
angry,7,0,0,0,0,0,0,0,0
desperate,2,0,0,0,0,0,0,0,0
late,8,0,2,0,0,0,0,0,0
night,0,0,0,0,0,18,0,0,0
coach,0,0,0,0,0,37,0,0,0
go,0,0,0,0,0,0,0,0,60
stop,0,0,0,0,0,0,0,0,17
long,13,0,12,0,0,0,0,0,0
hill,0,0,0,0,0,4,0,0,0
horse,0,0,0,0,0,9,0,0,0
tired,5,0,0,0,0,0,0,0,0
rest,0,0,0,0,0,2,0,0,2
driver,0,0,0,0,0,5,0,0,0
hear,0,0,0,0,0,0,0,0,24
come,0,0,0,0,0,0,0,0,69
fast,1,0,6,0,0,0,0,0,0
rider,0,0,0,0,0,1,0,0,0
shout,0,0,0,0,0,4,0,0,12
want,0,0,0,0,0,0,0,0,21
passenger,0,0,0,0,0,3,0,0,0
say,0,0,0,0,0,0,0,0,159
put,0,0,0,0,0,0,0,0,2
head,0,0,0,0,0,10,0,0,0
window,0,0,0,0,0,9,0,0,0
sir,0,0,0,0,0,4,0,0,0
cry,0,0,0,0,0,3,0,0,18
man,0,0,0,0,0,85,0,0,0
matter,0,0,0,0,0,1,0,0,0
call,0,0,0,0,0,0,0,0,19
message,0,0,0,0,0,6,0,0,0
wait,0,0,0,0,0,0,0,0,19
young,25,0,0,0,0,0,0,0,0
lady,0,0,0,0,0,11,0,0,0
tell,0,0,0,0,0,0,0,0,45
answer,0,0,0,0,0,5,0,0,5
came,0,0,0,0,0,0,0,0,1
life,0,0,0,0,0,28,0,0,0
strange,7,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,7
mean,0,0,0,0,0,0,0,0,3
day,0,0,0,0,0,45,0,0,0
sit,0,0,0,0,0,0,0,0,17
hotel,0,0,0,0,0,3,0,0,0
arrive,0,0,0,0,0,0,0,0,11
pretty,2,0,0,0,0,0,0,0,0
golden,2,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,9,0,0,0
blue,3,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,16,0,0,0
remember,0,0,0,0,0,0,0,0,15
small,5,0,0,0,0,0,0,0,0
child,0,0,0,0,0,19,0,0,0
baby,0,0,0,0,0,2,0,0,0
carry,0,0,0,0,0,0,0,0,9
arm,0,0,0,0,0,10,0,0,0
ago,0,0,11,0,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,44
story,0,0,0,0,0,5,0,0,0
customer,0,0,0,0,0,10,0,0,0
work,0,0,0,0,0,14,0,0,17
yes,0,0,0,0,28,0,0,0,0
receive,0,0,0,0,0,0,0,0,2
meet,0,0,0,0,0,0,0,0,9
news,0,0,0,0,0,14,0,0,0
father,0,0,0,0,0,37,0,0,0
die,0,0,0,0,0,0,0,0,30
bear,0,0,0,0,0,0,0,0,2
french,6,0,0,0,0,0,0,0,0
doctor,0,0,0,0,0,5,0,0,0
marry,0,0,0,0,0,0,0,0,8
english,5,0,0,0,0,0,0,0,0
daughter,0,0,0,0,0,27,0,0,0
disappear,0,0,0,0,0,0,0,0,3
know,0,0,0,0,0,0,0,0,52
happen,0,0,0,0,0,0,0,0,16
wife,0,0,0,0,0,31,0,0,0
bring,0,0,0,0,0,0,0,0,23
like,0,26,0,0,0,0,0,0,4
true,13,0,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,26
care,0,0,0,0,0,8,0,0,1
think,0,0,0,0,0,0,0,0,26
dead,8,0,0,0,0,0,0,0,0
prison,0,0,0,0,0,33,0,0,0
wrong,3,0,1,0,0,0,0,0,0
powerful,4,0,0,0,0,0,0,0,0
enemy,0,0,0,0,0,8,0,0,0
power,0,0,0,0,0,6,0,0,0
send,0,0,0,0,0,0,0,0,12
hide,0,0,0,0,0,0,0,0,5
forget,0,0,0,0,0,0,0,0,7
eighteen,0,0,0,0,0,0,2,0,0
possible,3,0,0,0,0,0,0,0,0
alive,5,0,0,0,0,0,0,0,0
stare,0,0,0,0,0,0,0,0,9
face,0,0,0,0,0,31,0,0,0
white,7,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,24,0,0,0
tremble,0,0,0,0,0,0,0,0,5
ghost,0,0,0,0,0,2,0,0,0
gently,0,0,6,0,0,0,0,0,0
question,0,0,0,0,0,11,0,0,1
past,0,2,0,0,0,4,0,0,0
dangerous,5,0,0,0,0,0,0,0,0
house,0,0,0,0,0,17,0,0,0
old,34,0,0,0,0,0,0,0,0
servant,0,0,0,0,0,6,0,0,0
street,0,0,0,0,0,16,0,0,0
narrow,2,0,0,0,0,0,0,0,0
dirty,1,0,0,0,0,0,0,0,0
food,0,0,0,0,0,5,0,0,0
shop,0,0,0,0,0,14,0,0,1
look,0,0,0,0,0,1,0,0,53
wine,0,0,0,0,0,17,0,0,0
outside,0,8,8,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,0,25
inside,0,5,1,0,0,0,0,0,0
knit,0,0,0,0,0,0,0,0,10
watch,0,0,0,0,0,0,0,0,10
turn,0,0,0,0,0,0,0,0,12
new,13,0,0,0,0,0,0,0,0
suddenly,0,0,6,0,0,0,0,0,0
kiss,0,0,0,0,0,0,0,0,11
lead,0,0,0,0,0,0,0,0,4
follow,0,0,0,0,0,0,0,0,14
upstairs,0,0,4,0,0,0,0,0,0
stair,0,0,0,0,0,3,0,0,0
reach,0,0,0,0,0,0,0,0,2
key,0,0,0,0,0,2,0,0,0
pocket,0,0,0,0,0,5,0,0,0
lock,0,0,0,0,0,0,0,0,6
surprise,0,0,0,0,0,5,0,0,0
free,9,0,0,0,0,0,0,0,1
live,0,0,0,0,0,0,0,0,21
reply,0,0,0,0,0,1,0,0,22
angrily,0,0,6,0,0,0,0,0,0
afraid,9,0,0,0,0,0,0,0,0
worriedly,0,0,2,0,0,0,0,0,0
lot,0,0,0,0,0,2,0,0,0
noise,0,0,0,0,0,6,0,0,0
open,0,0,0,0,0,0,0,0,11
room,0,0,0,0,0,38,0,0,0
thin,8,0,0,0,0,0,0,0,0
haired,6,0,0,0,0,0,0,0,0
wooden,1,0,0,0,0,0,0,0,0
seat,0,0,0,0,0,2,0,0,0
busy,3,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,6
shoe,0,0,0,0,0,6,0,0,0
hard,8,0,6,0,0,0,0,0,0
visitor,0,0,0,0,0,4,0,0,0
move,0,0,0,0,0,0,0,0,2
close,5,0,4,0,0,0,0,0,5
prisoner,0,0,0,0,0,30,0,0,0
understanding,0,0,0,0,0,1,0,0,0
slowly,0,0,5,0,0,0,0,0,0
near,0,3,1,0,0,0,0,0,0
notice,0,0,0,0,0,0,0,0,4
hold,0,0,0,0,0,1,0,0,13
tear,0,0,0,0,0,5,0,0,0
happiness,0,0,0,0,0,2,0,0,0
run,0,0,0,0,0,0,0,0,10
little,13,0,0,0,0,0,0,0,0
bag,0,0,0,0,0,1,0,0,0
try,0,0,0,0,0,0,0,0,12
explain,0,0,0,0,0,0,0,0,2
see,0,0,0,0,0,0,0,0,35
sound,0,0,0,0,0,8,0,0,0
touch,0,0,0,0,0,1,0,0,3
warm,3,0,0,0,0,0,0,0,1
leave,0,0,0,0,0,0,0,0,38
arrange,0,0,0,0,0,0,0,0,2
course,0,0,1,0,0,2,0,0,0
able,6,0,0,0,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,6
well,6,0,1,0,0,0,0,0,0
far,0,0,7,0,0,0,0,0,0
