word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
phenomenon,0,0,0,0,0,2,0,0,0,0,0
tiny,11,0,0,0,0,0,0,0,0,0,0
dust,0,0,0,0,0,1,0,0,0,0,0
spec,0,0,0,0,0,1,0,0,0,0,0
kick,0,0,0,0,0,0,0,0,0,2,0
people,0,0,0,0,0,7,0,0,0,0,0
ordinarily,0,0,2,0,0,0,0,0,0,0,0
observe,0,0,0,0,0,0,0,0,0,12,0
classify,0,0,0,0,0,0,0,0,0,1,0
phase,0,0,0,0,0,5,0,0,0,0,0
generally,0,0,3,0,0,0,0,0,0,0,0
possess,0,0,0,0,0,0,0,0,0,9,0
retain,0,0,0,0,0,0,0,0,0,1,0
definite,2,0,0,0,0,0,0,0,0,0,0
size,0,0,0,0,0,11,0,0,0,0,0
shape,0,0,0,0,0,10,0,0,0,0,0
situate,0,0,0,0,0,0,0,0,0,1,0
pencil,0,0,0,0,0,1,0,0,0,0,0
example,0,0,0,0,0,37,0,0,0,0,0
change,0,0,0,0,0,24,0,0,0,56,0
move,0,0,0,0,0,0,0,0,0,42,0
desktop,0,0,0,0,0,1,0,0,0,0,0
place,0,0,0,0,0,12,0,0,0,5,0
upright,0,0,1,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,3,0,0,0,0,0
unlike,0,2,0,0,0,0,0,0,0,0,0
assume,0,0,0,0,0,0,0,0,0,4,0
container,0,0,0,0,0,6,0,0,0,0,0
like,3,12,0,0,0,0,0,0,0,0,0
volume,0,0,0,0,0,5,0,0,0,0,0
pint,0,0,0,0,0,1,0,0,0,0,0
pour,0,0,0,0,0,0,0,0,0,1,0
bowl,0,0,0,0,0,1,0,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,20,0
expand,0,0,0,0,0,0,0,0,0,6,0
fill,0,0,0,0,0,0,0,0,0,4,0
complete,1,0,0,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0,18,0
ice,0,0,0,0,0,10,0,0,0,0,0
vapor,0,0,0,0,0,1,0,0,0,0,0
temperature,0,0,0,0,0,24,0,0,0,0,0
pressure,0,0,0,0,0,19,0,0,0,0,0
gaseous,8,0,0,0,0,0,0,0,0,0,0
constant,8,0,0,0,0,6,0,0,0,0,0
atmospheric,6,0,0,0,0,0,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,0,1,0
freezer,0,0,0,0,0,1,0,0,0,0,0
warm,1,0,0,0,0,0,0,0,0,3,0
pan,0,0,0,0,0,3,0,0,0,0,0
hot,4,0,0,0,0,0,0,0,0,0,0
fire,0,0,0,0,0,1,0,0,0,0,0
heat,0,0,0,0,0,54,0,0,0,7,0
steam,0,0,0,0,0,1,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,7,0
decompose,0,0,0,0,0,0,0,0,0,1,0
chemically,0,0,3,0,0,0,0,0,0,0,0
sugar,0,0,0,0,0,1,0,0,0,0,0
oxygen,0,0,0,0,0,13,0,0,0,0,0
cool,0,0,0,0,0,0,0,0,0,1,0
low,10,0,1,0,0,0,0,0,0,0,0
quartz,0,0,0,0,0,1,0,0,0,0,0
high,19,0,0,0,0,0,0,0,0,0,0
experience,0,0,0,0,0,2,0,0,0,6,0
drastic,1,0,0,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,6,0,0,0,0,0
effect,0,0,0,0,0,9,0,0,0,0,0
