word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,VERB,X
twinkle,0,0,0,0,0,0,0,5,0
little,5,0,0,0,0,0,0,0,0
star,0,0,0,0,0,248,0,0,0
wonder,0,0,0,0,0,1,0,2,0
reader,0,0,0,0,0,1,0,0,0
book,0,0,0,0,0,2,0,0,0
page,0,0,0,0,0,1,0,0,0
lie,0,0,0,0,0,0,0,8,0
information,0,0,0,0,0,4,0,0,0
property,0,0,0,0,0,6,0,0,0
characteristic,0,0,0,0,0,2,0,0,0
include,0,0,0,0,0,0,0,11,0
vital,1,0,0,0,0,0,0,0,0
life,0,0,0,0,0,9,0,0,0
topic,0,0,0,0,0,1,0,0,0
composition,0,0,0,0,0,6,0,0,0
brightness,0,0,0,0,0,11,0,0,0
configuration,0,0,0,0,0,2,0,0,0
constellation,0,0,0,0,0,21,0,0,0
layer,0,0,0,0,0,12,0,0,0
role,0,0,0,0,0,1,0,0,0
center,0,0,0,0,0,23,0,0,0
solar,71,0,0,0,0,0,0,0,0
system,0,0,0,0,0,14,0,0,0
shape,0,0,0,0,0,12,0,2,0
energy,0,0,0,0,0,45,0,0,0
emit,0,0,0,0,0,0,0,18,0
large,32,0,0,0,0,0,0,0,0
group,0,0,0,0,0,10,0,1,0
know,0,0,0,0,0,0,0,13,0
galaxy,0,0,0,0,0,72,0,0,0
scientific,3,0,0,0,0,0,0,0,0
exploration,0,0,0,0,0,1,0,0,0
illuminate,0,0,0,0,0,0,0,1,0
celestial,3,0,0,0,0,0,0,0,0
body,0,0,0,0,0,6,0,0,0
year,0,0,0,0,0,55,0,0,0
cover,0,0,0,0,0,0,0,5,0
world,0,0,0,0,0,1,0,0,0
high,11,0,1,0,0,0,0,0,0
like,0,21,0,0,0,0,0,0,0
diamond,0,0,0,0,0,1,0,0,0
sky,0,0,0,0,0,12,0,0,0
common,3,0,0,0,0,0,0,0,0
image,0,0,0,0,0,24,0,0,0
tiny,5,0,0,0,0,0,0,0,0
point,0,0,0,0,0,5,0,0,0
light,7,0,0,0,0,61,0,0,0
