word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
return,0,0,0,0,0,0,0,0,0,9
flat,1,0,0,0,0,0,15,0,0,0
afternoon,0,0,0,0,0,0,6,0,0,0
unhappy,2,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,11,0,0,0
month,0,0,0,0,0,0,5,0,0,0
bored,2,0,0,0,0,0,0,0,0,0
weather,0,0,0,0,0,0,4,0,0,0
bad,12,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,23,0,0,0
dull,1,0,0,0,0,0,0,0,0,0
amusement,0,0,0,0,0,0,1,0,0,0
exciting,4,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,8,0,0,0
cold,7,0,0,0,0,0,1,0,0,0
water,0,0,0,0,0,0,6,0,0,0
tell,0,0,0,0,0,0,0,0,0,59
mistake,0,0,0,0,0,0,7,0,0,0
well,10,0,6,0,0,0,0,0,0,0
angry,8,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,71
year,0,0,0,0,0,0,11,0,0,0
spend,0,0,0,0,0,0,0,0,0,9
work,0,0,0,0,0,0,6,0,0,15
hard,2,0,5,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,1
money,0,0,0,0,0,0,17,0,0,0
lot,0,0,0,0,0,0,15,0,0,0
leave,0,0,0,0,0,0,0,0,0,33
old,54,0,0,0,0,0,0,0,0,0
home,0,0,8,0,0,0,5,0,0,0
dream,0,0,0,0,0,0,0,0,0,1
come,0,0,0,0,0,0,0,0,0,70
rest,0,0,0,0,0,0,4,0,0,3
disappointed,1,0,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,21,0,0,0
week,0,0,0,0,0,0,9,0,0,0
thirty,0,0,0,0,0,0,1,16,0,0
seven,0,0,0,0,0,0,0,13,0,0
healthy,1,0,0,0,0,0,0,0,0,0
good,49,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,37,0,0,0
death,0,0,0,0,0,0,3,0,0,0
evening,0,0,0,0,0,0,15,0,0,0
go,0,0,0,0,0,0,0,0,0,78
dinner,0,0,0,0,0,0,7,0,0,0
sit,0,0,0,0,0,0,0,0,0,33
read,0,0,0,0,0,0,0,0,0,14
newspaper,0,0,0,0,0,0,10,0,0,0
trouble,0,0,0,0,0,0,7,0,0,0
south,7,0,1,0,0,0,3,0,0,0
east,10,0,0,0,0,0,3,0,0,0
long,8,0,1,0,0,0,0,0,0,0
report,0,0,0,0,0,0,1,0,0,1
greek,2,0,0,0,0,0,0,0,0,0
honest,6,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,175,0,0,0
hate,0,0,0,0,0,0,0,0,0,4
like,0,31,0,0,0,0,0,0,0,16
say,0,0,0,0,0,0,0,0,0,116
prevent,0,0,0,0,0,0,0,0,0,3
war,0,0,0,0,0,0,24,0,0,0
start,0,0,0,0,0,0,0,0,0,26
remember,0,0,0,0,0,0,0,0,0,11
wonder,0,0,0,0,0,0,0,0,0,6
job,0,0,0,0,0,0,9,0,0,0
boring,2,0,0,0,0,0,0,0,0,0
walk,0,0,0,0,0,0,1,0,0,38
night,0,0,0,0,0,0,18,0,0,0
decide,0,0,0,0,0,0,0,0,0,13
day,0,0,0,0,0,0,35,0,0,0
interesting,3,0,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,10
boat,0,0,0,0,0,0,6,0,0,0
big,11,0,0,0,0,0,0,0,0,0
new,10,0,0,0,0,0,0,0,0,0
building,0,0,0,0,0,0,7,0,0,0
doorman,0,0,0,0,0,0,2,0,0,0
entrance,0,0,0,0,0,0,1,0,0,0
separate,1,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,42,0,0,0
put,0,0,0,0,0,0,0,0,0,2
key,0,0,0,0,0,0,7,0,0,0
appear,0,0,0,0,0,0,0,0,0,6
thin,13,0,0,0,0,0,0,0,0,0
short,3,0,1,0,0,0,0,0,0,0
brown,2,0,0,0,0,0,0,0,0,0
beard,0,0,0,0,0,0,3,0,0,0
small,16,0,0,0,0,0,0,0,0,0
bright,8,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,22,0,0,0
recognize,0,0,0,0,0,0,0,0,0,9
live,0,0,0,0,0,0,0,0,0,10
floor,0,0,0,0,0,0,3,0,0,0
speak,0,0,0,0,0,0,0,0,0,29
twice,0,0,3,0,0,0,0,0,0,0
stair,0,0,0,0,0,0,2,0,0,0
ask,0,0,0,0,0,0,0,0,0,37
minute,0,0,0,0,0,0,32,0,0,0
voice,0,0,0,0,0,0,10,0,0,0
shake,0,0,0,0,0,0,0,0,0,3
little,13,0,3,0,0,0,0,0,0,0
open,10,1,0,0,0,0,0,0,0,13
lock,0,0,0,0,0,0,0,0,0,7
quickly,0,0,12,0,0,0,0,0,0,0
sorry,5,0,0,0,0,0,0,0,0,0
rude,1,0,0,0,0,0,0,0,0,0
dangerous,5,0,0,0,0,0,0,0,0,0
