word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,PRON,SCONJ,VERB,X
finish,0,0,0,0,0,0,0,0,0,0,12,0
breakfast,0,0,0,0,0,0,0,4,0,0,1,0
set,0,0,0,0,0,0,0,1,0,0,25,0
apart,0,1,5,0,0,0,0,0,0,0,0,0
low,13,0,2,0,0,0,0,0,0,0,0,0
direction,0,0,0,0,0,0,0,16,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,40,0
grumble,0,0,0,0,0,0,0,0,0,0,1,0
clear,2,0,0,0,0,0,0,0,0,0,5,0
hour,0,0,0,0,0,0,0,28,0,0,0,0
meantime,0,0,0,0,0,0,0,2,0,0,0,0
pretty,1,0,8,0,0,0,0,0,0,0,0,0
wireless,0,0,0,0,0,0,0,1,0,0,0,0
lot,0,0,0,0,0,0,0,8,0,0,0,0
book,0,0,0,0,0,0,0,9,0,0,0,0
agree,0,0,0,0,0,0,0,0,0,0,4,0
adventure,0,0,0,0,0,0,0,10,0,0,0,0
end,0,0,0,0,0,0,0,26,0,0,1,0
unexpected,1,0,0,0,0,0,0,0,0,0,0,0
spare,3,0,0,0,0,0,0,0,0,0,1,0
bedroom,0,0,0,0,0,0,0,2,0,0,0,0
expect,0,0,0,0,0,0,0,0,0,0,15,0
picture,0,0,0,0,0,0,0,8,0,0,0,0
suit,0,0,0,0,0,0,0,3,0,0,0,0
armour,0,0,0,0,0,0,0,4,0,0,0,0
hang,0,0,0,0,0,0,0,0,0,0,16,0
green,11,0,0,0,0,0,0,6,0,0,0,0
harp,0,0,0,0,0,0,0,1,0,0,0,0
corner,0,0,0,0,0,0,0,12,0,0,0,0
step,0,0,0,0,0,0,0,12,0,0,7,0
kind,3,0,1,0,0,0,0,6,0,0,0,0
hall,0,0,0,0,0,0,0,4,0,0,0,0
balcony,0,0,0,0,0,0,0,1,0,0,0,0
series,0,0,0,0,0,0,0,1,0,0,0,0
line,0,0,0,0,0,0,0,5,0,0,1,0
big,19,0,0,0,0,0,0,0,0,0,0,0
church,0,0,0,0,0,0,0,1,0,0,0,0
shortly,0,0,1,0,0,0,0,0,0,0,0,0
wardrobe,0,0,0,0,0,0,0,47,0,0,0,0
glass,0,0,0,0,0,0,0,3,0,0,0,0
dead,15,0,0,0,0,0,0,0,0,0,0,0
bluebottle,0,0,0,0,0,0,0,1,0,0,0,0
sill,0,0,0,0,0,0,0,1,0,0,0,0
troop,0,0,0,0,0,0,0,1,0,0,1,0
stay,0,0,0,0,0,0,0,0,0,0,6,0
worthwhile,1,0,0,0,0,0,0,0,0,0,0,0
lock,0,0,0,0,0,0,0,1,0,0,4,0
surprise,0,0,0,0,0,0,0,6,0,0,0,0
open,24,3,0,0,0,0,0,2,0,0,12,0
easily,0,0,6,0,0,0,0,0,0,0,0,0
mothball,0,0,0,0,0,0,0,3,0,0,0,0
drop,0,0,0,0,0,0,0,9,0,0,5,0
inside,0,7,10,0,0,0,0,4,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,98,0
coat,0,0,0,0,0,0,0,26,0,0,0,0
fur,0,0,0,0,0,0,0,13,0,0,0,0
smell,0,0,0,0,0,0,0,9,0,0,5,0
immediately,0,0,8,0,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,74,0
rub,0,0,0,0,0,0,0,0,0,0,5,0
leave,0,0,0,0,0,0,0,2,0,0,20,0
know,0,0,0,0,0,0,0,0,0,0,115,0
foolish,2,0,0,0,0,0,0,0,0,0,0,0
shut,0,0,0,0,0,0,0,0,0,0,11,0
oneself,0,0,0,0,0,0,0,0,3,0,0,0
second,3,0,0,0,0,0,0,7,0,0,0,0
dark,20,0,0,0,0,0,0,4,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,25,0
arm,0,0,0,0,0,0,0,16,0,0,0,0
stretch,0,0,0,0,0,0,0,0,0,0,3,0
bump,0,0,0,0,0,0,0,0,0,0,1,0
take,0,0,0,0,0,0,0,0,0,0,35,0
woodwork,0,0,0,0,0,0,0,1,0,0,0,0
tip,0,0,0,0,0,0,0,2,0,0,0,0
finger,0,0,0,0,0,0,0,8,0,0,0,0
simply,0,0,9,0,0,0,0,0,0,0,0,0
enormous,5,0,0,0,0,0,0,0,0,0,0,0
push,0,0,0,0,0,0,0,0,0,0,3,0
soft,6,0,0,0,0,0,0,0,0,0,0,0
fold,0,0,0,0,0,0,0,3,0,0,1,0
aside,0,0,3,0,0,0,0,0,0,0,0,0
notice,0,0,0,0,0,0,0,2,0,0,26,0
crunch,0,0,0,0,0,0,0,0,0,0,3,0
wonder,0,0,0,0,0,0,0,0,0,0,26,0
stoop,0,0,0,0,0,0,0,0,0,0,9,0
hand,0,0,0,0,0,0,0,39,0,0,8,0
instead,0,0,22,0,0,0,0,0,0,0,0,0
hard,4,0,16,0,0,0,0,0,0,0,0,0
smooth,4,0,0,0,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,0,10,0,0,0,0
powdery,1,0,0,0,0,0,0,0,0,0,0,0
extremely,0,0,1,0,0,0,0,0,0,0,0,0
cold,31,0,0,0,0,0,0,4,0,0,0,0
queer,4,0,0,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,0,70,0,0,0,0
rough,6,0,0,0,0,0,0,0,0,0,0,0
prickly,2,0,0,0,0,0,0,0,0,0,0,0
branch,0,0,0,0,0,0,0,13,0,0,1,0
tree,0,0,0,0,0,0,0,70,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,3,0
light,4,0,0,0,0,0,0,18,0,0,4,0
ahead,0,0,7,0,0,0,0,0,0,0,0,0
inch,0,0,0,0,0,0,0,3,0,0,0,0
ought,0,0,0,13,0,0,0,0,0,0,1,0
way,0,0,0,0,0,0,0,40,0,0,0,0
later,0,0,17,0,0,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,1,0,0,68,0
middle,1,0,0,0,0,0,0,14,0,0,0,0
snow,0,0,0,0,0,0,0,59,0,0,2,0
snowflake,0,0,0,0,0,0,0,2,0,0,0,0
frightened,5,0,0,0,0,0,0,0,0,0,0,0
inquisitive,3,0,0,0,0,0,0,0,0,0,0,0
excited,4,0,0,0,0,0,0,0,0,0,0,0
shoulder,0,0,0,0,0,0,0,7,0,0,0,0
trunk,0,0,0,0,0,0,0,6,0,0,0,0
doorway,0,0,0,0,0,0,0,3,0,0,0,0
catch,0,0,0,0,0,0,0,1,0,0,23,0
glimpse,0,0,0,0,0,0,0,3,0,0,0,0
thing,0,0,0,0,0,0,0,74,0,0,0,0
daylight,0,0,0,0,0,0,0,10,0,0,0,0
wrong,11,0,1,0,0,0,0,2,0,0,0,0
walk,0,0,0,0,0,0,0,2,0,0,40,0
forward,0,0,7,0,0,0,0,0,0,0,0,0
minute,0,0,0,0,0,0,0,27,0,0,0,0
reach,0,0,0,0,0,0,0,1,0,0,19,0
lamp,0,0,0,0,0,0,0,14,0,0,0,0
pitter,0,0,0,0,0,0,0,1,0,0,0,0
patter,0,0,0,0,0,0,0,1,0,0,0,0
strange,26,0,0,0,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,0,9,0,0,0,0
tall,8,0,0,0,0,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,14,0
umbrella,0,0,0,0,0,0,0,5,0,0,0,0
waist,0,0,0,0,0,0,0,1,0,0,0,0
upwards,0,0,1,0,0,0,0,0,0,0,0,0
leg,0,0,0,0,0,0,0,12,0,0,0,0
shape,0,0,0,0,0,0,0,8,0,0,2,0
goat,0,0,0,0,0,0,0,2,0,0,0,0
glossy,2,0,0,0,0,0,0,0,0,0,0,0
black,5,0,0,0,0,0,0,1,0,0,0,0
hoof,0,0,0,0,0,0,0,8,0,0,0,0
tail,0,0,0,0,0,0,0,9,0,0,0,0
