word,ADJ,ADP,ADV,AUX,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
race,0,0,0,0,0,2,0,0,0,0,0
cultural,8,0,0,0,0,0,0,0,0,0,0
development,0,0,0,0,0,20,0,0,0,0,0
elizabethan,39,0,0,0,0,0,0,0,0,0,0
language,0,0,0,0,0,75,0,0,0,0,0
sonnet,0,0,0,0,0,21,0,0,0,0,0
sequence,0,0,0,0,0,11,0,0,0,0,0
poetic,21,0,0,0,0,0,0,0,0,0,0
style,0,0,0,0,0,54,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,38,0
spenser,1,0,0,0,0,0,0,0,0,0,0
spenserian,7,0,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,23,0,0,0,0,0
religion,0,0,0,0,0,11,0,0,0,0,0
science,0,0,0,0,0,7,0,0,0,0,0
life,0,0,0,0,0,88,0,0,0,0,0
work,0,0,0,0,0,159,0,0,0,14,0
theatre,0,0,0,0,0,36,0,0,0,0,0
province,0,0,0,0,0,3,0,0,0,0,0
professional,13,0,0,0,0,2,0,0,0,0,0
blank,21,0,0,0,0,1,0,0,0,0,0
assessment,0,0,0,0,0,1,0,0,0,0,0
year,0,0,0,0,0,73,0,0,0,0,0
poem,0,0,0,0,0,214,0,0,0,0,0
collaboration,0,0,0,0,0,4,0,0,0,0,0
spurious,1,0,0,0,0,0,0,0,0,0,0
attribution,0,0,0,0,0,3,0,0,0,0,0
authorship,0,0,0,0,0,4,0,0,0,0,0
playwright,0,0,0,0,0,13,0,0,0,0,0
good,61,0,0,0,0,2,0,0,0,0,0
way,0,0,0,0,0,47,0,0,0,0,0
start,0,0,0,0,0,1,0,0,0,4,0
appreciate,0,0,0,0,0,0,0,0,0,2,0
literature,0,0,0,0,0,76,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,14,0
story,0,0,0,0,0,79,0,0,0,0,0
write,0,0,0,0,0,0,0,0,0,145,0
academic,6,0,0,0,0,2,0,0,0,0,0
study,0,0,0,0,0,13,0,0,0,8,0
extension,0,0,0,0,0,4,0,0,0,0,0
oral,4,0,0,0,0,0,0,0,0,0,0
tradition,0,0,0,0,0,52,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,0,11,0
grand,4,0,0,0,0,0,0,0,0,0,0
fanciful,1,0,0,0,0,0,0,0,0,0,0
