word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
settle,0,0,0,0,0,0,0,0,0,0,0,24,0
romanized,2,0,0,0,0,0,0,0,0,0,0,0,0
western,157,0,0,0,0,0,0,1,0,0,0,0,0
expand,0,0,0,0,0,0,0,0,0,0,0,24,0
merovingian,5,0,0,0,0,0,0,0,0,0,0,0,0
carolingian,27,0,0,0,0,0,0,0,0,0,0,0,0
dynasty,0,0,0,0,0,0,0,48,0,0,0,0,0
heyday,0,0,0,0,0,0,0,1,0,0,0,0,0
rule,0,0,0,0,0,0,0,27,0,0,0,37,0
crown,0,0,0,0,0,0,0,65,0,0,0,14,0
emperor,0,0,0,0,0,0,0,130,0,0,0,0,0
heir,0,0,0,0,0,0,0,29,0,0,0,0,0
die,0,0,0,0,0,2,0,0,0,0,0,33,0
empire,0,0,0,0,0,0,0,176,0,0,0,0,0
divide,0,0,0,0,0,0,0,1,0,0,0,48,0
realm,0,0,0,0,0,0,0,30,0,0,0,0,0
middle,28,0,0,0,0,0,0,7,0,0,0,0,0
soon,0,0,35,0,0,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,0,15,0,0,0,46,0
apart,0,0,12,0,0,0,0,0,0,0,0,0,0
partially,0,0,5,0,0,0,0,0,0,0,0,0,0
absorb,0,0,0,0,0,0,0,0,0,0,0,10,0
neighbour,0,0,0,0,0,0,0,19,0,0,0,10,0
eastern,172,0,0,0,0,0,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,0,0,21,0
eventually,0,0,21,0,0,0,0,0,0,0,0,0,0
respectively,0,0,8,0,0,0,0,0,0,0,0,0,0
grandson,0,0,0,0,0,0,0,6,0,0,0,0,0
ruler,0,0,0,0,0,0,0,99,0,0,0,0,0
frankish,46,0,0,0,0,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,0,67,0
byname,0,0,0,0,0,0,0,1,0,0,0,0,0
historian,0,0,0,0,0,0,0,19,0,0,0,0,0
misleading,1,0,0,0,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,0,0,0,19,0,0,0,0,0
national,107,0,0,0,0,0,0,1,0,0,0,0,0
identity,0,0,0,0,0,0,0,9,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,0,0,0,47,0
point,0,0,0,0,0,0,0,28,0,0,0,4,0
date,0,0,0,0,0,0,0,2,0,0,0,4,0
stop,0,0,0,0,0,0,0,1,0,0,0,6,0
important,77,0,1,0,0,0,0,0,0,0,0,0,0
factor,0,0,0,0,0,0,0,8,0,0,0,0,0
end,0,0,0,0,0,0,0,76,0,0,0,36,0
death,0,0,0,0,0,0,0,58,0,0,0,0,0
instead,0,0,24,0,0,0,0,0,0,0,0,0,0
join,0,0,0,0,0,0,0,0,0,0,0,29,0
break,0,0,0,0,0,0,0,3,0,0,0,35,0
piece,0,0,0,0,0,0,0,4,0,0,0,1,0
elect,0,0,0,0,0,0,0,3,0,0,0,59,0
duke,0,0,0,0,0,0,0,65,0,0,0,0,0
new,196,0,0,0,0,0,0,0,0,0,0,0,0
king,1,0,0,0,0,0,0,131,0,0,0,0,0
non,9,0,0,0,0,0,0,2,0,0,0,0,0
hold,0,0,0,0,0,0,0,7,0,0,0,82,0
son,0,0,0,0,0,0,0,74,0,0,0,0,0
claim,0,0,0,0,0,0,0,32,0,0,0,13,0
prerogative,0,0,0,0,0,0,0,12,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,0,21,0
worldly,4,0,0,0,0,0,0,0,0,0,0,0,0
leader,0,0,0,0,0,0,0,65,0,0,0,0,0
apply,0,0,0,0,0,0,0,0,0,0,0,5,0
theory,0,0,0,0,0,0,0,14,0,0,0,0,0
practice,0,0,0,0,0,0,0,19,0,0,0,6,0
territorial,75,0,0,0,0,0,0,0,0,0,0,0,0
struggle,0,0,0,0,0,0,0,52,0,0,0,3,0
influence,0,0,0,0,0,0,0,64,0,0,0,21,0
church,0,0,0,0,0,0,0,128,0,0,0,0,0
constant,8,0,0,0,0,0,0,0,0,0,0,0,0
cause,0,0,0,0,0,0,0,21,0,0,0,25,0
conflict,0,0,0,0,0,0,0,62,0,0,0,1,0
papacy,0,0,0,0,0,0,0,35,0,0,0,0,0
power,0,0,0,0,0,0,0,248,0,0,0,2,0
bestow,0,0,0,0,0,0,0,0,0,0,0,8,0
withhold,0,0,0,0,0,0,0,0,0,0,0,4,0
imperial,107,0,0,0,0,0,0,0,0,0,0,0,0
coronation,0,0,0,0,0,0,0,13,0,0,0,0,0
discrepancy,0,0,0,0,0,0,0,3,0,0,0,0,0
ambition,0,0,0,0,0,0,0,15,0,0,0,0,0
reality,0,0,0,0,0,0,0,14,0,0,0,0,0
increasingly,0,0,36,0,0,0,0,0,0,0,0,0,0
apparent,15,0,0,0,0,0,0,0,0,0,0,0,0
monarchy,0,0,0,0,0,0,0,33,0,0,0,0,0
elective,1,0,0,0,0,0,0,0,0,0,0,0,0
hereditary,19,0,0,0,0,0,0,0,0,0,0,0,0
shift,0,0,0,0,0,0,0,10,0,0,0,19,0
prince,0,0,0,0,0,0,0,224,0,0,0,0,0
necessarily,0,0,5,0,0,0,0,0,0,0,0,0,0
interest,0,0,0,0,0,0,0,65,0,0,0,1,0
support,0,0,0,0,0,0,0,68,0,0,0,41,0
strong,39,0,0,0,0,0,0,0,0,0,0,0,0
usually,0,0,13,0,0,0,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,5,0
pay,0,0,0,0,0,0,0,0,0,0,0,33,0
compliance,0,0,0,0,0,0,0,2,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,0,23,0
line,0,0,0,0,0,0,0,42,0,0,0,2,0
denomination,0,0,0,0,0,0,0,4,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,0,73,0
unification,0,0,0,0,0,0,0,90,0,0,0,0,0
language,0,0,0,0,0,0,0,48,0,0,0,0,0
work,0,0,0,0,0,0,0,56,0,0,0,24,0
translation,0,0,0,0,0,0,0,8,0,0,0,0,0
development,0,0,0,0,0,0,0,39,0,0,0,0,0
standardization,0,0,0,0,0,0,0,1,0,0,0,0,0
hardly,0,0,5,0,0,0,0,0,0,0,0,0,0
overestimate,0,0,0,0,0,0,0,0,0,0,0,1,0
wide,22,0,0,0,0,0,0,0,0,0,0,0,0
distribution,0,0,0,0,0,0,0,6,0,0,0,0,0
thank,0,0,0,0,0,0,0,2,0,0,0,0,0
invention,0,0,0,0,0,0,0,3,0,0,0,0,0
movable,1,0,0,0,0,0,0,0,0,0,0,0,0
type,0,0,0,0,0,0,0,10,0,0,0,0,0
printing,0,0,0,0,0,0,0,4,0,0,0,0,0
early,89,0,25,0,0,0,0,0,0,0,0,0,0
win,0,0,0,0,0,0,0,0,0,0,0,79,0
violent,7,0,0,0,0,0,0,0,0,0,0,0,0
erupt,0,0,0,0,0,0,0,0,0,0,0,2,0
wake,0,0,0,0,0,0,0,8,0,0,0,0,0
clear,21,0,0,0,0,0,0,0,0,0,0,4,0
regularise,0,0,0,0,0,0,0,0,0,0,0,1,0
coexistence,0,0,0,0,0,0,0,2,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,0,0,0,35,0
address,0,0,0,0,0,0,0,1,0,0,0,5,0
linger,0,0,0,0,0,0,0,0,0,0,0,3,0
problem,0,0,0,0,0,0,0,60,0,0,0,0,0
matter,0,0,0,0,0,0,0,31,0,0,0,1,0
tension,0,0,0,0,0,0,0,6,0,0,0,0,0
