word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,VERB,X
yellow,2,0,0,0,0,0,0,0,0,0
dirty,2,0,0,0,0,0,0,0,0,0
pocket,0,0,0,0,0,6,0,0,0,0
blue,4,0,0,0,0,0,0,0,0,0
angry,4,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,2,0,0,0,0
stay,0,0,0,0,0,0,0,0,1,0
angrily,0,0,3,0,0,0,0,0,0,0
ear,0,0,0,0,0,3,0,0,0,0
hear,0,0,0,0,0,0,0,0,16,0
mouth,0,0,0,0,0,1,0,0,0,0
eat,0,0,0,0,0,0,0,0,4,0
wait,0,0,0,0,0,0,0,0,7,0
remember,0,0,0,0,0,0,0,0,3,0
whoosh,0,0,0,0,6,1,0,0,0,0
sudden,1,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,5,0,0,0,0
jinnee,0,0,0,0,0,22,0,0,0,0
master,0,0,0,0,0,6,0,0,0,0
slave,0,0,0,0,0,13,0,0,0,0
wish,0,0,0,0,0,7,0,0,0,0
surprised,1,0,0,0,0,0,0,0,0,0
second,0,0,0,0,0,9,0,0,0,0
later,0,0,2,0,0,0,0,0,0,0
happily,0,0,5,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,4,0
happen,0,0,0,0,0,0,0,0,2,0
bad,2,0,0,0,0,0,0,0,0,0
nearly,0,0,1,0,0,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,5,0
sleep,0,0,0,0,0,0,0,0,4,0
hour,0,0,0,0,0,1,0,0,0,0
sell,0,0,0,0,0,0,0,0,5,0
thing,0,0,0,0,0,5,0,0,0,0
clean,0,0,0,0,0,0,0,0,1,0
rub,0,0,0,0,0,0,0,0,7,0
mistress,0,0,0,0,0,3,0,0,0,0
bread,0,0,0,0,0,1,0,0,0,0
plate,0,0,0,0,0,11,0,0,0,0
everybody,0,0,0,0,0,0,0,5,0,0
daughter,0,0,0,0,0,16,0,0,0,0
carry,0,0,0,0,0,0,0,0,10,0
litter,0,0,0,0,0,3,0,0,0,0
see,0,0,0,0,0,0,0,0,13,0
woman,0,0,0,0,0,5,0,0,0,0
love,0,0,0,0,0,7,0,0,4,0
princess,0,0,0,0,0,10,0,0,0,0
marry,0,0,0,0,0,0,0,0,17,0
jewel,0,0,0,0,0,16,0,0,0,0
end,0,0,0,0,0,1,0,0,0,0
vizier,0,0,0,0,0,10,0,0,0,0
foot,0,0,0,0,0,3,0,0,0,0
sultan,0,0,0,0,0,2,0,0,0,0
suddenly,0,0,2,0,0,0,0,0,0,0
quiet,1,0,0,0,0,0,0,0,0,0
month,0,0,0,0,0,5,0,0,0,0
well,1,0,0,0,0,0,0,0,0,0
unhappy,1,0,0,0,0,0,0,0,0,0
asleep,3,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,1,0,0,0,0
true,1,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,6,0,0,0,0
easy,1,0,0,0,0,0,0,0,0,0
dress,0,0,0,0,0,1,0,0,0,0
horse,0,0,0,0,0,1,0,0,0,0
tonight,0,0,0,0,0,1,0,0,0,0
majesty,0,0,0,0,0,1,0,0,0,0
window,0,0,0,0,0,6,0,0,0,0
flower,0,0,0,0,0,2,0,0,0,0
seven,0,0,0,0,0,0,2,0,0,0
water,0,0,0,0,0,5,0,0,0,0
arabian,1,0,0,0,0,0,0,0,0,0
week,0,0,0,0,0,1,0,0,0,0
hunt,0,0,0,0,0,0,0,0,1,0
matter,0,0,0,0,0,1,0,0,0,0
make,0,0,0,0,0,0,0,0,1,0
picture,0,0,0,0,0,1,0,0,0,0
finish,0,0,0,0,0,0,0,0,1,0
hunting,0,0,0,0,0,1,0,0,0,0
sword,0,0,0,0,0,3,0,0,0,0
thirty,0,0,0,0,0,0,1,0,0,0
river,0,0,0,0,0,2,0,0,0,0
mile,0,0,0,0,0,1,0,0,0,0
sleeping,0,0,0,0,0,4,0,0,0,0
stand,0,0,0,0,0,0,0,0,2,0
tall,1,0,0,0,0,0,0,0,0,0
cup,0,0,0,0,0,2,0,0,0,0
quick,0,0,1,0,0,0,0,0,0,0
