word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB,X
thing,0,0,0,0,0,30,0,0,0,0
certain,1,0,0,0,0,0,0,0,0,0
black,5,0,0,0,0,0,0,0,0,0
kitten,0,0,0,0,0,15,0,0,0,0
begin,0,0,0,0,0,0,0,0,42,0
white,11,0,0,0,0,0,0,0,0,0
unable,1,0,0,0,0,0,0,0,0,0
quarter,0,0,0,0,0,1,0,0,0,0
hour,0,0,0,0,0,3,0,0,0,0
old,10,0,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,2,0,0,0,0
wash,0,0,0,0,0,0,0,0,3,0
face,0,0,0,0,0,6,0,0,0,0
slowly,0,0,6,0,0,0,0,0,0,0
carefully,0,0,6,0,0,0,0,0,0,0
free,2,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,16,0
sit,0,0,0,0,0,0,0,0,26,0
corner,0,0,0,0,0,3,0,0,0,0
great,8,0,2,0,0,0,0,0,0,0
armchair,0,0,0,0,0,2,0,0,0,0
half,0,0,3,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,0,16,0
asleep,4,0,0,0,0,0,0,0,0,0
play,0,0,0,0,0,0,0,0,6,0
grand,3,0,1,0,0,0,0,0,0,0
game,0,0,0,0,0,4,0,0,0,0
ball,0,0,0,0,0,2,0,0,0,0
wool,0,0,0,0,0,4,0,0,0,0
soon,0,0,11,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,6,0
terrible,3,0,0,0,0,0,0,0,0,0
tangle,0,0,0,0,0,1,0,0,0,0
carpet,0,0,0,0,0,2,0,0,0,0
run,0,0,0,0,0,0,0,0,26,0
tail,0,0,0,0,0,1,0,0,0,0
middle,1,0,0,0,0,3,0,0,0,0
bad,1,0,0,0,0,0,0,0,0,0
little,30,0,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,0,0,0,31,0
see,0,0,0,0,0,0,0,0,21,0
pick,0,0,0,0,0,0,0,0,6,0
climb,0,0,0,0,0,0,0,0,5,0
know,0,0,0,0,0,0,0,0,40,0
long,17,0,6,0,0,0,0,0,0,0
roll,0,0,0,0,0,0,0,0,1,0
chess,0,0,0,0,0,3,0,0,0,0
instead,0,0,3,0,0,0,0,0,0,0
ago,0,0,3,0,0,0,0,0,0,0
watch,0,0,0,0,0,0,0,0,10,0
fact,0,0,0,0,0,1,0,0,0,0
look,0,0,0,0,0,1,0,0,65,0
like,0,19,0,0,0,0,0,0,23,0
chessman,0,0,0,0,0,5,0,0,0,0
table,0,0,0,0,0,17,0,0,0,0
hold,0,0,0,0,0,4,0,0,7,0
try,0,0,0,0,0,0,0,0,20,0
escape,0,0,0,0,0,0,0,0,2,0
punish,0,0,0,0,0,0,0,0,1,0
lift,0,0,0,0,0,0,0,0,3,0
looking,1,0,0,0,0,5,0,0,0,0
glass,0,0,0,0,0,20,0,0,0,0
fireplace,0,0,0,0,0,6,0,0,0,0
good,7,0,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,223,0
house,0,0,0,0,0,7,0,0,0,0
wonder,0,0,0,0,0,0,0,0,7,0
go,0,0,0,0,0,0,0,0,49,0
room,0,0,0,0,0,7,0,0,0,0
book,0,0,0,0,0,4,0,0,0,0
word,0,0,0,0,0,19,0,0,0,0
wrong,4,0,2,0,0,0,0,0,0,0
way,0,0,0,0,0,27,0,0,0,0
rest,0,0,0,0,0,3,0,0,2,0
different,7,0,0,0,0,0,0,0,0,0
interesting,2,0,0,0,0,0,0,0,0,0
wish,0,0,0,0,0,0,0,0,9,0
let,0,0,0,0,0,0,0,0,8,0
pretend,0,0,0,0,0,0,0,0,4,0
soft,4,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,9,0
turn,0,0,0,0,0,0,0,0,18,0
kind,2,0,0,0,0,6,0,0,0,0
cloud,0,0,0,0,0,3,0,0,0,0
happen,0,0,0,0,0,0,0,0,12,0
speak,0,0,0,0,0,0,0,0,25,0
find,0,0,0,0,0,0,0,0,13,0
disappear,0,0,0,0,0,0,0,0,7,0
bright,1,0,0,0,0,0,0,0,0,0
silvery,1,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,23,0,0,0,0
jump,0,0,0,0,0,0,0,0,12,0
notice,0,0,0,0,0,0,0,0,5,0
picture,0,0,0,0,0,1,0,0,0,0
wall,0,0,0,0,0,5,0,0,0,0
alive,4,0,0,0,0,0,0,0,0,0
clock,0,0,0,0,0,1,0,0,0,0
man,0,0,0,0,0,7,0,0,0,0
smile,0,0,0,0,0,2,0,0,6,0
tidy,1,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,52,0
floor,0,0,0,0,0,4,0,0,0,0
surprise,0,0,0,0,0,10,0,0,1,0
walk,0,0,0,0,0,1,0,0,23,0
arm,0,0,0,0,0,6,0,0,0,0
whisper,0,0,0,0,0,4,0,0,6,0
order,0,0,0,0,0,4,0,0,1,0
frighten,0,0,0,0,0,0,0,0,1,0
read,0,0,0,0,0,0,0,0,5,0
newspaper,0,0,0,0,0,1,0,0,0,0
hear,0,0,0,0,0,0,0,0,13,0
noise,0,0,0,0,0,8,0,0,0,0
fall,0,0,0,0,0,1,0,0,21,0
interest,0,0,0,0,0,5,0,0,0,0
voice,0,0,0,0,0,18,0,0,0,0
child,0,0,0,0,0,8,0,0,0,0
dear,3,0,0,0,0,5,0,0,0,0
sweet,1,0,0,0,0,0,0,0,0,0
wildly,0,0,3,0,0,0,0,0,0,0
leg,0,0,0,0,0,3,0,0,0,0
poor,3,0,0,0,0,0,0,0,0,0
scream,0,0,0,0,0,2,0,0,4,0
loudly,0,0,6,0,0,0,0,0,0,0
helpful,1,0,0,0,0,0,0,0,0,0
noisy,3,0,0,0,0,0,0,0,0,0
daughter,0,0,0,0,0,1,0,0,0,0
queen,0,0,0,0,0,32,0,0,0,0
mouth,0,0,0,0,0,4,0,0,0,0
open,5,0,1,0,0,0,0,0,4,0
minute,0,0,0,0,0,10,0,0,0,0
call,0,0,0,0,0,0,0,0,5,0
careful,2,0,0,0,0,0,0,0,0,0
storm,0,0,0,0,0,3,0,0,0,0
round,3,10,17,0,0,0,0,0,0,0
worriedly,0,0,3,0,0,0,0,0,0,0
wind,0,0,0,0,0,4,0,0,0,0
blow,0,0,0,0,0,0,0,0,3,0
second,0,0,0,0,0,1,0,0,0,0
come,0,0,0,0,0,0,0,0,38,0
usual,2,0,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,0,0,8,0
gently,0,0,6,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,4,0
upwards,0,0,1,0,0,0,0,0,0,0
king,0,0,0,0,0,16,0,0,0,0
surprised,8,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,12,0,0,0,0
get,0,0,0,0,0,0,0,0,32,0
large,21,0,0,0,0,0,0,0,0,0
nearly,0,0,2,0,0,0,0,0,0,0
drop,0,0,0,0,0,0,0,0,2,0
laugh,0,0,0,0,0,3,0,0,4,0
immediately,0,0,4,0,0,0,0,0,0,0
flat,1,0,0,0,0,0,0,0,0,0
frightened,7,0,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,15,0
cold,1,0,0,0,0,0,0,0,0,0
end,0,0,0,0,0,11,0,0,1,0
hair,0,0,0,0,0,5,0,0,0,0
shall,0,0,0,10,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,5,0
write,0,0,0,0,0,0,0,0,8,0
take,0,0,0,0,0,0,0,0,18,0
notebook,0,0,0,0,0,2,0,0,0,0
near,1,4,0,0,0,0,0,0,0,0
page,0,0,0,0,0,1,0,0,0,0
language,0,0,0,0,0,2,0,0,0,0
puzzled,6,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,29,0,0,0,0
suddenly,0,0,13,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,12,0
course,0,0,6,0,0,8,0,0,0,0
right,2,0,4,0,0,0,0,0,0,0
poem,0,0,0,0,0,14,0,0,0,0
twa,0,0,0,0,0,0,0,0,1,0
slithy,1,0,0,0,0,0,0,0,0,0
tove,0,0,0,0,0,1,0,0,0,0
gyre,0,0,0,0,0,0,0,0,1,0
gimble,0,0,0,0,0,0,0,0,1,0
wabe,0,0,0,0,0,1,0,0,0,0
borogove,0,0,0,0,0,1,0,0,0,0
mome,0,0,0,0,0,1,0,0,0,0
rath,0,0,0,0,0,1,0,0,0,0
outgrabe,0,0,0,0,0,0,0,0,1,0
pretty,2,0,0,0,0,0,0,0,0,0
hard,4,0,7,0,0,0,0,0,0,0
actually,0,0,1,0,0,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,4,0
head,0,0,0,0,0,15,0,0,0,0
idea,0,0,0,0,0,6,0,0,0,0
hurry,0,0,0,0,0,0,0,0,2,0
garden,0,0,0,0,0,8,0,0,0,0
stair,0,0,0,0,0,2,0,0,0,0
air,0,0,0,0,0,6,0,0,0,0
foot,0,0,0,0,0,6,0,0,0,0
touch,0,0,0,0,0,0,0,0,3,0
manage,0,0,0,0,0,0,0,0,4,0
catch,0,0,0,0,0,0,0,0,6,0
door,0,0,0,0,0,4,0,0,0,0
post,0,0,0,0,0,1,0,0,0,0
pleased,5,0,0,0,0,0,0,0,0,0
natural,3,0,0,0,0,0,0,0,0,0
small,6,0,0,0,0,0,0,0,0,0
hill,0,0,0,0,0,12,0,0,0,0
far,0,0,2,0,0,0,0,0,0,0
away,0,1,14,0,0,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,7,0
able,2,0,0,0,0,0,0,0,0,0
well,6,0,5,0,0,0,0,0,0,0
