word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
forget,0,0,0,0,0,0,0,0,0,2
vow,0,0,0,0,0,0,1,0,0,0
day,0,0,0,0,0,0,42,0,0,0
commit,0,0,0,0,0,0,0,0,0,1
completely,0,0,2,0,0,0,0,0,0,0
certain,14,0,0,0,0,0,0,0,0,0
regret,0,0,0,0,0,0,0,0,0,1
choice,0,0,0,0,0,0,6,0,0,0
later,0,0,6,0,0,0,0,0,0,0
sky,0,0,0,0,0,0,3,0,0,0
darken,0,0,0,0,0,0,0,0,0,1
hard,4,0,4,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,9,0,0,1
gather,0,0,0,0,0,0,0,0,0,4
deck,0,0,0,0,0,0,1,0,0,0
snug,1,0,0,0,0,0,0,0,0,0
ride,0,0,0,0,0,0,0,0,0,5
rough,4,0,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,18
answer,0,0,0,0,0,0,1,0,0,4
roll,0,0,0,0,0,0,1,0,0,1
retire,0,0,0,0,0,0,0,0,0,2
sure,2,0,0,0,0,0,0,0,0,0
clear,9,0,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,12
master,0,0,0,0,0,0,9,0,0,0
pass,0,0,0,0,0,0,0,0,0,12
door,0,0,0,0,0,0,5,0,0,0
mercy,0,0,0,0,0,0,1,0,0,0
lose,0,0,0,0,0,0,0,0,0,6
begging,0,0,0,0,0,0,1,0,0,0
get,0,0,0,0,0,0,0,0,0,3
stumble,0,0,0,0,0,0,0,0,0,1
rise,0,0,0,0,0,0,0,0,0,7
break,0,0,0,0,0,0,1,0,0,6
minute,0,0,0,0,0,0,1,0,0,0
cut,0,0,0,0,0,0,0,0,0,18
mast,0,0,0,0,0,0,2,0,0,0
push,0,0,0,0,0,0,0,0,0,9
voice,0,0,0,0,0,0,7,0,0,0
pump,0,0,0,0,0,0,2,0,0,0
spring,0,0,0,0,0,0,1,0,0,1
leak,0,0,0,0,0,0,1,0,0,0
fear,0,0,0,0,0,0,16,0,0,4
clumsy,1,0,0,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,4
rest,0,0,0,0,0,0,6,0,0,3
man,0,0,0,0,0,0,99,0,0,0
join,0,0,0,0,0,0,0,0,0,6
strength,0,0,0,0,0,0,2,0,0,0
theirs,0,0,0,0,0,0,0,0,1,0
suddenly,0,0,8,0,0,0,0,0,0,0
boom,0,0,0,0,0,0,3,0,0,0
rock,0,0,0,0,0,0,14,0,0,2
know,0,0,0,0,0,0,0,0,0,12
collapse,0,0,0,0,0,0,0,0,0,2
heap,0,0,0,0,0,0,1,0,0,0
floor,0,0,0,0,0,0,1,0,0,0
step,0,0,0,0,0,0,3,0,0,2
calmly,0,0,1,0,0,0,0,0,0,0
body,0,0,0,0,0,0,6,0,0,0
take,0,0,0,0,0,0,0,0,0,31
place,0,0,0,0,0,0,10,0,0,2
ring,0,0,0,0,0,0,0,0,0,1
scream,0,0,0,0,0,0,0,0,0,1
gun,0,0,0,0,0,0,29,0,0,0
call,0,0,0,0,0,0,0,0,0,17
captain,0,0,0,0,0,0,47,0,0,0
signal,0,0,0,0,0,0,2,0,0,3
help,0,0,0,0,0,0,3,0,0,14
shot,0,0,0,0,0,0,5,0,0,0
distress,0,0,0,0,0,0,1,0,0,0
light,1,0,0,0,0,0,2,0,0,0
craft,0,0,0,0,0,0,5,0,0,0
risk,0,0,0,0,0,0,0,0,0,1
dangerous,5,0,0,0,0,0,0,0,0,0
crew,0,0,0,0,0,0,7,0,0,0
safely,0,0,4,0,0,0,0,0,0,0
port,0,0,0,0,0,0,1,0,0,0
barely,0,0,3,0,0,0,0,0,0,0
watch,0,0,0,0,0,0,1,0,0,10
sink,0,0,0,0,0,0,0,0,0,1
row,0,0,0,0,0,0,1,0,0,3
shore,0,0,0,0,0,0,43,0,0,0
imagine,0,0,0,0,0,0,0,0,0,4
rush,0,0,0,0,0,0,2,0,0,11
moment,0,0,0,0,0,0,9,0,0,0
foot,0,0,0,0,0,0,14,0,0,0
touch,0,0,0,0,0,0,0,0,0,4
picture,0,0,0,0,0,0,0,0,0,1
knowing,1,0,0,0,0,0,0,0,0,0
nod,0,0,0,0,0,0,1,0,0,3
butt,0,0,0,0,0,0,4,0,0,0
joke,0,0,0,0,0,0,1,0,0,0
decision,0,0,0,0,0,0,1,0,0,0
return,0,0,0,0,0,0,2,0,0,20
seal,0,0,0,0,0,0,0,0,0,1
introduce,0,0,0,0,0,0,0,0,0,1
share,0,0,0,0,0,0,0,0,0,4
story,0,0,0,0,0,0,2,0,0,0
young,14,0,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,35
ought,0,0,0,1,0,0,0,0,0,0
anymore,0,0,1,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,0,0,8
seafaring,1,0,0,0,0,0,0,0,0,0
sound,0,0,0,0,0,0,10,0,0,2
entirely,0,0,2,0,0,0,0,0,0,0
liking,0,0,0,0,0,0,2,0,0,0
feel,0,0,0,0,0,0,0,0,0,12
backbone,0,0,0,0,0,0,1,0,0,0
stiffen,0,0,0,0,0,0,0,0,0,1
chin,0,0,0,0,0,0,1,0,0,0
see,0,0,0,0,0,0,0,0,0,26
token,0,0,0,0,0,0,1,0,0,0
quit,0,0,0,0,0,0,0,0,0,1
