word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB
look,0,0,0,0,0,2,0,0,0,91
glass,0,0,0,0,0,1,0,0,0,0
perch,0,0,0,0,0,0,0,0,0,1
end,0,0,0,0,0,2,0,0,0,2
nose,0,0,0,0,0,1,0,0,0,0
educate,0,0,0,0,0,0,0,0,0,2
set,0,0,0,0,0,0,0,0,0,10
pull,0,0,0,0,0,0,0,0,0,10
spelling,0,0,0,0,0,2,0,0,0,0
work,0,0,0,0,0,2,0,0,0,8
hard,1,0,4,0,0,0,0,0,0,0
hour,0,0,0,0,0,5,0,0,0,0
rescue,0,0,0,0,0,1,0,0,0,1
lesson,0,0,0,0,0,1,0,0,0,0
today,0,0,0,0,0,1,0,0,0,0
deadly,0,0,1,0,0,0,0,0,0,0
dull,1,0,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,0,0,0,7
fidget,0,0,0,0,0,0,0,0,0,1
foot,0,0,0,0,0,11,0,0,0,0
scrunch,0,0,0,0,0,0,0,0,0,1
straight,1,0,5,0,0,0,0,0,0,0
behave,0,0,0,0,0,0,0,0,0,2
mind,0,0,0,0,0,2,0,0,0,2
place,0,0,0,0,0,8,0,0,0,3
okay,1,0,0,0,0,0,0,0,0,0
powerful,6,0,0,0,0,0,0,0,0,0
bored,1,0,0,0,0,0,0,0,0,0
use,0,0,0,0,0,3,0,0,0,2
change,0,0,0,0,0,1,0,0,0,0
wicked,1,0,0,0,0,0,0,0,0,0
everybody,0,0,0,0,0,0,0,7,0,0
bed,0,0,0,0,0,11,0,0,0,0
spell,0,0,0,0,0,2,0,0,0,1
star,0,0,0,0,0,3,0,0,0,0
shine,0,0,0,0,0,0,0,0,0,1
leave,0,0,0,0,0,2,0,0,0,17
rustle,0,0,0,0,0,0,0,0,0,3
wood,0,0,0,0,0,10,0,0,0,0
owl,0,0,0,0,0,2,0,0,0,0
whooe,0,0,0,0,0,0,0,0,0,1
tree,0,0,0,0,0,14,0,0,0,0
cold,5,0,0,0,0,0,0,0,0,0
shiver,0,0,0,0,0,1,0,0,0,0
ghost,0,0,0,0,0,4,0,0,0,0
make,0,0,0,0,0,0,0,0,0,5
rest,0,0,0,0,0,2,0,0,0,4
easy,6,0,1,0,0,0,0,0,0,0
grave,1,0,0,0,0,1,0,0,0,0
plumb,0,0,2,0,0,0,0,0,0,0
scared,4,0,0,0,0,0,0,0,0,0
wish,0,0,0,0,0,0,0,0,0,4
company,0,0,0,0,0,1,0,0,0,0
shake,0,0,0,0,0,0,0,0,0,10
town,0,0,0,0,0,17,0,0,0,0
clock,0,0,0,0,0,1,0,0,0,0
boom,0,0,0,0,0,3,0,0,0,0
wind,0,0,0,0,0,2,0,0,0,1
stop,0,0,0,0,0,0,0,0,0,7
blow,0,0,0,0,0,0,0,0,0,1
cricket,0,0,0,0,0,1,0,0,0,0
chirp,0,0,0,0,0,0,0,0,0,1
twig,0,0,0,0,0,3,0,0,0,0
snap,0,0,0,0,0,0,0,0,0,1
dark,7,0,0,0,0,1,0,0,0,0
stir,0,0,0,0,0,0,0,0,0,3
sit,0,0,0,0,0,0,0,0,0,17
real,6,0,8,0,0,0,0,0,0,0
listen,0,0,0,0,0,0,0,0,0,5
yow,0,0,0,0,3,0,0,0,0,0
meyow,0,0,0,0,1,0,0,0,0,0
soft,2,0,0,0,0,0,0,0,0,0
shed,0,0,0,0,0,3,0,0,0,0
sure,10,0,4,0,1,0,0,0,0,0
suspect,0,0,0,0,0,0,0,0,0,1
tiptoe,0,0,0,0,0,0,0,0,0,3
path,0,0,0,0,0,3,0,0,0,0
