word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
circle,0,0,0,0,0,3,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,6,0
eager,1,0,0,0,0,0,0,0,0,0,0
anxious,2,0,0,0,0,0,0,0,0,0,0
title,0,0,0,0,0,1,0,0,0,0,0
contest,0,0,0,0,0,1,0,0,0,0,0
face,0,0,0,0,0,29,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,0,2,0
reddish,1,0,0,0,0,0,0,0,0,0,0
wide,4,0,0,0,0,0,0,0,0,0,0
gape,0,0,0,0,0,0,0,0,0,1,0
mouth,0,0,0,0,0,6,0,0,0,0,0
broad,1,0,0,0,0,0,0,0,0,0,0
forehead,0,0,0,0,0,2,0,0,0,0,0
pucker,0,0,0,0,0,0,0,0,0,1,0
wrinkle,0,0,0,0,0,3,0,0,0,0,0
roar,0,0,0,0,0,1,0,0,0,2,0
laughter,0,0,0,0,0,4,0,0,0,0,0
rise,0,0,0,0,0,0,0,0,0,6,0
spectator,0,0,0,0,0,7,0,0,0,0,0
pop,0,0,0,0,0,0,0,0,0,1,0
howl,0,0,0,0,0,1,0,0,0,0,0
resound,0,0,0,0,0,0,0,0,0,1,0
hideous,3,0,0,0,0,0,0,0,0,0,0
peek,0,0,0,0,0,0,0,0,0,4,0
shape,0,0,0,0,0,2,0,0,0,2,0
like,0,21,0,0,0,0,0,0,0,7,0
horseshoe,0,0,0,0,0,1,0,0,0,0,0
huge,4,0,0,0,0,0,0,0,0,0,0
triangular,1,0,0,0,0,0,0,0,0,0,0
nose,0,0,0,0,0,3,0,0,0,0,0
jagged,1,0,0,0,0,0,0,0,0,0,0
tooth,0,0,0,0,0,8,0,0,0,0,0
stick,0,0,0,0,0,1,0,0,0,1,0
direction,0,0,0,0,0,3,0,0,0,0,0
large,9,0,0,0,0,0,0,0,0,0,0
stubbly,1,0,0,0,0,0,0,0,0,0,0
eyebrow,0,0,0,0,0,1,0,0,0,0,0
shelter,0,0,0,0,0,1,0,0,0,1,0
left,2,0,0,0,0,0,0,0,0,0,0
right,2,0,2,0,0,0,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,8,0
knotty,1,0,0,0,0,0,0,0,0,0,0
wart,0,0,0,0,0,2,0,0,0,0,0
triumph,0,0,0,0,0,1,0,0,0,0,0
winner,0,0,0,0,0,1,0,0,0,0,0
new,2,0,0,0,0,0,0,0,0,0,0
storm,0,0,0,0,0,0,0,0,0,3,0
carry,0,0,0,0,0,0,0,0,0,9,0
gasp,0,0,0,0,0,0,0,0,0,4,0
look,0,0,0,0,0,5,0,0,0,46,0
gigantic,1,0,0,0,0,0,0,0,0,0,0
red,7,0,0,0,0,1,0,0,0,0,0
bristle,0,0,0,0,0,1,0,0,0,0,0
shoulder,0,0,0,0,0,8,0,0,0,0,0
enormous,1,0,0,0,0,0,0,0,0,0,0
hump,0,0,0,0,0,3,0,0,0,0,0
foot,0,0,0,0,0,9,0,0,0,0,0
massive,4,0,0,0,0,0,0,0,0,0,0
monstrous,1,0,0,0,0,0,0,0,0,0,0
giant,0,0,0,0,0,1,0,0,0,0,0
shatter,0,0,0,0,0,0,0,0,0,2,0
piece,0,0,0,0,0,6,0,0,0,0,0
recognize,0,0,0,0,0,0,0,0,0,8,0
instantly,0,0,1,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,3,0,0,0,24,0
ringer,0,0,0,0,0,6,0,0,0,0,0
hunchback,0,0,0,0,0,22,0,0,0,0,0
student,0,0,0,0,0,2,0,0,0,0,0
tease,0,0,0,0,0,0,0,0,0,1,0
woman,0,0,0,0,0,43,0,0,0,0,0
yell,0,0,0,0,0,0,0,0,0,5,0
insult,0,0,0,0,0,1,0,0,0,1,0
ape,0,0,0,0,0,2,0,0,0,0,0
ugly,4,0,0,0,0,0,0,0,0,0,0
devil,0,0,0,0,0,3,0,0,0,0,0
gloomy,1,0,0,0,0,0,0,0,0,0,0
grave,1,0,0,0,0,0,0,0,0,0,0
laugh,0,0,0,0,0,0,0,0,0,10,0
understand,0,0,0,0,0,0,0,0,0,6,0
lift,0,0,0,0,0,0,0,0,0,8,0
