word,ADJ,ADP,ADV,INTJ,NOUN,NUM,PRON,VERB
fall,0,0,0,0,0,0,0,3
body,0,0,0,0,2,0,0,0
hit,0,0,0,0,0,0,0,5
road,0,0,0,0,4,0,0,0
help,0,0,0,0,0,0,0,9
young,1,0,0,0,0,0,0,0
carefully,0,0,2,0,0,0,0,0
let,0,0,0,0,0,0,0,4
son,0,0,0,0,5,0,0,0
alive,2,0,0,0,0,0,0,0
foot,0,0,0,0,1,0,0,0
curse,0,0,0,0,0,0,0,11
sorry,5,0,0,0,0,0,0,0
away,0,0,6,0,0,0,0,0
important,5,0,0,0,0,0,0,0
seven,0,0,0,0,0,1,0,0
thirtieth,1,0,0,0,0,0,0,0
difficult,3,0,0,0,0,0,0,0
garden,0,0,0,0,1,0,0,0
servant,0,0,0,0,8,0,0,0
black,3,0,0,0,0,0,0,0
expensive,3,0,0,0,0,0,0,0
wonderful,1,0,0,0,0,0,0,0
hot,5,0,0,0,0,0,0,0
dress,0,0,0,0,4,0,0,0
ago,0,0,4,0,0,0,0,0
voice,0,0,0,0,3,0,0,0
slow,1,0,0,0,0,0,0,0
careful,2,0,0,0,0,0,0,0
friend,0,0,0,0,13,0,0,0
find,0,0,0,0,0,0,0,7
month,0,0,0,0,1,0,0,0
course,0,0,0,0,1,0,0,0
thirteen,0,0,0,0,0,1,0,0
nearly,0,0,3,0,0,0,0,0
food,0,0,0,0,10,0,0,0
later,0,0,5,0,0,0,0,0
loudly,0,0,1,0,0,0,0,0
quiet,4,0,0,0,0,0,0,0
coldly,0,0,1,0,0,0,0,0
need,0,0,0,0,0,0,0,2
care,0,0,0,0,6,0,0,0
kind,5,0,0,0,0,0,0,0
second,1,0,0,0,0,0,0,0
far,0,0,1,0,0,0,0,0
easily,0,0,1,0,0,0,0,0
eighty,0,0,0,0,0,1,0,0
cat,0,0,0,0,3,0,0,0
listen,0,0,0,0,0,0,0,5
kill,0,0,0,0,0,0,0,21
clay,0,0,0,0,9,0,0,0
picture,0,0,0,0,8,0,0,0
break,0,0,0,0,0,0,0,5
granddaughter,0,0,0,0,1,0,0,0
arm,0,0,0,0,1,0,0,0
horse,0,0,0,0,8,0,0,0
pull,0,0,0,0,0,0,0,6
hour,0,0,0,0,4,0,0,0
morning,0,0,0,0,1,0,0,0
sheep,0,0,0,0,3,0,0,0
happily,0,0,1,0,0,0,0,0
get,0,0,0,0,0,0,0,8
tenth,1,0,0,0,0,0,0,0
drink,0,0,0,0,4,0,0,2
cook,0,0,0,0,0,0,0,2
visitor,0,0,0,0,1,0,0,0
drank,0,0,0,0,0,0,0,1
bottle,0,0,0,0,2,0,0,0
hate,0,0,0,0,1,0,0,9
leave,0,0,0,0,0,0,0,2
afternoon,0,0,0,0,1,0,0,0
noise,0,0,0,0,4,0,0,0
ear,0,0,0,0,1,0,0,0
hear,0,0,0,0,0,0,0,3
lift,0,0,0,0,0,0,0,2
soon,0,0,1,0,0,0,0,0
milk,0,0,0,0,1,0,0,0
finish,0,0,0,0,0,0,0,3
book,0,0,0,0,1,0,0,0
kindly,0,0,1,0,0,0,0,0
night,0,0,0,0,1,0,0,0
ground,0,0,0,0,1,0,0,0
end,0,0,0,0,1,0,0,0
daughter,0,0,0,0,6,0,0,0
matter,0,0,0,0,0,0,0,1
right,1,0,0,0,0,0,0,0
different,3,0,0,0,0,0,0,0
husband,0,0,0,0,1,0,0,0
learn,0,0,0,0,0,0,0,2
