word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
rich,9,0,0,0,0,0,0,0,0
playground,0,0,0,0,1,0,0,0,0
regular,3,0,0,0,0,0,0,0,0
chalked,1,0,0,0,0,0,0,0,0
line,0,0,0,0,41,0,0,0,0
hopscotch,0,0,0,0,1,0,0,0,0
interesting,1,0,0,0,0,0,0,0,0
free,6,0,0,0,0,0,0,0,0
irregular,3,0,0,0,0,0,0,0,0
pavement,0,0,0,0,1,0,0,0,0
observer,0,0,0,0,4,0,0,0,0
get,0,0,0,0,0,0,0,1,0
hint,0,0,0,0,1,0,0,1,0
force,0,0,0,0,8,0,0,0,0
especially,0,0,14,0,0,0,0,0,0
nature,0,0,0,0,22,0,0,0,0
paving,0,0,0,0,1,0,0,0,0
bubble,0,0,0,0,0,0,0,1,0
erode,0,0,0,0,0,0,0,2,0
action,0,0,0,0,8,0,0,0,0
sun,0,0,0,0,4,0,0,0,0
rain,0,0,0,0,2,0,0,0,0
frost,0,0,0,0,1,0,0,0,0
show,0,0,0,0,1,0,0,22,0
commonplace,1,0,0,0,0,0,0,0,0
beauty,0,0,0,0,6,0,0,0,0
geometric,2,0,0,0,0,0,0,0,0
create,0,0,0,0,0,0,0,72,0
interest,0,0,0,0,13,0,0,0,0
attempt,0,0,0,0,3,0,0,4,0
imitate,0,0,0,0,0,0,0,3,0
natural,21,0,0,0,0,0,0,0,0
sound,0,0,0,0,6,0,0,1,0
reason,0,0,0,0,4,0,0,0,0
white,36,0,0,0,16,0,0,1,0
example,0,0,0,0,69,0,0,0,0
nonobjective,4,0,0,0,0,0,0,0,0
construct,0,0,0,0,0,0,0,2,0
entirely,0,0,5,0,0,0,0,0,0
rectangle,0,0,0,0,3,0,0,0,0
size,0,0,0,0,20,0,0,2,0
appear,0,0,0,0,0,0,0,37,0
study,0,0,0,0,17,0,0,11,0
pattern,0,0,0,0,35,0,0,0,0
like,4,13,0,0,0,0,0,0,0
rhythm,0,0,0,0,2,0,0,0,0
harmony,0,0,0,0,9,0,0,0,0
briefly,0,0,2,0,0,0,0,0,0
say,0,0,0,0,0,0,0,6,0
truth,0,0,0,0,2,0,0,0,0
order,0,0,0,0,17,0,0,0,0
hope,0,0,0,0,2,0,0,0,0
ideal,5,0,0,0,2,0,0,0,0
passion,0,0,0,0,3,0,0,0,0
value,0,0,0,0,12,0,0,1,0
creator,0,0,0,0,1,0,0,0,0
discovery,0,0,0,0,5,0,0,0,0
nobility,0,0,0,0,2,0,0,0,0
humankind,0,0,0,0,2,0,0,0,0
enable,0,0,0,0,0,0,0,10,0
understand,0,0,0,0,0,0,0,8,0
generally,0,0,35,0,0,0,0,0,0
result,0,0,0,0,11,0,0,13,0
product,0,0,0,0,4,0,0,0,0
primary,15,0,0,0,10,0,0,0,0
aim,0,0,0,0,5,0,0,3,0
beautiful,4,0,0,0,0,0,0,0,0
early,64,0,4,0,0,0,0,0,0
century,0,0,0,0,144,0,0,0,0
group,0,0,0,0,18,0,0,2,0
call,0,0,0,0,0,0,0,36,0
begin,0,0,0,0,0,0,0,25,0
unglamorous,1,0,0,0,0,0,0,0,0
industrial,3,0,0,0,0,0,0,0,0
railroad,0,0,0,0,1,0,0,0,0
track,0,0,0,0,1,0,0,0,0
factory,0,0,0,0,2,0,0,0,0
prominent,5,0,0,0,0,0,0,0,0
member,0,0,0,0,10,0,0,0,0
time,0,0,0,0,51,0,0,0,0
city,0,0,0,0,6,0,0,0,0
consider,0,0,0,0,0,0,0,13,0
ugly,1,0,0,0,0,0,0,0,0
offensive,1,0,0,0,0,0,0,0,0
pioneer,0,0,0,0,1,0,0,0,0
today,0,0,0,0,6,0,0,0,0
commonly,0,0,8,0,0,0,0,0,0
accept,0,0,0,0,0,0,0,5,0
pleasure,0,0,0,0,4,0,0,0,0
perceptive,1,0,0,0,0,0,0,0,0
sensitive,3,0,0,0,0,0,0,0,0
new,25,0,0,0,0,0,0,0,0
area,0,0,0,0,26,0,0,0,0
enjoyment,0,0,0,0,1,0,0,0,0
intensify,0,0,0,0,0,0,0,3,0
individual,9,0,0,0,2,0,0,0,0
find,0,0,0,0,0,0,0,22,0
relationship,0,0,0,0,23,0,0,0,0
thing,0,0,0,0,18,0,0,0,0
overlook,0,0,0,0,0,0,0,1,0
ignore,0,0,0,0,0,0,0,2,0
encompass,0,0,0,0,0,0,0,1,0
alive,2,0,0,0,0,0,0,0,0
exciting,3,0,0,0,0,0,0,0,0
select,0,0,0,0,0,0,0,5,0
depend,0,0,0,0,0,0,0,10,0
largely,0,0,9,0,0,0,0,0,0
person,0,0,0,0,3,0,0,0,0
live,0,0,0,0,0,0,0,10,0
probably,0,0,11,0,0,0,0,0,0
pick,0,0,0,0,0,0,0,1,0
religious,17,0,0,0,0,0,0,0,0
topic,0,0,0,0,1,0,0,0,0
portrait,0,0,0,0,72,0,0,0,0
family,0,0,0,0,8,0,0,0,0
dish,0,0,0,0,2,0,0,0,0
fruit,0,0,0,0,4,0,0,0,0
flower,0,0,0,0,9,0,0,0,0
present,4,0,0,0,1,0,0,5,0
portraiture,0,0,0,0,8,0,0,0,0
prevalent,3,0,0,0,0,0,0,0,0
available,10,0,0,0,0,0,0,0,0
airplane,0,0,0,0,1,0,0,0,0
inspire,0,0,0,0,0,0,0,5,0
problem,0,0,0,0,13,0,0,0,0
increase,0,0,0,0,0,0,0,7,0
machine,0,0,0,0,3,0,0,0,0
lead,0,0,0,0,3,0,0,18,0
mechanical,5,0,0,0,0,0,0,0,0
seek,0,0,0,0,0,0,0,9,0
basis,0,0,0,0,4,0,0,0,0
rapidly,0,0,7,0,0,0,0,0,0
change,0,0,0,0,16,0,0,10,0
particular,20,0,0,0,0,0,0,0,0
modern,52,0,0,0,0,0,0,0,0
concern,0,0,0,0,3,0,0,6,0
inner,4,0,0,0,0,0,0,0,0
thought,0,0,0,0,1,0,0,0,0
dream,0,0,0,0,1,0,0,0,0
draw,0,0,0,0,0,0,0,15,0
outer,1,0,0,0,0,0,0,0,0
reality,0,0,0,0,4,0,0,0,0
strange,1,0,0,0,0,0,0,0,0
difficult,1,0,0,0,0,0,0,0,0
intention,0,0,0,0,5,0,0,0,0
have,0,0,0,0,0,0,0,10,0
face,0,0,0,0,6,0,0,3,0
idea,0,0,0,0,16,0,0,0,0
communicate,0,0,0,0,0,0,0,4,0
well,0,0,11,0,0,0,0,0,0
realistic,2,0,0,0,0,0,0,0,0
bright,6,0,0,0,0,0,0,0,0
dull,2,0,0,0,0,0,0,0,0
effect,0,0,0,0,50,0,0,1,0
restful,1,0,0,0,0,0,0,0,0
answer,0,0,0,0,2,0,0,0,0
good,8,0,0,0,1,0,0,0,0
grow,0,0,0,0,0,0,0,2,0
develop,0,0,0,0,0,0,0,21,0
intent,0,0,0,0,3,0,0,0,0
tone,0,0,0,0,30,0,0,0,0
element,0,0,0,0,20,0,0,0,0
dimensional,10,0,0,0,0,0,0,0,0
language,0,0,0,0,5,0,0,0,0
way,0,0,0,0,16,0,0,0,0
produce,0,0,0,0,0,0,0,67,0
sensation,0,0,0,0,14,0,0,0,0
volume,0,0,0,0,13,0,0,0,0
movement,0,0,0,0,40,0,0,0,0
combine,0,0,0,0,0,0,0,22,0
expressive,17,0,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,38,0
real,7,0,0,0,0,0,0,0,0
supernatural,1,0,0,0,0,0,0,0,0
phenomenon,0,0,0,0,5,0,0,0,0
interpret,0,0,0,0,0,0,0,2,0
narrative,9,0,0,0,25,0,0,0,0
theme,0,0,0,0,12,0,0,0,0
wholly,0,0,1,0,0,0,0,0,0
decision,0,0,0,0,2,0,0,0,0
medium,0,0,0,0,70,0,0,0,0
tempera,4,0,0,0,33,0,0,0,1
fresco,0,0,0,0,36,0,0,0,8
acrylic,3,0,0,0,12,0,0,0,0
watercolour,0,0,0,0,30,0,0,0,0
water,0,0,0,0,30,0,0,0,0
base,0,0,0,0,4,0,0,15,0
ink,0,0,0,0,18,0,0,0,0
gouache,0,0,0,0,11,0,0,0,0
encaustic,6,0,0,0,3,0,0,0,0
casein,0,0,0,0,10,0,0,0,0
choice,0,0,0,0,6,0,0,0,0
mural,3,0,0,0,55,0,0,0,0
easel,0,0,0,0,20,0,0,0,0
panel,0,0,0,0,42,0,0,0,0
miniature,2,0,0,0,22,0,0,0,0
manuscript,0,0,0,0,14,0,0,0,0
illumination,0,0,0,0,7,0,0,0,0
scroll,0,0,0,0,29,0,0,1,0
screen,0,0,0,0,22,0,0,0,0
fan,0,0,0,0,10,0,0,0,0
panorama,0,0,0,0,3,0,0,0,0
