word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,VERB
answer,0,0,0,0,0,5,0,0,0
boy,0,0,0,0,0,37,0,0,0
find,0,0,0,0,0,0,0,0,19
go,0,0,0,0,0,0,0,0,58
look,0,0,0,0,0,0,0,0,39
bed,0,0,0,0,0,8,0,0,0
open,4,0,0,0,0,0,0,0,9
door,0,0,0,0,0,5,0,0,0
garden,0,0,0,0,0,2,0,0,0
hear,0,0,0,0,0,0,0,0,14
small,10,0,0,0,0,0,0,0,0
run,0,0,0,0,0,0,0,0,15
past,0,1,1,0,0,0,0,0,0
hand,0,0,0,0,0,19,0,0,0
stop,0,0,0,0,0,0,0,0,16
pocket,0,0,0,0,0,2,0,0,0
apple,0,0,0,0,0,10,0,0,0
listen,0,0,0,0,0,0,0,0,14
quick,0,0,1,0,0,0,0,0,0
house,0,0,0,0,0,21,0,0,0
second,4,0,0,0,0,7,0,0,0
laugh,0,0,0,0,0,0,0,0,8
quietly,0,0,4,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,3
love,0,0,0,0,0,1,0,0,3
dead,16,0,0,0,0,0,0,0,0
sister,0,0,0,0,0,1,0,0,0
child,0,0,0,0,0,11,0,0,0
easy,3,0,0,0,0,0,0,0,0
old,20,0,0,0,0,0,0,0,0
lady,0,0,0,0,0,1,0,0,0
tomorrow,0,0,0,0,0,3,0,0,0
school,0,0,0,0,0,8,0,0,0
holiday,0,0,0,0,0,2,0,0,0
work,0,0,0,0,0,5,0,0,3
beautiful,5,0,0,0,0,0,0,0,0
day,0,0,0,0,0,23,0,0,0
summer,0,0,0,0,0,6,0,0,0
sun,0,0,0,0,0,2,0,0,0
hot,8,0,0,0,0,0,0,0,0
flower,0,0,0,0,0,1,0,0,0
everybody,0,0,0,0,0,0,0,9,0
happy,12,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,35
brush,0,0,0,0,0,7,0,0,0
big,13,0,0,0,0,0,0,0,0
pot,0,0,0,0,0,1,0,0,0
white,7,0,0,0,0,1,0,0,0
paint,0,0,0,0,0,3,0,0,8
fence,0,0,0,0,0,9,0,0,0
metre,0,0,0,0,0,3,0,0,0
high,1,0,0,0,0,0,0,0,0
thirty,0,0,0,0,0,0,2,0,0
long,9,0,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,18
hour,0,0,0,0,0,10,0,0,0
unhappy,6,0,0,0,0,0,0,0,0
village,0,0,0,0,0,11,0,0,0
minute,0,0,0,0,0,12,0,0,0
idea,0,0,0,0,0,6,0,0,0
wonderful,7,0,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,21
begin,0,0,0,0,0,0,0,0,21
see,0,0,0,0,0,0,0,0,10
friend,0,0,0,0,0,13,0,0,0
street,0,0,0,0,0,8,0,0,0
sorry,5,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,72
move,0,0,0,0,0,0,0,0,11
aunt,0,0,0,0,0,2,0,0,0
river,0,0,0,0,0,15,0,0,0
course,0,0,3,0,0,2,0,0,0
like,0,1,0,0,0,0,0,0,7
watch,0,0,0,0,0,0,0,0,11
slowly,0,0,4,0,0,0,0,0,0
carefully,0,0,6,0,0,0,0,0,0
smile,0,0,0,0,0,3,0,0,2
interested,2,0,0,0,0,0,0,0,0
little,9,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,12
want,0,0,0,0,0,0,0,0,20
good,9,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,1,0,0,0
painting,0,0,0,0,0,1,0,0,0
hey,0,0,0,0,4,0,0,0,0
give,0,0,0,0,0,0,0,0,5
time,0,0,0,0,0,7,0,0,0
eat,0,0,0,0,0,0,0,0,5
soon,0,0,4,0,0,0,0,0,0
afternoon,0,0,0,0,0,3,0,0,0
ball,0,0,0,0,0,1,0,0,0
knife,0,0,0,0,0,18,0,0,0
cat,0,0,0,0,0,6,0,0,0
eye,0,0,0,0,0,4,0,0,0
blue,2,0,0,0,0,0,0,0,0
bottle,0,0,0,0,0,2,0,0,0
lot,0,0,0,0,0,2,0,0,0
exciting,4,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,4,0,0,0
rich,2,0,0,0,0,0,0,0,0
play,0,0,0,0,0,0,0,0,4
pleased,1,0,0,0,0,0,0,0,0
home,0,0,5,0,0,2,0,0,0
late,3,0,3,0,0,0,0,0,0
quickly,0,0,7,0,0,0,0,0,0
morning,0,0,0,0,0,9,0,0,0
get,0,0,0,0,0,0,0,0,20
near,1,6,4,0,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,3
mother,0,0,0,0,0,8,0,0,0
father,0,0,0,0,0,6,0,0,0
drink,0,0,0,0,0,0,0,0,3
whiskey,0,0,0,0,0,4,0,0,0
live,0,0,0,0,0,0,0,0,5
dirty,2,0,0,0,0,0,0,0,0
new,6,0,0,0,0,0,0,0,0
shirt,0,0,0,0,0,1,0,0,0
hello,0,0,0,0,3,0,0,0,0
ask,0,0,0,0,0,0,0,0,11
graveyard,0,0,0,0,0,11,0,0,0
tonight,0,0,0,0,0,4,0,0,0
midnight,0,0,0,0,0,4,0,0,0
ghost,0,0,0,0,0,10,0,0,0
grave,0,0,0,0,0,9,0,0,0
true,1,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,17
tell,0,0,0,0,0,0,0,0,17
afraid,11,0,0,0,0,0,0,0,0
meow,0,0,0,0,0,1,0,0,1
window,0,0,0,0,0,4,0,0,0
teacher,0,0,0,0,0,6,0,0,0
angrily,0,0,1,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,4
girl,0,0,0,0,0,10,0,0,0
schoolroom,0,0,0,0,0,1,0,0,0
yellow,1,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,3,0,0,0
half,0,0,0,1,0,4,0,0,0
room,0,0,0,0,0,13,0,0,0
chair,0,0,0,0,0,3,0,0,0
talk,0,0,0,0,0,1,0,0,9
angry,2,0,0,0,0,0,0,0,0
bad,6,0,0,0,0,0,0,0,0
stick,0,0,0,0,0,1,0,0,0
later,0,0,7,0,0,0,0,0,0
trouser,0,0,0,0,0,1,0,0,0
arm,0,0,0,0,0,4,0,0,0
tired,7,0,0,0,0,0,0,0,0
walk,0,0,0,0,0,1,0,0,14
book,0,0,0,0,0,1,0,0,0
table,0,0,0,0,0,3,0,0,0
stay,0,0,0,0,0,0,0,0,6
draw,0,0,0,0,0,0,0,0,7
picture,0,0,0,0,0,2,0,0,0
nice,2,0,0,0,0,0,0,0,0
man,0,0,0,0,0,22,0,0,0
tall,1,0,0,0,0,0,0,0,0
leg,0,0,0,0,0,1,0,0,0
beautifully,0,0,1,0,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,1
feel,0,0,0,0,0,0,0,0,4
head,0,0,0,0,0,4,0,0,0
ear,0,0,0,0,0,1,0,0,0
night,0,0,0,0,0,13,0,0,0
wait,0,0,0,0,0,0,0,0,11
climb,0,0,0,0,0,0,0,0,5
bedroom,0,0,0,0,0,1,0,0,0
hill,0,0,0,0,0,6,0,0,0
mile,0,0,0,0,0,6,0,0,0
tree,0,0,0,0,0,14,0,0,0
dark,4,0,0,0,0,3,0,0,0
quiet,4,0,0,0,0,0,0,0,0
whisper,0,0,0,0,0,0,0,0,8
