word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
available,14,0,0,0,0,0,0,0,0,0,0,0
plant,0,0,0,0,0,0,12,0,0,0,1,0
life,0,0,0,0,0,0,78,0,0,0,0,0
consumption,0,0,0,0,0,0,4,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,0,41,0
millennium,0,0,0,0,0,0,47,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,0,0,12,0
location,0,0,0,0,0,0,13,0,0,0,0,0
adopt,0,0,0,0,0,0,0,0,0,0,24,0
agriculture,0,0,0,0,0,0,17,0,0,0,0,0
farmer,0,0,0,0,0,0,8,0,0,0,0,0
cultivate,0,0,0,0,0,0,0,0,0,0,5,0
flax,0,0,0,0,0,0,3,0,0,0,0,0
wheat,0,0,0,0,0,0,4,0,0,0,0,0
barley,0,0,0,0,0,0,3,0,0,0,0,0
area,0,0,0,0,0,0,98,0,0,0,0,0
introduction,0,0,0,0,0,0,4,0,0,0,0,0
late,83,0,0,0,0,0,0,0,0,0,0,0
agricultural,29,0,0,0,0,0,0,0,0,0,0,0
innovation,0,0,0,0,0,0,13,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,72,0
keep,0,0,0,0,0,0,0,0,0,0,5,0
herd,0,0,0,0,0,0,7,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,0,35,0
milk,0,0,0,0,0,0,2,0,0,0,0,0
wool,0,0,0,0,0,0,8,0,0,0,0,0
labour,0,0,0,0,0,0,15,0,0,0,7,0
implementation,0,0,0,0,0,0,1,0,0,0,0,0
irrigation,0,0,0,0,0,0,2,0,0,0,0,0
system,0,0,0,0,0,0,30,0,0,0,0,0
socially,0,0,3,0,0,0,0,0,0,0,0,0
burial,0,0,0,0,0,0,36,0,0,0,0,0
indicate,0,0,0,0,0,0,0,0,0,0,14,0
prestige,0,0,0,0,0,0,14,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,0,0,22,0
male,10,0,0,0,0,0,6,0,0,0,0,0
material,7,0,0,0,0,0,49,0,0,0,0,0
wealth,0,0,0,0,0,0,30,0,0,0,0,0
common,35,0,0,0,0,0,0,0,0,0,0,0
language,0,0,0,0,0,0,42,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,0,8,0
indo,8,0,0,0,0,0,0,0,0,0,0,0
stretch,0,0,0,0,0,0,0,0,0,0,2,0
possible,19,0,0,0,0,0,0,0,0,0,0,0
explanation,0,0,0,0,0,0,6,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,0,0,8,0
invasion,0,0,0,0,0,0,15,0,0,0,0,0
migration,0,0,0,0,0,0,14,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,12,0
close,8,0,3,0,0,0,1,0,0,0,1,0
society,0,0,0,0,0,0,60,0,0,0,0,0
metal,0,0,0,0,0,0,31,0,0,0,0,0
independent,13,0,0,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,0,0,14,0,0,0,0,0
copper,0,0,0,0,0,0,42,0,0,0,0,0
iron,0,0,0,0,0,0,30,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,25,0
significant,10,0,0,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,76,0,0,0,24,0
physical,9,0,0,0,0,0,0,0,0,0,0,0
record,0,0,0,0,0,0,2,0,0,0,2,0
object,0,0,0,0,0,0,46,0,0,0,0,0
