word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,PRON,VERB
work,0,0,0,0,0,0,10,0,3
hard,6,0,10,0,0,0,0,0,0
morning,0,0,0,0,0,0,17,0,0
clean,1,0,0,0,0,0,0,0,7
little,25,0,0,0,0,0,0,0,0
home,0,0,10,0,0,0,14,0,0
brush,0,0,0,0,0,0,1,0,1
wash,0,0,0,0,0,0,0,0,3
floor,0,0,0,0,0,0,4,0,0
wall,0,0,0,0,0,0,5,0,0
stand,0,0,0,0,0,0,0,0,7
chair,0,0,0,0,0,0,6,0,0
top,0,0,0,0,0,0,1,0,0
cupboard,0,0,0,0,0,0,1,0,0
get,0,0,0,0,0,0,0,0,34
bed,0,0,0,0,0,0,10,0,0
take,0,0,0,0,0,0,0,0,19
carpet,0,0,0,0,0,0,1,0,0
arm,0,0,0,0,0,0,1,0,0
ache,0,0,0,0,0,0,0,0,2
tiredness,0,0,0,0,0,0,2,0,0
springtime,0,0,0,0,0,0,1,0,0
smell,0,0,0,0,0,0,2,0,1
sound,0,0,0,0,0,0,9,0,0
spring,0,0,0,0,0,0,5,0,0
dark,11,0,0,0,0,0,3,0,0
house,0,0,0,0,0,0,20,0,0
ground,0,0,0,0,0,0,7,0,0
come,0,0,0,0,0,0,0,0,90
promise,0,0,0,0,0,0,2,0,3
change,0,0,0,0,0,0,2,0,2
sunshine,0,0,0,0,0,0,2,0,0
new,15,0,0,0,0,0,0,0,0
green,7,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,5,0,9
surprising,2,0,0,0,0,0,0,0,0
suddenly,0,0,8,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,124
bother,0,0,0,0,0,0,0,0,2
tired,6,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,10
run,0,0,0,0,0,0,1,0,26
begin,0,0,0,0,0,0,0,0,28
dig,0,0,0,0,0,0,1,0,9
way,0,0,0,0,0,0,24,0,0
upwards,0,0,1,0,0,0,0,0,0
sun,0,0,0,0,0,0,4,0,0
push,0,0,0,0,0,0,0,0,7
nose,0,0,0,0,0,0,4,0,0
sunlight,0,0,0,0,0,0,3,0,0
find,0,0,0,0,0,0,0,0,24
warm,9,0,0,0,0,0,0,0,0
grass,0,0,0,0,0,0,4,0,0
field,0,0,0,0,0,0,13,0,0
fine,5,0,0,0,0,0,0,0,0
well,6,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,2,0,0
fill,0,0,0,0,0,0,0,0,2
song,0,0,0,0,0,0,12,0,0
bird,0,0,0,0,0,0,2,0,0
give,0,0,0,0,0,0,0,0,8
jump,0,0,0,0,0,0,1,0,10
happiness,0,0,0,0,0,0,5,0,0
shake,0,0,0,0,0,0,0,0,11
cross,1,0,0,0,0,0,0,0,1
tree,0,0,0,0,0,0,14,0,0
go,0,0,0,0,0,0,0,0,58
wood,0,0,0,0,0,0,13,0,0
look,0,0,0,0,0,0,2,0,51
listen,0,0,0,0,0,0,0,0,16
animal,0,0,0,0,0,0,23,0,0
busy,3,0,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,1,0,28
laugh,0,0,0,0,0,0,0,0,13
food,0,0,0,0,0,0,3,0,0
make,0,0,0,0,0,0,0,0,5
enjoy,0,0,0,0,0,0,0,0,5
river,0,0,0,0,0,0,50,0,0
see,0,0,0,0,0,0,0,0,26
life,0,0,0,0,0,0,14,0,0
wonderful,15,0,0,0,0,0,0,0,0
bright,8,0,0,0,0,0,0,0,0
shine,0,0,0,0,0,0,0,0,6
thing,0,0,0,0,0,0,19,0,0
dance,0,0,0,0,0,0,0,0,2
shadow,0,0,0,0,0,0,1,0,0
minute,0,0,0,0,0,0,10,0,0
hurry,0,0,0,0,0,0,0,0,11
love,0,0,0,0,0,0,1,0,4
walk,0,0,0,0,0,0,3,0,18
bank,0,0,0,0,0,0,22,0,0
watch,0,0,0,0,0,0,1,0,11
time,0,0,0,0,0,0,28,0,0
sit,0,0,0,0,0,0,0,0,22
opposite,0,0,1,0,0,0,0,0,0
hole,0,0,0,0,0,0,11,0,0
dreamily,0,0,3,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,28
pleasant,5,0,0,0,0,0,0,0,0
soon,0,0,17,0,0,0,0,0,0
eye,0,0,0,0,0,0,8,0,0
face,0,0,0,0,0,0,19,0,0
appear,0,0,0,0,0,0,0,0,3
brown,2,0,0,0,0,0,0,0,0
whisker,0,0,0,0,0,0,2,0,0
small,11,0,0,0,0,0,0,0,0
ear,0,0,0,0,0,0,4,0,0
thick,5,0,0,0,0,0,0,0,0
shiny,4,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,0,1,0,0
hello,0,0,0,0,0,4,0,0,0
like,0,8,0,0,0,0,0,0,11
ask,0,0,0,0,0,0,0,0,19
easy,6,0,0,0,0,0,0,0,0
crossly,0,0,7,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,31
disappear,0,0,0,0,0,0,0,0,12
blue,1,0,0,0,0,0,0,0,0
white,4,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,26,0,0
quickly,0,0,12,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,17
moment,0,0,0,0,0,0,10,0,0
later,0,0,11,0,0,0,0,0,0
great,9,0,0,0,0,0,0,0,0
surprise,0,0,0,0,0,0,3,0,0
excitement,0,0,0,0,0,0,4,0,0
actually,0,0,3,0,0,0,0,0,0
real,4,0,0,0,0,0,0,0,0
row,0,0,0,0,0,0,0,0,11
away,0,1,18,0,0,0,0,0,0
cry,0,0,0,0,0,0,2,0,30
dear,15,0,0,0,0,0,1,0,0
fellow,0,0,0,0,0,0,12,0,0
live,0,0,0,0,0,0,0,0,5
believe,0,0,0,0,0,0,0,0,2
seriously,0,0,4,0,0,0,0,0,0
nice,6,0,0,0,0,0,0,0,0
mess,0,0,0,0,0,0,0,0,1
stay,0,0,0,0,0,0,0,0,11
matter,0,0,0,0,0,0,5,0,1
want,0,0,0,0,0,0,0,0,21
today,0,0,0,0,0,0,7,0,0
spend,0,0,0,0,0,0,0,0,8
day,0,0,0,0,0,0,21,0,0
interest,0,0,0,0,0,0,3,0,1
comfortable,11,0,0,0,0,0,0,0,0
seat,0,0,0,0,0,0,4,0,0
let,0,0,0,0,0,0,0,0,5
start,0,0,0,0,0,0,0,0,9
rat,0,0,0,0,0,0,10,0,0
carry,0,0,0,0,0,0,0,0,2
large,7,0,0,0,0,0,0,0,0
heavy,4,0,0,0,0,0,0,0,0
lunch,0,0,0,0,0,0,19,0,0
basket,0,0,0,0,0,0,6,0,0
foot,0,0,0,0,0,0,4,0,0
friend,0,0,0,0,0,0,42,0,0
turn,0,0,0,0,0,0,0,0,13
big,6,0,0,0,0,0,0,0,0
join,0,0,0,0,0,0,0,0,3
soft,3,0,0,0,0,0,0,0,0
tall,2,0,0,0,0,0,0,0,0
willow,0,0,0,0,0,0,1,0,0
quiet,10,0,0,0,0,0,0,0,0
peaceful,1,0,0,0,0,0,0,0,0
beautiful,5,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,6,0,0
happily,0,0,5,0,0,0,0,0,0
open,7,1,0,0,0,0,0,0,6
happy,14,0,0,0,0,0,0,0,0
obey,0,0,0,0,0,0,0,0,1
hungry,8,0,0,0,0,0,0,0,0
cleaning,0,0,0,0,0,0,1,0,0
early,3,0,2,0,0,0,0,0,0
cold,9,0,0,0,0,0,0,0,0
meat,0,0,0,0,0,0,1,0,0
egg,0,0,0,0,0,0,5,0,0
sandwich,0,0,0,0,0,0,1,0,0
cook,0,0,0,0,0,0,0,0,2
chicken,0,0,0,0,0,0,1,0,0
tomato,0,0,0,0,0,0,1,0,0
apple,0,0,0,0,0,0,1,0,0
banana,0,0,0,0,0,0,1,0,0
cake,0,0,0,0,0,0,1,0,0
eat,0,0,0,0,0,0,0,0,10
lie,0,0,0,0,0,0,0,0,11
lazily,0,0,1,0,0,0,0,0,0
long,24,0,2,0,0,0,0,0,0
line,0,0,0,0,0,0,2,0,0
bubble,0,0,0,0,0,0,4,0,0
water,0,0,0,0,0,0,17,0,0
wonder,0,0,0,0,0,0,0,0,6
oho,0,0,0,0,0,1,0,0,0
friendly,4,0,0,0,0,0,0,0,0
kind,5,0,0,0,0,0,4,0,0
wet,5,0,0,0,0,0,0,0,0
whiskery,1,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,4,0,0
otter,0,0,0,0,0,0,1,0,0
pull,0,0,0,0,0,0,1,0,15
coat,0,0,0,0,0,0,2,0,0
party,0,0,0,0,0,0,9,0,0
straight,0,0,5,0,0,0,0,0,0
invite,0,0,0,0,0,0,0,0,3
plan,0,0,0,0,0,0,6,0,2
explain,0,0,0,0,0,0,0,0,4
decide,0,0,0,0,0,0,0,0,6
meet,0,0,0,0,0,0,0,0,9
world,0,0,0,0,0,0,13,0,0
try,0,0,0,0,0,0,0,0,14
peace,0,0,0,0,0,0,2,0,0
have,0,0,0,0,0,0,0,0,3
noise,0,0,0,0,0,0,11,0,0
bush,0,0,0,0,0,0,4,0,0
black,4,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,13,0,0
old,21,0,0,0,0,0,0,0,0
shout,0,0,0,0,0,0,2,0,12
forward,0,0,3,0,0,0,0,0,0
step,0,0,0,0,0,0,5,0,0
hmm,0,0,0,0,0,1,0,0,0
crowd,0,0,0,0,0,0,3,0,0
pity,0,0,0,0,0,0,1,0,0
good,24,0,0,0,0,0,1,0,0
hate,0,0,0,0,0,0,1,0,3
tell,0,0,0,0,0,0,0,0,26
reply,0,0,0,0,0,0,0,0,9
boating,0,0,0,0,0,0,2,0,0
clothe,0,0,0,0,0,0,4,0,0
bored,1,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,4,0,0
rest,0,0,0,0,0,0,4,0,1
rowing,0,0,0,0,0,0,3,0,0
course,0,0,5,0,0,0,14,0,0
learn,0,0,0,0,0,0,0,0,6
mistake,0,0,0,0,0,0,2,0,0
bit,0,0,0,0,0,0,5,0,0
past,1,2,3,0,0,0,0,0,0
short,4,0,0,0,0,0,0,0,0
fat,3,0,0,0,0,0,0,0,0
badly,0,0,1,0,0,0,0,0,0
story,0,0,0,0,0,0,6,0,0
sudden,2,0,0,0,0,0,0,0,0
movement,0,0,0,0,0,0,1,0,0
near,3,3,0,0,0,0,0,0,0
silvery,1,0,0,0,0,0,0,0,0
second,0,0,0,0,0,0,3,0,0
voice,0,0,0,0,0,0,8,0,0
sing,0,0,0,0,0,0,0,0,4
remember,0,0,0,0,0,0,0,0,4
polite,2,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,0,3,0,0
suppose,0,0,0,0,0,0,0,0,4
pack,0,0,0,0,0,0,0,0,1
gently,0,0,3,0,0,0,0,0,0
homewards,0,0,1,0,0,0,0,0,0
afternoon,0,0,0,0,0,0,8,0,0
dream,0,0,0,0,0,0,1,0,2
quietly,0,0,4,0,0,0,0,0,0
smile,0,0,0,0,0,0,2,0,1
young,4,0,0,0,0,0,0,0,0
wait,0,0,0,0,0,0,0,0,6
lesson,0,0,0,0,0,0,4,0,0
sure,3,0,0,0,0,0,0,0,0
oar,0,0,0,0,0,0,6,0,0
surprised,4,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,2,0,0
fall,0,0,0,0,0,0,0,0,9
backwards,0,0,2,0,0,0,0,0,0
silly,13,0,0,0,0,0,0,0,0
touch,0,0,0,0,0,0,0,0,1
leg,0,0,0,0,0,0,5,0,0
fly,0,0,0,0,0,0,0,0,3
frightened,7,0,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,3,0,1
splash,0,0,0,0,0,1,0,0,1
right,8,0,6,0,0,1,1,0,0
ready,8,0,0,0,0,0,0,0,0
unhappy,4,0,0,0,0,0,0,0,0
miserable,1,0,0,0,0,0,0,0,0
low,2,0,0,0,0,0,0,0,0
ungrateful,2,0,0,0,0,0,0,0,0
sorry,4,0,0,0,0,0,0,0,0
kindly,0,0,7,0,0,0,0,0,0
worry,0,0,0,0,0,0,0,0,5
teach,0,0,0,0,0,0,0,0,4
swim,0,0,0,0,0,0,0,0,4
boatman,0,0,0,0,0,0,1,0,0
speak,0,0,0,0,0,0,0,0,3
word,0,0,0,0,0,0,3,0,0
thank,0,0,0,0,0,0,0,0,2
hot,5,0,0,0,0,0,0,0,0
supper,0,0,0,0,0,0,4,0,0
fire,0,0,0,0,0,0,10,0,0
exciting,4,0,0,0,0,0,0,0,0
upstairs,0,0,7,0,0,0,0,0,0
bedroom,0,0,0,0,0,0,5,0,0
window,0,0,0,0,0,0,7,0,0
slowly,0,0,7,0,0,0,0,0,0
golden,2,0,0,0,0,0,0,0,0
summer,0,0,0,0,0,0,7,0,0
wind,0,0,0,0,0,0,5,0,0
whisper,0,0,0,0,0,0,2,0,7
secret,3,0,0,0,0,0,3,0,0
plant,0,0,0,0,0,0,2,0,0
write,0,0,0,0,0,0,0,0,3
singe,0,0,0,0,0,0,0,0,3
different,7,0,0,0,0,0,0,0,0
mmm,0,0,0,0,0,1,0,0,0
sky,0,0,0,0,0,0,2,0,0
high,0,0,1,0,0,0,0,0,0
die,0,0,0,0,0,0,0,0,1
visit,0,0,0,0,0,0,1,0,6
hear,0,0,0,0,0,0,0,0,24
clever,12,0,0,0,0,0,0,0,0
boastful,5,0,0,0,0,0,0,0,0
red,4,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,5,0,0
reach,0,0,0,0,0,0,0,0,2
lovely,1,0,0,0,0,0,0,0,0
rich,3,0,0,0,0,0,0,0,0
boathouse,0,0,0,0,0,0,2,0,0
end,0,0,0,0,0,0,9,0,0
expensive,2,0,0,0,0,0,0,0,0
unused,1,0,0,0,0,0,0,0,0
finish,0,0,0,0,0,0,0,0,6
amuse,0,0,0,0,0,0,0,0,2
carefully,0,0,4,0,0,0,0,0,0
study,0,0,0,0,0,0,0,0,1
map,0,0,0,0,0,0,1,0,0
introduce,0,0,0,0,0,0,0,0,3
need,0,0,0,0,0,0,1,0,3
help,0,0,0,0,0,0,1,0,3
important,4,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,3
patient,1,0,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,8
discover,0,0,0,0,0,0,0,0,3
round,0,12,5,0,0,0,0,0,0
gipsy,0,0,0,0,0,0,1,0,0
caravan,0,0,0,0,0,0,12,0,0
yellow,2,0,0,0,0,0,0,0,0
side,0,0,0,0,0,0,2,0,0
wheel,0,0,0,0,0,0,3,0,0
road,0,0,0,0,0,0,15,0,0
hill,0,0,0,0,0,0,4,0,0
village,0,0,0,0,0,0,4,0,0
town,0,0,0,0,0,0,7,0,0
city,0,0,0,0,0,0,1,0,0
tomorrow,0,0,0,0,0,0,3,0,0
travel,0,0,0,0,0,0,1,0,5
interested,4,0,0,0,0,0,0,0,0
excited,4,0,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,6
inside,0,5,2,0,0,0,0,0,0
outside,1,0,6,0,0,0,0,0,0
excitedly,0,0,2,0,0,0,0,0,0
boring,1,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,3,0,1
calmly,0,0,3,0,0,0,0,0,0
final,1,0,0,0,0,0,0,0,0
bravely,0,0,1,0,0,0,0,0,0
sad,7,0,0,0,0,0,0,0,0
poor,7,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,7,0,0
feel,0,0,0,0,0,0,0,0,12
worried,3,0,0,0,0,0,0,0,0
pleasantly,0,0,2,0,0,0,0,0,0
