word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
slip,0,0,0,0,0,0,0,1,0
serfdom,0,0,0,0,7,0,0,0,0
apparent,2,0,0,0,0,0,0,0,0
prosperity,0,0,0,0,3,0,0,0,0
give,0,0,0,0,0,0,0,13,0
middle,7,0,0,0,2,0,0,0,0
general,10,0,0,0,2,0,0,0,0
crisis,0,0,0,0,12,0,0,0,0
european,21,0,0,0,0,0,0,0,0
region,0,0,0,0,9,0,0,0,0
politically,0,0,2,0,0,0,0,0,0
centralized,4,0,0,0,0,0,0,0,0
state,0,0,0,0,47,0,0,1,0
insist,0,0,0,0,0,0,0,2,0
level,0,0,0,0,3,0,0,0,0
conformity,0,0,0,0,1,0,0,0,0
subject,2,0,0,0,16,0,0,0,0
expel,0,0,0,0,0,0,0,4,0
refuse,0,0,0,0,0,0,0,5,0
tolerate,0,0,0,0,0,0,0,2,0
religious,31,0,0,0,0,0,0,0,0
dissenter,0,0,0,0,1,0,0,0,0
spite,0,0,0,0,4,0,0,0,0
ancient,4,0,0,0,0,0,0,0,0
learning,0,0,0,0,1,0,0,0,0
reform,0,0,0,0,5,0,0,2,0
hysterical,1,0,0,0,0,0,0,0,0
fear,0,0,0,0,8,0,0,2,0
witch,0,0,0,0,5,0,0,0,0
grasp,0,0,0,0,1,0,0,1,0
large,21,0,0,0,0,0,0,0,0
segment,0,0,0,0,1,0,0,0,0
include,0,0,0,0,0,0,0,12,0
learn,0,0,0,0,0,0,0,1,0
understandably,0,0,1,0,0,0,0,0,0
difficulty,0,0,0,0,3,0,0,0,0
define,0,0,0,0,0,0,0,3,0
exact,2,0,0,0,0,0,0,1,0
place,0,0,0,0,9,0,0,4,0
complex,4,0,0,0,1,0,0,0,0
course,0,0,0,0,5,0,0,0,0
development,0,0,0,0,10,0,0,0,0
nation,0,0,0,0,3,0,0,0,0
emerge,0,0,0,0,0,0,0,5,0
strong,10,0,0,0,0,0,0,0,0
monarchical,2,0,0,0,0,0,0,0,0
government,0,0,0,0,28,0,0,0,0
break,0,0,0,0,0,0,0,4,0
local,9,0,0,0,0,0,0,0,0
immunity,0,0,0,0,3,0,0,0,0
destroy,0,0,0,0,0,0,0,11,0
