word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
noon,0,0,0,0,0,0,9,0,0,0,0,0,0
fourteenth,2,0,0,0,0,0,0,0,0,0,0,0,0
reckoning,0,0,0,0,0,0,15,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,0,0,0,40,0
black,60,0,0,0,0,0,1,0,0,0,0,0,0
fleet,0,0,0,0,0,0,11,0,0,0,0,0,0
ride,0,0,0,0,0,0,5,0,0,0,0,103,0
flame,0,0,0,0,0,0,14,0,0,0,0,3,0
rise,0,0,0,0,0,0,2,0,0,0,0,64,0
watch,0,0,0,0,0,0,10,0,0,0,0,10,0
madness,0,0,0,0,0,0,3,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,87,0
amid,0,10,0,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,22,0,0,0,0,9,0
fear,0,0,0,0,0,0,53,0,0,0,0,22,0
thought,0,0,0,0,0,0,36,0,0,0,0,0,0
friend,0,0,0,0,0,0,46,0,0,0,0,0,0
constantly,0,0,3,0,0,0,0,0,0,0,0,0,0
aid,0,0,0,0,0,0,16,0,0,0,0,3,0
bring,0,0,0,0,0,0,0,0,0,0,0,68,0
help,0,0,0,0,0,0,23,0,0,0,0,20,0
son,0,0,0,0,0,0,165,0,0,0,0,0,0
utterly,0,0,9,0,0,0,0,0,0,0,0,0,0
stone,0,0,0,0,0,0,57,0,0,0,0,0,0
passage,0,0,0,0,0,0,14,0,0,0,0,0,0
unable,3,0,0,0,0,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,0,17,0
catch,0,0,0,0,0,0,1,0,0,0,0,19,0
bolt,0,0,0,0,0,0,6,0,0,0,0,1,0
scramble,0,0,0,0,0,0,1,0,0,0,0,7,0
drop,0,0,0,0,0,0,10,0,0,0,0,11,0
softly,0,0,8,0,0,0,0,0,0,0,0,0,0
stealthily,0,0,1,0,0,0,0,0,0,0,0,0,0
outlet,0,0,0,0,0,0,1,0,0,0,0,0,0
rag,0,0,0,0,0,0,8,0,0,0,0,0,0
great,351,0,0,0,0,0,0,0,0,0,0,0,0
web,0,0,0,0,0,0,4,0,0,0,0,0,0
blow,0,0,0,0,0,0,13,0,0,0,0,28,0
sway,0,0,0,0,0,0,3,0,0,0,0,6,0
noisome,1,0,0,0,0,0,0,0,0,0,0,0,0
breath,0,0,0,0,0,0,19,0,0,0,0,0,0
revive,0,0,0,0,0,0,0,0,0,0,0,1,0
cautiously,0,0,4,0,0,0,0,0,0,0,0,0,0
ominously,0,0,1,0,0,0,0,0,0,0,0,0,0
