word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
deposit,0,0,0,0,0,41,0,0,0,29,0
glaciofluvial,4,0,0,0,0,0,0,0,0,0,0
glaciolacustrine,2,0,0,0,0,0,0,0,0,0,0
periglacial,4,0,0,0,0,0,0,0,0,0,0
iceberg,0,0,0,0,0,193,0,0,0,0,0
antarctic,60,0,0,0,0,0,0,0,0,0,0
arctic,29,0,0,0,0,0,0,0,0,0,0
size,0,0,0,0,0,37,0,0,0,0,0
shape,0,0,0,0,0,29,0,0,0,10,0
drift,0,0,0,0,0,19,0,0,0,12,0
trajectory,0,0,0,0,0,3,0,0,0,0,0
scour,0,0,0,0,0,8,0,0,0,7,0
sediment,0,0,0,0,0,49,0,0,0,0,0
transport,0,0,0,0,0,6,0,0,0,16,0
impact,0,0,0,0,0,8,0,0,0,0,0
ocean,0,0,0,0,0,85,0,0,0,0,0
detection,0,0,0,0,0,1,0,0,0,0,0
tracking,0,0,0,0,0,2,0,0,0,0,0
management,0,0,0,0,0,1,0,0,0,0,0
salinity,0,0,0,0,0,28,0,0,0,0,0
ecological,2,0,0,0,0,0,0,0,0,0,0
interaction,0,0,0,0,0,7,0,0,0,0,0
pack,0,0,0,0,0,32,0,0,0,5,0
atmosphere,0,0,0,0,0,29,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,0,6,0
recent,11,0,0,0,0,0,0,0,0,0,0
past,15,1,0,0,0,12,0,0,0,0,0
terrain,0,0,0,0,0,14,0,0,0,0,0
drainage,0,0,0,0,0,21,0,0,0,0,0
present,37,0,0,0,0,2,0,0,0,1,0
day,0,0,0,0,0,29,0,0,0,0,0
physical,11,0,0,0,0,0,0,0,0,0,0
surround,0,0,0,0,0,0,0,0,0,16,0
power,0,0,0,0,0,9,0,0,0,0,0
appendix,0,0,0,0,0,1,0,0,0,0,0
significant,13,0,0,0,0,0,0,0,0,0,0
shelf,0,0,0,0,0,99,0,0,0,0,0
simple,10,0,0,0,0,0,0,0,0,0,0
complex,10,0,0,0,0,4,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,23,0
single,16,0,0,0,0,0,0,0,0,0,0
consist,0,0,0,0,0,0,0,0,0,19,0
hydrogen,0,0,0,0,0,16,0,0,0,0,0
atom,0,0,0,0,0,20,0,0,0,0,0
oxygen,0,0,0,0,0,17,0,0,0,0,0
note,0,0,0,0,0,0,0,0,0,3,0
chemical,6,0,0,0,0,4,0,0,0,0,0
formula,0,0,0,0,0,11,0,0,0,0,0
gaseous,4,0,0,0,0,0,0,0,0,0,0
state,0,0,0,0,0,25,0,0,0,4,0
enable,0,0,0,0,0,0,0,0,0,6,0
float,0,0,0,0,0,0,0,0,0,28,0
freely,0,0,4,0,0,0,0,0,0,0,0
independently,0,0,4,0,0,0,0,0,0,0,0
liquid,27,0,0,0,0,4,0,0,0,0,0
constantly,0,0,3,0,0,0,0,0,0,0,0
break,0,0,0,0,0,0,0,0,0,40,0
bond,0,0,0,0,0,11,0,0,0,3,0
exhibit,0,0,0,0,0,0,0,0,0,4,0
fluidity,0,0,0,0,0,1,0,0,0,0,0
solid,22,0,0,0,0,1,0,0,0,0,0
phase,0,0,0,0,0,6,0,0,0,0,0
molecular,2,0,0,0,0,0,0,0,0,0,0
dictate,0,0,0,0,0,0,0,0,0,3,0
crystalline,5,0,0,0,0,1,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,29,0
imbed,0,0,0,0,0,0,0,0,0,1,0
nature,0,0,0,0,0,8,0,0,0,0,0
tower,0,0,0,0,0,1,0,0,0,1,0
majesty,0,0,0,0,0,1,0,0,0,0,0
mountainous,8,0,0,0,0,0,0,0,0,0,0
varied,2,0,0,0,0,0,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,4,0
thoroughly,0,0,1,0,0,0,0,0,0,0,0
reader,0,0,0,0,0,1,0,0,0,0,0
virtually,0,0,3,0,0,0,0,0,0,0,0
traverse,0,0,0,0,0,0,0,0,0,2,0
pingo,0,0,0,0,0,18,0,0,0,0,0
rappel,0,0,0,0,0,0,0,0,0,1,0
cirque,2,0,0,0,0,23,0,0,0,0,0
explore,0,0,0,0,0,0,0,0,0,1,0
frozen,45,0,0,0,0,0,0,0,0,0,0
tundra,2,0,0,0,0,8,0,0,0,0,0
complexity,0,0,0,0,0,1,0,0,0,0,0
deceptively,0,0,1,0,0,0,0,0,0,0,0
entity,0,0,0,0,0,1,0,0,0,0,0
reveal,0,0,0,0,0,0,0,0,0,9,0
unlike,0,5,0,0,0,0,0,0,0,0,0
