word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB,X
year,0,0,0,0,0,24,0,0,0,0
people,0,0,0,0,0,29,0,0,0,0
hungry,8,0,0,0,0,0,0,0,0,0
rich,5,0,0,0,0,0,0,0,0,0
course,0,0,4,0,0,4,0,0,0,0
food,0,0,0,0,0,2,0,0,0,0
warm,5,0,0,0,0,0,0,0,0,0
clothe,0,0,0,0,0,7,0,0,0,0
beautiful,10,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,34,0,0,0,0
poor,12,0,0,0,0,0,0,0,0,0
young,22,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,76,0,0,0,0
big,21,0,0,0,0,0,0,0,0,0
strong,2,0,0,0,0,0,0,0,0,0
good,16,0,0,0,0,0,0,0,0,0
worker,0,0,0,0,0,3,0,0,0,0
work,0,0,0,0,0,11,0,0,5,0
find,0,0,0,0,0,0,0,0,15,0
live,0,0,0,0,0,0,0,0,19,0
sister,0,0,0,0,0,8,0,0,0,0
village,0,0,0,0,0,6,0,0,0,0
husband,0,0,0,0,0,5,0,0,0,0
dead,11,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,5,0,0,0
child,0,0,0,0,0,24,0,0,0,0
cold,8,0,0,0,0,0,0,0,0,0
hard,8,0,3,0,0,0,0,0,0,0
winter,0,0,0,0,0,5,0,0,0,0
bread,0,0,0,0,0,4,0,0,0,0
thief,0,0,0,0,0,4,0,0,0,0
sit,0,0,0,0,0,0,0,0,8,0
cry,0,0,0,0,0,2,0,0,15,0
night,0,0,0,0,0,21,0,0,0,0
leave,0,0,0,0,0,0,0,0,22,0
go,0,0,0,0,0,0,0,0,35,0
street,0,0,0,0,0,28,0,0,0,0
put,0,0,0,0,0,0,0,0,3,0
hand,0,0,0,0,0,22,0,0,0,0
window,0,0,0,0,0,2,0,0,0,0
bakery,0,0,0,0,0,1,0,0,0,0
crash,0,0,0,0,0,1,0,0,0,0
take,0,0,0,0,0,0,0,0,20,0
loaf,0,0,0,0,0,2,0,0,0,0
