word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB
husband,0,0,0,0,0,2,0,0,0
murder,0,0,0,0,0,0,0,0,1
place,0,0,0,0,0,2,0,0,0
disappear,0,0,0,0,0,0,0,0,4
strangely,0,0,1,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,9
body,0,0,0,0,0,5,0,0,0
rest,0,0,0,0,0,3,0,0,2
visitor,0,0,0,0,0,1,0,0,0
specially,0,0,2,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,8
clean,0,0,0,0,0,0,0,0,8
away,0,1,10,0,0,0,0,0,0
second,1,0,0,0,0,3,0,0,0
stop,0,0,0,0,0,0,0,0,11
small,5,0,0,0,0,0,0,0,0
stick,0,0,0,0,0,2,0,0,0
minute,0,0,0,0,0,3,0,0,0
word,0,0,0,0,0,6,0,0,0
outside,0,2,1,0,0,0,0,0,0
flash,0,0,0,0,0,1,0,0,0
lightning,0,0,0,0,0,1,0,0,0
light,1,0,0,0,0,7,0,0,4
great,4,0,0,0,0,0,0,0,0
crash,0,0,0,0,0,3,0,0,2
thunder,0,0,0,0,0,3,0,0,0
jump,0,0,0,0,0,0,0,0,4
sound,0,0,0,0,0,7,0,0,3
faint,0,0,0,0,0,0,0,0,4
weather,0,0,0,0,0,1,0,0,0
cigarette,0,0,0,0,0,1,0,0,0
lie,0,0,0,0,0,0,0,0,6
close,0,0,0,0,0,0,0,0,4
dear,6,0,0,0,0,2,0,0,0
money,0,0,0,0,0,2,0,0,0
break,0,0,0,0,0,0,0,0,1
cup,0,0,0,0,0,1,0,0,0
unhappy,7,0,0,0,0,0,0,0,0
careful,2,0,0,0,0,0,0,0,0
trouble,0,0,0,0,0,2,0,0,0
shake,0,0,0,0,0,0,0,0,4
describe,0,0,0,0,0,0,0,0,1
give,0,0,0,0,0,0,0,0,5
warm,1,0,0,0,0,0,0,0,0
shakily,0,0,1,0,0,0,0,0,0
foot,0,0,0,0,0,4,0,0,0
strong,3,0,0,0,0,0,0,0,0
kind,4,0,0,0,0,0,0,0,0
work,0,0,0,0,0,2,0,0,2
thank,0,0,0,0,0,0,0,0,6
morning,0,0,0,0,0,13,0,0,0
breakfast,0,0,0,0,0,2,0,0,0
strange,7,0,0,0,0,0,0,0,0
usually,0,0,1,0,0,0,0,0,0
lock,0,0,0,0,0,0,0,0,5
door,0,0,0,0,0,15,0,0,0
interesting,2,0,0,0,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,7
question,0,0,0,0,0,1,0,0,0
bed,0,0,0,0,0,13,0,0,0
asleep,1,0,0,0,0,0,0,0,0
wake,0,0,0,0,0,0,0,0,2
metal,0,0,0,0,0,2,0,0,0
move,0,0,0,0,0,0,0,0,6
slowly,0,0,4,0,0,0,0,0,0
passage,0,0,0,0,0,11,0,0,0
bedroom,0,0,0,0,0,7,0,0,0
listen,0,0,0,0,0,0,0,0,2
carefully,0,0,3,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,7
footstep,0,0,0,0,0,2,0,0,0
shoe,0,0,0,0,0,4,0,0,0
bottle,0,0,0,0,0,7,0,0,0
cupboard,0,0,0,0,0,1,0,0,0
open,3,0,0,0,0,0,0,0,7
moonlight,0,0,0,0,0,3,0,0,0
fire,0,0,0,0,0,6,0,0,0
grey,2,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,4,0,0,0
dirty,2,0,0,0,0,0,0,0,0
clothe,0,0,0,0,0,1,0,0,0
hole,0,0,0,0,0,4,0,0,0
heavy,4,0,0,0,0,0,0,0,0
chain,0,0,0,0,0,6,0,0,1
round,1,6,0,0,0,0,0,0,0
arm,0,0,0,0,0,6,0,0,0
leg,0,0,0,0,0,1,0,0,0
oil,0,0,0,0,0,4,0,0,0
bring,0,0,0,0,0,0,0,0,3
use,0,0,0,0,0,0,0,0,3
leave,0,0,0,0,0,2,0,0,7
need,0,0,0,0,0,0,0,0,1
table,0,0,0,0,0,2,0,0,0
inside,0,2,0,0,0,0,0,0,0
angry,7,0,0,0,0,0,0,0,0
knock,0,0,0,0,0,0,0,0,1
hurry,0,0,0,0,0,0,0,0,3
green,6,0,0,0,0,1,0,0,0
ring,0,0,0,0,0,0,0,0,1
stair,0,0,0,0,0,11,0,0,0
pillow,0,0,0,0,0,4,0,0,0
past,0,7,0,0,0,1,0,0,0
quickly,0,0,6,0,0,0,0,0,0
