word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
equip,0,0,0,0,0,0,1,0
key,4,0,0,0,0,0,0,0
provider,0,0,0,1,0,0,0,0
country,0,0,0,2,0,0,0,0
order,0,0,0,2,0,0,1,0
meet,0,0,0,0,0,0,2,0
rigorous,1,0,0,0,0,0,0,0
educational,2,0,0,0,0,0,0,0
ethical,3,0,0,0,0,0,0,0
standard,0,0,0,3,0,0,0,0
license,0,0,0,1,0,0,1,0
undergo,0,0,0,0,0,0,1,0
intensive,1,0,0,0,0,0,0,0
schooling,0,0,0,1,0,0,0,0
case,0,0,0,5,0,0,0,0
postgraduate,1,0,0,0,0,0,0,0
training,0,0,0,1,0,0,0,0
devise,0,0,0,0,0,0,2,0
combat,0,0,0,0,0,0,2,0
injury,0,0,0,4,0,0,0,0
rife,1,0,0,0,0,0,0,0
challenge,0,0,0,1,0,0,0,0
victory,0,0,0,1,0,0,0,0
vast,1,0,0,0,0,0,0,0
support,0,0,0,0,0,0,2,0
continue,0,0,0,0,0,0,9,0
improve,0,0,0,0,0,0,1,0
humankind,0,0,0,1,0,0,0,0
desire,0,0,0,1,0,0,2,0
know,0,0,0,0,0,0,16,0
evidence,0,0,0,2,0,0,0,0
attempt,0,0,0,2,0,0,1,0
predate,0,0,0,0,0,0,1,0
write,0,0,0,0,0,0,5,0
record,0,0,0,5,0,0,3,0
skull,0,0,0,4,0,0,0,0
find,0,0,0,0,0,0,2,0
date,0,0,0,0,0,0,3,0
far,0,0,3,0,0,0,0,0
bce,0,0,0,5,0,0,0,0
show,0,0,0,0,0,0,2,0
trepan,0,0,0,0,0,0,1,0
removal,0,0,0,1,0,0,0,0
portion,0,0,0,1,0,0,0,0
bone,0,0,0,8,0,0,0,0
uncommon,1,0,0,0,0,0,0,0
operation,0,0,0,4,0,0,0,0
perform,0,0,0,0,0,0,11,0
people,0,0,0,9,0,0,0,0
include,0,0,0,0,0,0,12,0
probably,0,0,2,0,0,0,0,0
release,0,0,0,0,0,0,3,0
evil,4,0,0,0,0,0,0,0
spirit,0,0,0,4,0,0,0,0
think,0,0,0,0,0,0,6,0
source,0,0,0,2,0,0,0,0
prove,0,0,0,0,0,0,1,0
medically,0,0,1,0,0,0,0,0
correct,1,0,0,0,0,0,0,0
thing,0,0,0,2,0,0,0,0
open,1,0,0,0,0,0,2,0
pressure,0,0,0,4,0,0,0,0
pain,0,0,0,5,0,0,0,0
brain,0,0,0,2,0,0,0,0
tumor,0,0,0,3,0,0,0,0
head,0,0,0,1,0,0,0,0
misunderstand,0,0,0,0,0,0,1,0
attribute,0,0,0,0,0,0,3,0
angry,1,0,0,0,0,0,0,0
god,0,0,0,2,0,0,0,0
imbalance,0,0,0,2,0,0,0,0
wrongdoing,0,0,0,1,0,0,0,0
person,0,0,0,5,0,0,0,0
involve,0,0,0,0,0,0,3,0
magic,0,0,0,1,0,0,0,0
incantation,0,0,0,1,0,0,0,0
ward,0,0,0,2,0,0,1,0
demon,0,0,0,2,0,0,0,0
ritual,0,0,0,3,0,0,0,0
leader,0,0,0,1,0,0,0,0
late,3,0,1,0,0,0,0,0
egyptian,4,0,0,0,0,0,0,0
dynasty,0,0,0,1,0,0,0,0
emerge,0,0,0,0,0,0,1,0
profession,0,0,0,3,0,0,0,0
apart,0,0,1,0,0,0,0,0
religion,0,0,0,2,0,0,0,0
fifth,1,0,0,0,0,0,0,0
greek,4,0,0,0,0,0,0,0
note,0,0,0,0,0,0,3,0
contribute,0,0,0,0,0,0,3,0
society,0,0,0,3,0,0,0,0
observe,0,0,0,0,0,0,4,0
advanced,2,0,0,0,0,0,0,0
hygiene,0,0,0,2,0,0,0,0
cleanliness,0,0,0,2,0,0,0,0
wash,0,0,0,0,0,0,2,0
daily,0,0,1,0,0,0,0,0
wear,0,0,0,0,0,0,2,0
clean,2,0,0,0,0,0,0,0
clothe,0,0,0,1,0,0,0,0
scrub,0,0,0,0,0,0,1,0
drinking,0,0,0,1,0,0,0,0
cup,0,0,0,2,0,0,0,0
shave,0,0,0,0,0,0,1,0
infestation,0,0,0,1,0,0,0,0
lice,0,0,0,1,0,0,0,0
link,0,0,0,0,0,0,1,0
diet,0,0,0,2,0,0,0,0
additionally,0,0,1,0,0,0,0,0
number,0,0,0,4,0,0,0,0
specialist,0,0,0,1,0,0,0,0
focus,0,0,0,1,0,0,1,0
individual,2,0,0,2,0,0,0,0
ailment,0,0,0,4,0,0,0,0
setting,0,0,0,1,0,0,0,0
massage,0,0,0,1,0,0,0,0
prosthesis,0,0,0,5,0,0,0,0
fabricate,0,0,0,0,0,0,1,0
replace,0,0,0,0,0,0,4,0
limb,0,0,0,4,0,0,0,0
lose,0,0,0,0,0,0,2,0
accident,0,0,0,1,0,0,0,0
well,1,0,4,0,0,0,0,0
example,0,0,0,4,0,0,0,0
strap,0,0,0,0,0,0,1,0
toe,0,0,0,1,0,0,0,0
own,0,0,0,0,0,0,1,0
expensive,1,0,0,0,0,0,0,0
available,7,0,0,0,0,0,0,0
upper,2,0,0,0,0,0,0,0
class,0,0,0,2,0,0,0,0
drug,0,0,0,8,0,0,0,0
castor,0,0,0,1,0,0,0,0
oil,0,0,0,1,0,0,0,0
senna,0,0,0,1,0,0,0,0
opium,0,0,0,2,0,0,0,0
repute,0,0,0,0,0,0,1,0
skilled,3,0,0,0,0,0,0,0
diagnostician,0,0,0,1,0,0,0,0
keep,0,0,0,0,0,0,4,0
careful,3,0,0,0,0,0,0,0
papyrus,0,0,0,2,0,0,0,0
scroll,0,0,0,1,0,0,0,0
describe,0,0,0,0,0,0,3,0
give,0,0,0,0,0,0,3,0
specific,5,0,0,0,0,0,0,0
diagnosis,0,0,0,4,0,0,0,0
text,0,0,0,2,0,0,0,0
contain,0,0,0,0,0,0,3,0
roughly,0,0,1,0,0,0,0,0
seven,0,0,0,0,2,0,0,0
