word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
monarchy,0,0,0,1,0,0,0,0
artist,0,0,0,3,0,0,0,0
create,0,0,0,0,0,0,1,0
distinctive,1,0,0,0,0,0,0,0
style,0,0,0,3,0,0,0,0
work,0,0,0,4,0,0,1,0
painting,0,0,0,5,0,0,0,0
domed,2,0,0,0,0,0,0,0
architecture,0,0,0,2,0,0,0,0
influence,0,0,0,2,0,0,3,0
culture,0,0,0,6,0,0,0,0
religion,0,0,0,6,0,0,0,0
dominant,1,0,0,0,0,0,0,0
balkan,1,0,0,0,0,0,0,0
russian,1,0,0,0,0,0,0,0
kingdom,0,0,0,2,0,0,0,0
virtue,0,0,0,1,0,0,0,0
philanthropy,0,0,0,1,0,0,0,0
prize,0,0,0,0,0,0,1,0
commend,0,0,0,0,0,0,1,0
contribution,0,0,0,2,0,0,0,0
era,0,0,0,5,0,0,0,0
establish,0,0,0,0,0,0,2,0
separate,1,0,0,0,0,0,0,0
identity,0,0,0,2,0,0,0,0
split,0,0,0,3,0,0,1,0
follow,0,0,0,0,0,0,4,0
death,0,0,0,4,0,0,0,0
seventeen,0,0,0,0,1,0,0,0
old,5,0,0,0,0,0,0,0
son,0,0,0,4,0,0,0,0
give,0,0,0,0,0,0,4,0
division,0,0,0,2,0,0,0,0
consider,0,0,0,0,0,0,2,0
temporary,2,0,0,0,0,0,0,0
actually,0,0,2,0,0,0,0,0
permanent,3,0,0,0,0,0,0,0
barbaric,1,0,0,0,0,0,0,0
religious,15,0,0,0,0,0,0,0
dispute,0,0,0,2,0,0,0,0
conflict,0,0,0,2,0,0,0,0
home,0,0,0,2,0,0,0,0
abroad,0,0,1,0,0,0,0,0
plague,0,0,0,1,0,0,1,0
horde,0,0,0,1,0,0,0,0
eager,1,0,0,0,0,0,0,0
power,0,0,0,6,0,0,0,0
push,0,0,0,0,0,0,1,0
invade,0,0,0,0,0,0,5,0
attack,0,0,0,3,0,0,0,0
savage,1,0,0,0,0,0,0,0
transform,0,0,0,0,0,0,1,0
term,0,0,0,2,0,0,0,0
mean,0,0,0,0,0,0,2,0
malicious,1,0,0,0,0,0,0,0
destroyer,0,0,0,1,0,0,0,0
take,0,0,0,0,0,0,5,0
defeat,0,0,0,1,0,0,2,0
halt,0,0,0,0,0,0,1,0
destroy,0,0,0,0,0,0,4,0
army,0,0,0,6,0,0,0,0
wall,0,0,0,9,0,0,0,0
build,0,0,0,0,0,0,4,0
surround,0,0,0,0,0,0,5,0
protect,0,0,0,0,0,0,3,0
stand,0,0,0,0,0,0,3,0
slightly,0,0,1,0,0,0,0,0
ruined,1,0,0,0,0,0,0,0
historic,1,0,0,0,0,0,0,0
area,0,0,0,1,0,0,0,0
attempt,0,0,0,1,0,0,1,0
uneasy,1,0,0,0,0,0,0,0
peace,0,0,0,5,0,0,0,0
reign,0,0,0,5,0,0,2,0
subsidize,0,0,0,0,0,0,1,0
chief,1,0,0,1,0,0,0,0
grant,0,0,0,0,0,0,2,0
exchange,0,0,0,1,0,0,0,0
invader,0,0,0,4,0,0,0,0
threaten,0,0,0,0,0,0,5,0
foreign,3,0,0,0,0,0,0,0
affair,0,0,0,3,0,0,0,0
argument,0,0,0,1,0,0,0,0
damage,0,0,0,0,0,0,1,0
domestic,2,0,0,0,0,0,0,0
number,0,0,0,5,0,0,0,0
heresy,0,0,0,3,0,0,0,0
idea,0,0,0,1,0,0,0,0
different,1,0,0,0,0,0,0,0
widely,0,0,1,0,0,0,0,0
accept,0,0,0,0,0,0,2,0
belief,0,0,0,2,0,0,0,0
hotly,0,0,1,0,0,0,0,0
debate,0,0,0,0,0,0,1,0
churchman,0,0,0,3,0,0,0,0
layman,0,0,0,1,0,0,0,0
alike,0,0,1,0,0,0,0,0
concern,0,0,0,0,0,0,1,0
