word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB
numerous,1,0,0,0,0,0,0
social,1,0,0,0,0,0,0
reform,0,0,0,0,1,0,0
improved,1,0,0,0,0,0,0
fireplace,0,0,0,0,1,0,0
chimney,0,0,0,0,1,0,0
boiler,0,0,0,0,1,0,0
kitchen,0,0,0,0,1,0,0
range,0,0,0,0,1,0,0
drip,0,0,0,0,1,0,0
coffee,0,0,0,0,1,0,0
potato,0,0,0,0,1,0,0
staple,0,0,0,0,1,0,0
interest,0,0,0,0,1,0,0
gunpowder,0,0,0,0,1,0,0
weaponry,0,0,0,0,1,0,0
stimulate,0,0,0,0,0,0,1
